jpohhhh,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:09:08 +0000 2018
tishkee_33,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:14:39 +0000 2018
PamDenn,@DearAuntCrabby @realDonaldTrump Was wondering g when you’d get to this....horrifying,,Sun Aug 19 01:14:28 +0000 2018
sam_abuorf,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:14:27 +0000 2018
Downeygirl2,"@lbeckman @shannonrwatts Probably trying to channel Sidney Poitier in To Sir With Love, though missing the mark somewhat. But not “horrifying”. Don’t cry wolf.",,Sun Aug 19 01:13:59 +0000 2018
immigrationcom,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:13:51 +0000 2018
nelmadman,RT @JeniZillOnley: https://t.co/zaGXjuAHhA,https://t.co/zaGXjuAHhA,Sun Aug 19 01:13:46 +0000 2018
JMcCleskey925,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:13:44 +0000 2018
MichaelNac16,@ChelseaClinton This is even more horrifying. https://t.co/hZW6CF6us0,,Sun Aug 19 01:13:43 +0000 2018
mmboucher8,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:13:40 +0000 2018
Jrm21370023Jrm,RT @david_becken: @realDonaldTrump Listen to audio under the picture in this link.  https://t.co/fwwgk4NFAw,@realDonaldTrump Listen to audio under the picture in this link.  https://t.co/fwwgk4NFAw,Sun Aug 19 01:13:37 +0000 2018
david_becken,"@FLOTUS @CDCgov You are living with danger and evil, and raising your child in its shadow.  Listen to the audio under the Dotard's photo in this link. Then, get out of there! Let Ivana be first, first lady, if she wants it so badly. https://t.co/fwwgk4NFAw",,Sun Aug 19 01:13:24 +0000 2018
peppermintchime,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:13:12 +0000 2018
liz_stoltz,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:13:12 +0000 2018
williamchase1ro,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:13:10 +0000 2018
twosheeep1,New Horrifying Details Released About Fire Tornado That Killed California Firefighter -  https://t.co/IwVWDsyLeB https://t.co/AIvsURUTZX,,Sun Aug 19 01:12:58 +0000 2018
Wulf_Of_Legend,"RT @Soren_Ltd: Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a…","Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a deep knowledge of their work = totally fine.

Revealing a deep knowledge of their personal life = horrifying.",Sun Aug 19 01:12:53 +0000 2018
allgonenowsoz,"@yourseconddraft @LaLegale The use of consultants is horrifying. I was forced to take a uni graduate from one a big 4. Of course, no skills, no experience. Nice guy. But all he had to do was get trained by my team in their jobs so he could say their jobs were not needed. At $2000 a day. For 4 months.",,Sun Aug 19 01:12:46 +0000 2018
Jrm21370023Jrm,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 01:12:43 +0000 2018
bpsycho1,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:12:39 +0000 2018
ridusoftrump,RT @JABaloney: The Dworkin Report https://t.co/P28SAfoj3Q,The Dworkin Report https://t.co/P28SAfoj3Q,Sun Aug 19 01:12:27 +0000 2018
BarbaraAnnFlrn,"@LakeShow_209 @RepJoeKennedy If it weren’t so horrifying, sadistic, tragic and heartbreaking it might be funny.",,Sun Aug 19 01:12:22 +0000 2018
Mercabro_97,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:12:19 +0000 2018
blefuscu74,RT @Sundance403: This is how little the system thinks of women. Horrifying. https://t.co/bifRQH3CVG,This is how little the system thinks of women. Horrifying. https://t.co/bifRQH3CVG,Sun Aug 19 01:12:17 +0000 2018
eyawn324,"RT @paytonbohn: dude what. what about the kids who parents don’t reach for the footages, the kids who can’t speak to tell their stories, or…","dude what. what about the kids who parents don’t reach for the footages, the kids who can’t speak to tell their stories, or the kids who no one believes because of their disabilities. what’s happening to them? disgusting and horrifying. https://t.co/SKW3CNwAR1",Sun Aug 19 01:12:14 +0000 2018
Katheri66169988,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:12:04 +0000 2018
seyoonic,@yoonchato wtffjhfnf that's horrifying,,Sun Aug 19 01:11:40 +0000 2018
SteveSpoiler,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:11:37 +0000 2018
tampabaybucsfan,"RT @BernieUpstateNY: How can we ignore this?

The images are horrifying &amp; traumatizing, but imagine being there &amp; seeing your child beheadd…","How can we ignore this?

The images are horrifying &amp; traumatizing, but imagine being there &amp; seeing your child beheadded by US bombs.

We would be RIGHTLY OUTRAGED.

But it's not US, so it's ok to ignore?!? NO. NO. NO. NO.

*****GRAPHIC CONTENT WARNING*****

#OpDeSanitize https://t.co/Ictu9CwT6v",Sun Aug 19 01:11:25 +0000 2018
ziarenete13x,@tcryla And he took of his mask to reveal...A HORRIFYING THIRD DEGREE SUNBURN!!!,,Sun Aug 19 01:11:23 +0000 2018
TheGrandOdditor,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:11:20 +0000 2018
tdcloud_writes,GUYS THIS WAS NOT A RECOMMENDATION TIHS WAS ME COMMENTING ON HOW HORRIfyING it WAS DO NOT dO IT,,Sun Aug 19 01:11:04 +0000 2018
Sundance403,This is how little the system thinks of women. Horrifying. https://t.co/bifRQH3CVG,,Sun Aug 19 01:10:54 +0000 2018
JenDGates,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 01:10:49 +0000 2018
cmaguire416,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:10:42 +0000 2018
EquillexYT,@ZephPlayz making myself a roblox account (gone wrong) *horrifying*,,Sun Aug 19 01:10:41 +0000 2018
king_mre,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:10:41 +0000 2018
KDL0888,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:10:22 +0000 2018
giioldbroad,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:10:21 +0000 2018
2margarita,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:10:09 +0000 2018
Imani_Malika,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:09:50 +0000 2018
RisaRocksIt,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 01:09:48 +0000 2018
MarieTitus9,RT @ChelseaClinton: Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Sun Aug 19 01:09:43 +0000 2018
_dallasxoxo,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:09:33 +0000 2018
D_Smith18,RT @donttrythis: Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Sun Aug 19 01:09:12 +0000 2018
gztstatistics,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:08:35 +0000 2018
niksnook57,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 01:08:28 +0000 2018
madglass22,RT @barbrevis1955: The Dworkin Report https://t.co/eLWKgq79AC,The Dworkin Report https://t.co/eLWKgq79AC,Sun Aug 19 01:08:15 +0000 2018
Marty_Mc_,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:07:54 +0000 2018
CityMeanOlWorld,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:07:51 +0000 2018
neipate96,"@k1ug3 though seriously, the Dada people sound like a hell of a lot of fun. Lenin horrifying.",,Sun Aug 19 01:07:49 +0000 2018
nohope2017,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 01:07:06 +0000 2018
Alakotila,"@aainsleyyactual hahah I would've wikipedia'd it, too &gt;u&lt; I'm always on there for spiders. But yikes. Flies *shudder* I once had a swarm explode out of a lamp and it was horrifying enough! To have one blow up into maggots though... NOOOOO",,Sun Aug 19 01:07:04 +0000 2018
ShirleyKern13,RT @ChelseaClinton: Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Sun Aug 19 01:06:56 +0000 2018
somethingpsych,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:06:53 +0000 2018
seiginoakashi,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:06:35 +0000 2018
ElainePDX,RT @ChelseaClinton: Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Sun Aug 19 01:06:33 +0000 2018
shady_simpleton,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:06:32 +0000 2018
swizzlegrey,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:06:26 +0000 2018
kootaus,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:06:21 +0000 2018
huntfornancy,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:06:14 +0000 2018
BankerJase,@huntersuxx Horrifying. Nesrly as bad as crocs.,,Sun Aug 19 01:06:12 +0000 2018
DarlaMckenna,@koushikdas47 @peta Why is this in my feed..this is horrifying,,Sun Aug 19 01:06:00 +0000 2018
BLeeForCongress,"This is horrifying. No one should fear for their future when they’re driving their pregnant wife to the hospital. 
https://t.co/Rr9eLiccxm",,Sun Aug 19 01:06:00 +0000 2018
minbxe,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:05:48 +0000 2018
GHvintage,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:05:46 +0000 2018
JNG1925,"RT @MarkDice: Alex Jones is now an unperson, straight out of the plot of George Orwell's Nineteen Eighty-Four.  Regardless what you think o…","Alex Jones is now an unperson, straight out of the plot of George Orwell's Nineteen Eighty-Four.  Regardless what you think of him and Infowars, this is the equivalent of digital book burning and sets a horrifying precedent for mass censorship by Big Tech.",Sun Aug 19 01:05:40 +0000 2018
CoCoLovesPD,How horrifying! #livepd,,Sun Aug 19 01:05:29 +0000 2018
Jayson_Bryant,"RT @tina_plunkett: Holy shit! 
The disgusting language &amp; names used on green mp Julie Ann Genter (about her going to give birth) is absolut…","Holy shit! 
The disgusting language &amp; names used on green mp Julie Ann Genter (about her going to give birth) is absolutely horrifying!
Seriously @nzherald @NZStuff sort your shit out. Delete block ban these trolls. It is vile.",Sun Aug 19 01:05:25 +0000 2018
bobbyflashpants,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:05:21 +0000 2018
yuffiesilver,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:05:11 +0000 2018
PamelaBarroway,@Smavy45 This is simply horrifying. But the courage and grace of the PP volunteers! I’m donating to @PPActionNJ right now.,,Sun Aug 19 01:04:48 +0000 2018
jazzmom98,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:04:24 +0000 2018
Chasergrl,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:04:22 +0000 2018
DennyKolb,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:04:12 +0000 2018
wvmama2012,"This is absolutely horrifying and 🤬  👇 

@realbradalt https://t.co/w2Sx8lIHF4",,Sun Aug 19 01:04:05 +0000 2018
PoseySessions,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:04:01 +0000 2018
Creasy74,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:03:53 +0000 2018
ilsa_ramirez,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:03:35 +0000 2018
dkrwallace,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:03:32 +0000 2018
jodycrobins,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:03:20 +0000 2018
osterholtz51,RT @zedism: This is horrifying. https://t.co/f7zOGrttpG,This is horrifying. https://t.co/f7zOGrttpG,Sun Aug 19 01:03:09 +0000 2018
Sohothief,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 01:03:07 +0000 2018
Doug_Columbia,RT @Opus420: The Dworkin Report https://t.co/2vncg19tip,The Dworkin Report https://t.co/2vncg19tip,Sun Aug 19 01:03:07 +0000 2018
nelmadman,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 01:02:57 +0000 2018
aainsleyyactual,"@Alakotila Neither did we.
Being the animal nerds we are we did some wikipediaing...turns out is normal for certain species? I guess that makes it slightly less horrifying.",,Sun Aug 19 01:02:55 +0000 2018
louiespal,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:02:44 +0000 2018
RouseNotRoss,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:02:40 +0000 2018
HugoThePinkCat,RT @donttrythis: Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Sun Aug 19 01:02:34 +0000 2018
iotornero,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:02:32 +0000 2018
Gary_Loper,It is horrifying that we have to fight our own government to save the environment ~ Ansel Adams https://t.co/qCjPBlt6wu,,Sun Aug 19 01:02:22 +0000 2018
DarkJedi497,RT @donttrythis: Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Sun Aug 19 01:02:16 +0000 2018
sgt7255,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:02:10 +0000 2018
hammradio,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:02:00 +0000 2018
DeannaMc1,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:01:46 +0000 2018
editherin1,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:01:44 +0000 2018
SmilinJack2099,Personally the buzz driving ice princess is the most horrifying character in this flick #svengoolie https://t.co/j2EXOKrdXt,,Sun Aug 19 01:01:42 +0000 2018
cori_alyss,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:01:35 +0000 2018
CandyCaneTheDAD,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:01:33 +0000 2018
Raw_is_Tovar,"@YahooSportsNFL @NFL It’s gonna be so horrifying when the season starts. Welp, we got NBA in two months.",,Sun Aug 19 01:01:27 +0000 2018
russelltim151,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:01:26 +0000 2018
dbhrffn,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:01:22 +0000 2018
prairiewindc,RT @ChelseaClinton: Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Sun Aug 19 01:01:19 +0000 2018
DavisLilian,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:01:13 +0000 2018
danmcd74,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:00:46 +0000 2018
jenny_weyler,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:00:40 +0000 2018
rose_bellamy,RT @big_cis: Sounds about right. https://t.co/zkftg3vvAt,Sounds about right. https://t.co/zkftg3vvAt,Sun Aug 19 01:00:34 +0000 2018
Ruth87225057,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:00:34 +0000 2018
DanielleSabrena,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:00:28 +0000 2018
cocteau8,@GeorgeReeves94 Shame on her to compare a disciplinary process to the real and horrifying fears of life under the Nazis in WW2. Her comparison was an insult to that memory. It insults everyone who suffered under the Nazis. She deserves every bit of mockery,,Sun Aug 19 01:00:26 +0000 2018
ALeveritt,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:00:24 +0000 2018
