SeshfuII,a bitch had to walk home in the down pouring rain hehe rawr xd,,Sat Aug 18 22:45:44 +0000 2018
HouckisPokise,Pouring Rain along Queens Street in downtown Charlottetown reports of some localized flooding in some areas already with additional totals of 50-70mm expected to fall by the end of the day. #pestorm @TheHOT1055 https://t.co/Bl4IIEHCla,,Sat Aug 18 16:06:25 +0000 2018
SahatsawatJong1,"RT @CallmePRUKSA: YOU make my heart feel like it’s summer when the rain is pouring down ~ 🎵💕

to someone who always be my special one and o…","YOU make my heart feel like it’s summer when the rain is pouring down ~ 🎵💕

to someone who always be my special one and only :) 
#KornBNK48 https://t.co/r8cqliPcAd",Sat Aug 18 16:06:19 +0000 2018
luminaeries,i think the reason i fell asleep so quickly and slept so soundly was bc of the sound of rain pouring down against my window TT TTb i love...the sound of rainfall.........,,Sat Aug 18 16:06:17 +0000 2018
kreeblits,I'm having a very bad day and its only noon. I spent all night stress puking and had to call off work. Took my car into the shop and had to walk home in pouring rain. The mechanic called back and said the fix would be over $1000 and they cant approve me for financing. Like wtf,,Sat Aug 18 16:06:03 +0000 2018
4ever_ex,"@c4pp4doci4 @TheBrightHope74 @TheOnionBTS @Jin_Butterfly2 Um, hun, it was one New Wark Concert and on that day we had a storm. All colleges were closed. I had to dropmy little Sis home cause she can’t stay on the long line while it was pouring rain. Here is a photo evidence before the storm actually hit https://t.co/5JxPU4U4gf",,Sat Aug 18 16:03:50 +0000 2018
waaaaatcher,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 16:02:18 +0000 2018
FroyCollins,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 16:02:17 +0000 2018
Inndygu,"RT @CallmePRUKSA: YOU make my heart feel like it’s summer when the rain is pouring down ~ 🎵💕

to someone who always be my special one and o…","YOU make my heart feel like it’s summer when the rain is pouring down ~ 🎵💕

to someone who always be my special one and only :) 
#KornBNK48 https://t.co/r8cqliPcAd",Sat Aug 18 16:01:46 +0000 2018
xiaojuyous,"d 〰️ 31 to 长靖’s birthday ! ♡
❛ you're the coffee that i need in the morning ; you're my sunshine in the rain when it's pouring.  ❜ https://t.co/HHg7KxEdZf",,Sat Aug 18 16:00:02 +0000 2018
LyricBonIver,"This is pouring rain, this is paralyzed
I keep throwing it down two-",,Sat Aug 18 16:00:02 +0000 2018
CallmePRUKSA,"YOU make my heart feel like it’s summer when the rain is pouring down ~ 🎵💕

to someone who always be my special one and only :) 
#KornBNK48 https://t.co/r8cqliPcAd",,Sat Aug 18 15:59:43 +0000 2018
g2vF7gGTd2X1f5E,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 15:59:07 +0000 2018
EmotionsMina,"I love it when the rain is pouring above me.
Because you wouldn’t see my tears when you turn and leave me.💔",,Sat Aug 18 15:58:47 +0000 2018
nightfuIs,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:58:24 +0000 2018
Mickey_Alvira,"RT @bribrowningg: last night we went to the bars in canada and joe couldn’t get in, and had to stand in the pouring rain watching us drink…","last night we went to the bars in canada and joe couldn’t get in, and had to stand in the pouring rain watching us drink and have fun... sorry joe",Sat Aug 18 15:57:41 +0000 2018
sweetenercurls,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:57:28 +0000 2018
bribrowningg,"last night we went to the bars in canada and joe couldn’t get in, and had to stand in the pouring rain watching us drink and have fun... sorry joe",,Sat Aug 18 15:57:03 +0000 2018
breaksburnsends,RT @breaksburnsends: I SAID LEAVE BUT ALL I REALLY WANT IS YOU TO STAND OUTSIDE MY WINDOW THROWING PEBBLES SCREAMING “I’M IN LOVE WITH YOU!…,I SAID LEAVE BUT ALL I REALLY WANT IS YOU TO STAND OUTSIDE MY WINDOW THROWING PEBBLES SCREAMING “I’M IN LOVE WITH YOU!” STAND THERE IN THE POURING RAIN AND COME BACK FOR MORE AND DONT U LEAVE CAUSE I KNOW ALL I NEED IS ON THE OTHER SIDE OF THE DOOR,Sat Aug 18 15:56:30 +0000 2018
mochixlight,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:55:29 +0000 2018
Pureu_dungdung,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 15:55:20 +0000 2018
dpiller32,@MargeauxMaron the weather got crazy at the fringe last night pouring rain we had to run home in it,,Sat Aug 18 15:55:16 +0000 2018
actingoutwcleo,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 15:53:10 +0000 2018
kittiyako,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 15:52:36 +0000 2018
sydworm1,"I ran in sync with football players yesterday being literally chased by pouring rain out of Panther Fest - it was so cool, the rain just came in one giant sheet and followed us in a line, then came in waves. I wish I could’ve gotten it on video.",,Sat Aug 18 15:51:07 +0000 2018
Edmotooo,"you're the coffee that i need in the morning, you're my sunshine in the rain when it's pouring",,Sat Aug 18 15:51:03 +0000 2018
HooDaaan,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 15:50:11 +0000 2018
santi_f96,"I'm a rolling thunder
A pouring rain
I'm comin on like a Harry Kane",,Sat Aug 18 15:49:21 +0000 2018
ChinieParrie,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 15:49:09 +0000 2018
ri_bbon_,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 15:47:55 +0000 2018
nixxcco,I feel you touch me in the pouring rain,,Sat Aug 18 15:47:02 +0000 2018
jisoosocute2x,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 15:46:59 +0000 2018
da_fter,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 15:45:58 +0000 2018
zayneAsimon,"i want you out in the pouring rain, i want you down on your knees",,Sat Aug 18 15:45:50 +0000 2018
iluvggustin,RT @grandedarIing: she came hugged them in the pouring rain aww she's the most loving and caring human ever being. she's always here to put…,she came hugged them in the pouring rain aww she's the most loving and caring human ever being. she's always here to put a lot of smiles on our faces. i love her so much ♡ https://t.co/60DJGdTeDQ,Sat Aug 18 15:44:39 +0000 2018
mayumi_103,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 15:41:09 +0000 2018
bellanicholson7,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 15:40:25 +0000 2018
genuine0912,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 15:40:03 +0000 2018
little_chui,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 15:38:45 +0000 2018
yoojihwaan,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 15:38:08 +0000 2018
JulDunham,Put your fucking lights on people. It's pouring rain with lessened visibility. https://t.co/qgBLv7mrCe,,Sat Aug 18 15:36:37 +0000 2018
ThomasWelshie,RT @LadAiredale: You’ve heard of dogged determination?  This is Airedale tenacity. I don’t know how long I’ve been out here in the pouring…,You’ve heard of dogged determination?  This is Airedale tenacity. I don’t know how long I’ve been out here in the pouring rain but I do know I’ve treed a squirrel!  Happy weekend doggie friends!  #Airedale #AiredaleTerrier #LadAiredale https://t.co/HcvdI3fm9T,Sat Aug 18 15:36:29 +0000 2018
zouzhy,RT @joeysfishing: It may be pouring rain but that didn’t stop this crew from fishing this morning. The fish didn’t mind getting wet either!…,It may be pouring rain but that didn’t stop this crew from fishing this morning. The fish didn’t mind getting wet either!! #fishing #pei https://t.co/oJPgk0ES5B,Sat Aug 18 15:36:14 +0000 2018
lovinxavery,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 15:35:44 +0000 2018
_just_walk_away,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 15:34:05 +0000 2018
olsgo22,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 15:33:48 +0000 2018
Aube0819,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 15:33:44 +0000 2018
nell_useless,"넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",,Sat Aug 18 15:33:30 +0000 2018
lordtube,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 15:33:23 +0000 2018
SPJENA5,RT @Indiamining: The @goafront dharnas continue at various locations even in the pouring rain. Great dedication by the #mining dependents.#…,The @goafront dharnas continue at various locations even in the pouring rain. Great dedication by the #mining dependents.#RestartMining @My_Goa_ #Goa #GoaNeedsYourAttention @goacm @PMOIndia @manoharparrikar #GoansFightsForSurvival #GoansOnDharna #OrdinanceForMiningRestart,Sat Aug 18 15:32:24 +0000 2018
princessariBR,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:32:10 +0000 2018
WendiBury,Anyone wanna come over to drink schnaps and eat crayfish in the pouring rain?,,Sat Aug 18 15:31:39 +0000 2018
greedyypurpose,RT @grandedarIing: she came hugged them in the pouring rain aww she's the most loving and caring human ever being. she's always here to put…,she came hugged them in the pouring rain aww she's the most loving and caring human ever being. she's always here to put a lot of smiles on our faces. i love her so much ♡ https://t.co/60DJGdTeDQ,Sat Aug 18 15:30:28 +0000 2018
grandedarIing,she came hugged them in the pouring rain aww she's the most loving and caring human ever being. she's always here to put a lot of smiles on our faces. i love her so much ♡ https://t.co/60DJGdTeDQ,,Sat Aug 18 15:28:46 +0000 2018
_YannaXO_,It’s Pouring Rain RN And I Have Mad Shit To Do Smt,,Sat Aug 18 15:28:06 +0000 2018
iAshleyKimberly,RT @Chefito15: This is the weirdest rain I’ve ever seen lol . One min it pouring and outside black ...15 mins later outside bright ...then…,This is the weirdest rain I’ve ever seen lol . One min it pouring and outside black ...15 mins later outside bright ...then it black again,Sat Aug 18 15:27:37 +0000 2018
itsmeelu,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:26:14 +0000 2018
94svillegas,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:24:48 +0000 2018
kikowafuu,8D audio tapos tagpuan ni moira yung nagpeplay then the rain is pouring hard rn🌌😭 ngawaaa,,Sat Aug 18 15:22:21 +0000 2018
kimbokkat,i don't mind spending every day out on your corner in the pouring rain,,Sat Aug 18 15:22:00 +0000 2018
MGDriscoll,RT @rockinrob7970: My dog barks at rain &amp; it's pouring out. 😫,My dog barks at rain &amp; it's pouring out. 😫,Sat Aug 18 15:21:55 +0000 2018
Newacc_Chichuu,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 15:21:54 +0000 2018
WolfOfWeedST,Got my wife’s car washed and drive off happy how clean it is... starts pouring rain from a sun shower. FU south Florida... https://t.co/zXoTYiMqyk,,Sat Aug 18 15:21:46 +0000 2018
halalsomali,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 15:21:02 +0000 2018
scoochsivan,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:20:42 +0000 2018
hiibzzz,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 15:19:58 +0000 2018
Trackside2018,"Selected screenshots which I understand are the in-thing at the moment.

It's 13C and pouring with rain in Byrkjelo this afternoon and one of the men's 200m heats had a 4.1 m/s headwind! https://t.co/kNIgm9kOVc",,Sat Aug 18 15:16:58 +0000 2018
gback_23,"RT @lil_ibbee: i love how the entire SEK goes CRAZY over storms, taking videos talking about “nader chasin’” driving into dangerous weather…","i love how the entire SEK goes CRAZY over storms, taking videos talking about “nader chasin’” driving into dangerous weather, chugging beers in a lawn chair in the pouring rain.. we are a whole other breed of people not meant to survive.",Sat Aug 18 15:16:47 +0000 2018
doctordumplingg,Just rode my bike in the pouring rain for a hour and a half felt so good. Leaving my phone home and going on a ride everytime it rains now,,Sat Aug 18 15:13:36 +0000 2018
luigi_warren,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 15:13:22 +0000 2018
kara_taggaoa,therapy: crackling fire and pouring rain https://t.co/eJyis5Y4Ls,,Sat Aug 18 15:12:02 +0000 2018
Samiabou7,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:09:49 +0000 2018
princessgrayy,RT @ashleenbauer: I love hearing the sound of pouring rain...I’m staying in bed all day today,I love hearing the sound of pouring rain...I’m staying in bed all day today,Sat Aug 18 15:08:20 +0000 2018
bp_stay,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 15:08:03 +0000 2018
puff_peppr,"walked 2 miles home in the pouring rain, about a mile in i felt like i had showered with my clothes on",,Sat Aug 18 15:07:03 +0000 2018
slc9339,Pouring rain and dangerous lightening couldn't stop these guys.  1-0!! @ Corner Canyon High School https://t.co/5MACrIEuiS,,Sat Aug 18 15:06:57 +0000 2018
SlapDashSat,"RT @NdabenhleSM: The sound of the traffic is like the waves crashing while the ears are being treaded by the pouring rain.

- Nora
- An exc…","The sound of the traffic is like the waves crashing while the ears are being treaded by the pouring rain.

- Nora
- An excerpt of a manic journal entry

#SlapDashSat
#mentalhealth
#bipolardisorder
#amwriting
#amediting",Sat Aug 18 15:05:54 +0000 2018
Dow_dong,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 15:05:52 +0000 2018
RealVenom_Sage,"RT @maitrovibes: Sunshine, after the pouring rain","Sunshine, after the pouring rain",Sat Aug 18 15:05:39 +0000 2018
leavemadslonely,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:05:04 +0000 2018
swxxtener_,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:04:24 +0000 2018
thebabysri,"“we’re just gonna have a chill night” the crew said 
one person ended up missing, someone walked home 10 miles in the pouring rain, one person got stuck on the other side of town and i ended up sober even before i got home",,Sat Aug 18 15:03:35 +0000 2018
peppermayne,"What small child goes running down the street, in the pouring rain, alone?",,Sat Aug 18 15:03:17 +0000 2018
sogaxtinixbiari,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:01:44 +0000 2018
chipsxQ,"I’m a wanderess, I’m a one night stand
Don’t belong to no city, don’t belong to no man
I’m the violence in the pouring rain",,Sat Aug 18 15:01:35 +0000 2018
sweetenerdollx,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 15:00:07 +0000 2018
thatsNika__,I’m absolutely sleepy af. When the rain starts pouring down ima be OUT.,,Sat Aug 18 14:58:45 +0000 2018
jackbeomie,"RT @jaehyunbom_: 180809 -
""When the rain shower starts pouring suddenly, although you may stop to avoid the rain, it's okay to not feel has…","180809 -
""When the rain shower starts pouring suddenly, although you may stop to avoid the rain, it's okay to not feel hasty bcs when the rain stops, the sun will rise. Don't feel hasty even when there's a sudden change bcs eventually you'll meet the sun again. NCT's Night Night"" https://t.co/BE8CGz3SrH",Sat Aug 18 14:57:08 +0000 2018
Nell_LyricB,"I’ll sail,
through the pouring rain.
물론 다 흠뻑 젖을 테지만,
그러면 어때.
I’ll dance in the rain.

_Day After Day/C",,Sat Aug 18 14:56:09 +0000 2018
xfreakingfray,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:55:55 +0000 2018
RealtyofMaine,"So proud of all these REALTORS,staff and family members who braved the down pouring rain to show our support  in the fight against cancer! #AshleeStrong #WendyStrong #TammyStrong — attending 9th Annual EMMC Champion the Cure Challenge at EMMC... https://t.co/jYO8WgDnAB",,Sat Aug 18 14:54:28 +0000 2018
jenfisherr,RT @carlyadoan: I shit u not I’m currently sitting in the pouring rain listening to Everybody Hurts waiting for a bus after I just got deni…,"I shit u not I’m currently sitting in the pouring rain listening to Everybody Hurts waiting for a bus after I just got denied alcohol at the wine store in zehrs bc I look like a baby and of course the one day I’m craving wine all day at work I don’t have my ID, FUCKING CHEERS!!😊",Sat Aug 18 14:52:49 +0000 2018
NickOrwell,Sun is gone in Scotland...back to running in the pouring rain!  ☔️  20 miler but luckily I had @leviopenswine to listen to.  Great episode and so much to enjoy about #Beaujolais and it’s history.  #morgon #marathon @drinktothatpod #running https://t.co/YTYWxwFt1Z,,Sat Aug 18 14:51:33 +0000 2018
PunslingerMaddy,@madd_gab Take them in the pouring rain. Makes for memorable pictures https://t.co/ytqP85JPiE,,Sat Aug 18 14:51:19 +0000 2018
ImABakedPotato7,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:49:50 +0000 2018
Strat4dKidrauhl,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:49:42 +0000 2018
Cabe3Mc,@AnfonyHunt Not right now though it been pouring rain since 5,,Sat Aug 18 14:49:34 +0000 2018
__Jonce__,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:49:30 +0000 2018
TishyraTishyra2,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:49:19 +0000 2018
wizeone37,Today I took advantage of #EarlyVoting. It was pouring down rain. I went anyway. #NoExcuses #BlueWave,,Sat Aug 18 14:47:54 +0000 2018
madsmyfavbeer,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:47:44 +0000 2018
