CmCristy53,RT @Marebear1472: @paxton Is the shooter in custody?,@paxton Is the shooter in custody?,Sun Aug 19 15:41:13 +0000 2018
tvNewsChristina,"RT @engineco16: #UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after a…","#UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after active shooter at a #Walmart in #MontgomeryCounty #Pennsylvania.",Tue Aug 14 23:09:24 +0000 2018
engineco16,"#UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after active shooter at a #Walmart in #MontgomeryCounty #Pennsylvania.",,Tue Aug 14 23:09:08 +0000 2018
TerriE1001,"The 48-year-old Clearwater man was taken into custody Monday morning, according to the Pinellas County Sheriff’s Office. He was booked about 12:20 p.m. into the Pinellas County Jail, where he was held in lieu of $100,000 bail as of Monday night. 
https://t.co/ap6usn2keL",,Tue Aug 14 22:53:57 +0000 2018
antdebo14,"RT @PhillyFireNews: Active Shooter- Cheltenham Twp, Montco. Easton Rd. @Walmart. Reports person in custody in philly . Unconfirmed","Active Shooter- Cheltenham Twp, Montco. Easton Rd. @Walmart. Reports person in custody in philly . Unconfirmed",Tue Aug 14 22:32:42 +0000 2018
solarek_rachel,"RT @PhillyFireNews: Active Shooter- Cheltenham Twp, Montco. Easton Rd. @Walmart. Reports person in custody in philly . Unconfirmed","Active Shooter- Cheltenham Twp, Montco. Easton Rd. @Walmart. Reports person in custody in philly . Unconfirmed",Tue Aug 14 22:32:28 +0000 2018
PhillyFireNews,"Active Shooter- Cheltenham Twp, Montco. Easton Rd. @Walmart. Reports person in custody in philly . Unconfirmed",,Tue Aug 14 22:29:16 +0000 2018
GwinnettGAPatch,"SWAT Teams Enter House, Shooter In Custody, Standoff Over https://t.co/t5MTiMFqPn",,Tue Aug 14 22:20:43 +0000 2018
PtreeCrnrsPatch,"SWAT Teams Enter House, Shooter In Custody, Standoff Over https://t.co/8zBruIteOX",,Tue Aug 14 22:13:07 +0000 2018
SnellvillePatch,"SWAT Teams Enter House, Shooter In Custody, Standoff Over https://t.co/M9fvmxuhDR",,Tue Aug 14 22:13:03 +0000 2018
NorcrossPatch,"SWAT Teams Enter House, Shooter In Custody, Standoff Over https://t.co/9SOojfnhYB",,Tue Aug 14 21:58:59 +0000 2018
LawvillePatch,"SWAT Teams Enter House, Shooter In Custody, Standoff Over https://t.co/m29lbnT3Mb",,Tue Aug 14 21:58:56 +0000 2018
DaculaPatch,"SWAT Teams Enter House, Shooter In Custody, Standoff Over https://t.co/OT7IDKgfIZ https://t.co/oaCP7Ctpl1",,Tue Aug 14 21:55:38 +0000 2018
LilburnPatch,"SWAT Teams Enter House, Shooter In Custody, Standoff Over https://t.co/hSTjH6EtK4 https://t.co/tuzZDhCmf6",,Tue Aug 14 21:55:34 +0000 2018
SuwaneePatch,"SWAT Teams Enter House, Shooter In Custody, Standoff Over https://t.co/T75ai1vJ8i https://t.co/JyGklw8I3U",,Tue Aug 14 21:55:34 +0000 2018
DuluthPatch,"SWAT Teams Enter House, Shooter In Custody, Standoff Over https://t.co/a0uhXQK0wO https://t.co/iT8TD5XF2X",,Tue Aug 14 21:55:34 +0000 2018
LoganGrayPatch,"SWAT Teams Enter House, Shooter In Custody, Standoff Over https://t.co/zh3i76LTC4 https://t.co/UwYjF2lswv",,Tue Aug 14 21:55:34 +0000 2018
BufordGAPatch,"SWAT Teams Enter House, Shooter In Custody, Standoff Over https://t.co/krNGxA6iNv https://t.co/fyPIhXtb9s",,Tue Aug 14 21:55:33 +0000 2018
RavanReborn,"@iambroke5 @basu_smarajit @kunalkamra88 @UmarKhalidJNU @Shehla_Rashid @bainjal @pbhushan1 @sardesairajdeep @Nidhi In both case, catch the shooter and keep him in police custody..let the truth come out.",,Tue Aug 14 09:05:55 +0000 2018
SavageTooney,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Mon Aug 13 21:17:56 +0000 2018
AGirlHasNoPres,"Yes! As he should be! #Florida #standyourground “Alleged shooter Michael Drejka, 47, was taken into custody on Monday, the Pinellas County Sheriff's Office said in a statement.” https://t.co/mUYCOBrYOI",,Mon Aug 13 16:54:23 +0000 2018
fox32news,"RT @TIA_EWING: A shooting in front of the Hilton Hotel off of Michigan Ave. and E. 8th St. at 12:10AM. A man was hit three times, it’s beli…","A shooting in front of the Hilton Hotel off of Michigan Ave. and E. 8th St. at 12:10AM. A man was hit three times, it’s believed he knew the shooter. No one is in custody as detectives continue to investigate. @fox32news https://t.co/PNW4iI2Qlp",Mon Aug 13 10:37:03 +0000 2018
TIA_EWING,"A shooting in front of the Hilton Hotel off of Michigan Ave. and E. 8th St. at 12:10AM. A man was hit three times, it’s believed he knew the shooter. No one is in custody as detectives continue to investigate. @fox32news https://t.co/PNW4iI2Qlp",,Mon Aug 13 09:39:47 +0000 2018
BobbyB_PB,RT @The_Trump_Train: REPORT: Law enforcement official identifies person in custody in Texas school shooting as 17-year-old Dimitrios Pagour…,"REPORT: Law enforcement official identifies person in custody in Texas school shooting as 17-year-old Dimitrios Pagourtzis.

Shooter had communist and ANTIFA symbolism on his jacket.",Mon Aug 13 01:56:51 +0000 2018
StovetopRadio,Shooter In Custody https://t.co/soUUysJxwg,,Mon Aug 13 01:56:19 +0000 2018
posthumousart,police are still hanging out. yes lucky you can sit on the balcony the shooter is in custody ki cat https://t.co/pXUF1BD8YW,,Sun Aug 12 18:34:53 +0000 2018
BrandyBlueSassy,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sun Aug 12 13:28:01 +0000 2018
BrandyBlueSassy,"RT @BlockChainQuest: @michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't…","@michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't know the shooter's name yet? He's been in custody nearly 24 hrs.",Sun Aug 12 12:51:04 +0000 2018
SamnangMedia,RT @channeltennews: Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Prat…,Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Pratt10 https://t.co/VpF1sqjqat,Sun Aug 12 06:55:44 +0000 2018
AngelaTange65,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sun Aug 12 06:55:29 +0000 2018
WillSolomons,"RT @gsusignal: #GSUPD takes shooter in custody after an incident outside The Commons
https://t.co/pYHooUMmCb","#GSUPD takes shooter in custody after an incident outside The Commons
https://t.co/pYHooUMmCb",Sun Aug 12 01:14:49 +0000 2018
bobsurunckle,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sun Aug 12 01:02:16 +0000 2018
J0rdan0re0,They have the active shooter in custody,,Sun Aug 12 00:58:27 +0000 2018
juliannpineda,"RT @gsusignal: #GSUPD takes shooter in custody after an incident outside The Commons
https://t.co/pYHooUMmCb","#GSUPD takes shooter in custody after an incident outside The Commons
https://t.co/pYHooUMmCb",Sun Aug 12 00:30:25 +0000 2018
gsusignal,"#GSUPD takes shooter in custody after an incident outside The Commons
https://t.co/pYHooUMmCb",,Sun Aug 12 00:29:37 +0000 2018
BreWeatherfork,"@MRNXOXO__ Did the shooter get taken into custody if you got to see? and wow that’s crazy, and in that area they just started doing stuff and hosting stuff and now nobody is gonna feel safe smh",,Sun Aug 12 00:12:35 +0000 2018
bouliane_r,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 22:22:07 +0000 2018
shadownlite,"RT @SpokesmanReview: News release from Global Credit Union says no one at the branch injured, shooter now in custody. Shooter was apparentl…","News release from Global Credit Union says no one at the branch injured, shooter now in custody. Shooter was apparently wearing a motorcycle helmet; opened fire on entering the branch. Security guard returned fire, according to the release.",Sat Aug 11 21:55:32 +0000 2018
candidginger,"RT @SpokesmanReview: News release from Global Credit Union says no one at the branch injured, shooter now in custody. Shooter was apparentl…","News release from Global Credit Union says no one at the branch injured, shooter now in custody. Shooter was apparently wearing a motorcycle helmet; opened fire on entering the branch. Security guard returned fire, according to the release.",Sat Aug 11 21:54:59 +0000 2018
SpokesmanReview,"News release from Global Credit Union says no one at the branch injured, shooter now in custody. Shooter was apparently wearing a motorcycle helmet; opened fire on entering the branch. Security guard returned fire, according to the release.",,Sat Aug 11 21:54:41 +0000 2018
MattRossler,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 21:00:14 +0000 2018
LuisPAZ,RT @reFocusZone: #Fredericton: Whenever Police HIDE the shooter's name... its usually a clear giveaway that the killer is likely a muslim/m…,"#Fredericton: Whenever Police HIDE the shooter's name... its usually a clear giveaway that the killer is likely a muslim/minority and this could be another terror attack that the biased media will want to play down or cover up:

#news #Canada #tcot https://t.co/klFEr0xqgT #MAGA https://t.co/EO0mPGhHrY",Sat Aug 11 20:38:38 +0000 2018
craig_s_bell,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 20:05:56 +0000 2018
JudyRya18026210,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 19:59:27 +0000 2018
Marilyn2617,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 18:00:26 +0000 2018
billyray105,"RT @BlockChainQuest: @michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't…","@michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't know the shooter's name yet? He's been in custody nearly 24 hrs.",Sat Aug 11 16:20:25 +0000 2018
sparkyofAlberta,RT @Jackstar009: #CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two unifo…,#CBC is reporting that it appears the shooting began at residential building. Shooter was perched out a window.  Two uniformed bodies and one civilian were seen on the ground by this witness. Still very active scene despite one shooter in custody. #Fredericton,Sat Aug 11 15:33:31 +0000 2018
miniminivj,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 15:23:53 +0000 2018
JennHaff,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 15:23:01 +0000 2018
ecks_raise,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 15:17:07 +0000 2018
AzDeplorable,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 15:08:49 +0000 2018
captivatingIsle,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 15:07:31 +0000 2018
dunbdav,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 14:22:14 +0000 2018
cannabiscultur6,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 14:17:48 +0000 2018
_ADB1979,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 14:16:17 +0000 2018
CoitusInterupt2,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:57:02 +0000 2018
AllrightWing,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:52:27 +0000 2018
MaryBaigent1,"RT @BlockChainQuest: @michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't…","@michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't know the shooter's name yet? He's been in custody nearly 24 hrs.",Sat Aug 11 13:50:55 +0000 2018
MagwetT,"RT @BlockChainQuest: @michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't…","@michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't know the shooter's name yet? He's been in custody nearly 24 hrs.",Sat Aug 11 13:46:31 +0000 2018
macca1969uk,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:42:38 +0000 2018
faial1956,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:41:39 +0000 2018
Mr_Leclair,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:35:16 +0000 2018
Sonofabutcher22,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:33:41 +0000 2018
stevenhld,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:28:43 +0000 2018
p_acrc,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:27:34 +0000 2018
Charliekuss,"RT @BlockChainQuest: @michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't…","@michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't know the shooter's name yet? He's been in custody nearly 24 hrs.",Sat Aug 11 13:25:58 +0000 2018
soniaerasmus,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:25:43 +0000 2018
ObservingMedia,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:25:20 +0000 2018
ezralevant,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:25:06 +0000 2018
monica_barona,"RT @BlockChainQuest: @michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't…","@michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't know the shooter's name yet? He's been in custody nearly 24 hrs.",Sat Aug 11 13:18:00 +0000 2018
Grewupinscarb,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:14:05 +0000 2018
BlockChainQuest,"@michaelcoren @CBC Hi first bluecheck to come up under #Fredrictonshooting , are you also maybe wondering why we don't know the shooter's name yet? He's been in custody nearly 24 hrs.",,Sat Aug 11 13:13:30 +0000 2018
peterdiane01,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:04:08 +0000 2018
MagwetT,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 13:02:17 +0000 2018
knsgee,24 hours after incident and suspect in custody and identity of suspect still not known? What in hell is this ….is the news being suppressed... to give Libs a chance to spin if there is any sort of way the identity of shooter could impact negatively on them? https://t.co/JY4XSZEMcQ,,Sat Aug 11 12:01:29 +0000 2018
BaeleeElizabeth,"RT @courierpress: One in police custody, one hospitalized after drive-by shooting at Riverside and Boeke https://t.co/3jevVV8J6v https://t.…","One in police custody, one hospitalized after drive-by shooting at Riverside and Boeke https://t.co/3jevVV8J6v https://t.co/jD7BaY2u6e",Sat Aug 11 11:35:21 +0000 2018
rdviger,"@WakeUpCanada1 @680NEWS It is highly suspect that after all this time, the shooter has not been named or shown, and yet he's in custody. We all know what that usually means.",,Sat Aug 11 11:28:05 +0000 2018
hitech_guru,Canada shooting: Fredericton rampage leaves four dead – shooter in custody  https://t.co/BqgG6t5Xwq #FrederictonShooting #Fredericton #Shooting #NewBrunswick #Gunviolence #Guncrimes #NewBrunswick #Gunsense #nbpoli  #cdnpoli #Guncontrol #Gunreform #CanadaShooting #Canada #Police,,Sat Aug 11 11:05:24 +0000 2018
Murdog1,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 09:18:58 +0000 2018
Kim_Pratt10,RT @channeltennews: Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Prat…,Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Pratt10 https://t.co/VpF1sqjqat,Sat Aug 11 08:32:25 +0000 2018
NewsComforts,RT @channeltennews: Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Prat…,Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Pratt10 https://t.co/VpF1sqjqat,Sat Aug 11 08:05:43 +0000 2018
tennewsqld,RT @channeltennews: Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Prat…,Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Pratt10 https://t.co/VpF1sqjqat,Sat Aug 11 08:02:32 +0000 2018
TenNewsPerth,RT @channeltennews: Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Prat…,Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Pratt10 https://t.co/VpF1sqjqat,Sat Aug 11 08:02:29 +0000 2018
tennewsmelb,RT @channeltennews: Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Prat…,Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Pratt10 https://t.co/VpF1sqjqat,Sat Aug 11 08:02:27 +0000 2018
TenNewsSydney,RT @channeltennews: Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Prat…,Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Pratt10 https://t.co/VpF1sqjqat,Sat Aug 11 08:02:25 +0000 2018
channeltennews,Two police officers are among four people killed in a shooting in Canada. The shooter is in custody. #TenNews @Kim_Pratt10 https://t.co/VpF1sqjqat,,Sat Aug 11 08:01:02 +0000 2018
ronmarshaw,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 07:18:32 +0000 2018
c1w2d3,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 06:33:36 +0000 2018
lbastura,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 06:01:50 +0000 2018
saltw0und,"RT @courierpress: One in police custody, one hospitalized after drive-by shooting at Riverside and Boeke https://t.co/3jevVV8J6v https://t.…","One in police custody, one hospitalized after drive-by shooting at Riverside and Boeke https://t.co/3jevVV8J6v https://t.co/jD7BaY2u6e",Sat Aug 11 06:01:21 +0000 2018
lisamoosie13,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 05:49:55 +0000 2018
AnnStew80895938,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 05:32:51 +0000 2018
maddog007764,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 05:14:40 +0000 2018
Stan7300,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 05:11:23 +0000 2018
HelenAn29146628,@AntibossiFred This is really odd. If its was just one random shooter and he's in custody why are 50 tenants from the building not allowed back in? And why do we have to wait for days to see who the suspect is?,,Sat Aug 11 04:54:14 +0000 2018
Cdn_Catechist,"@womaninmedicine 2 police killed in Fredrictom, and 2 civilians killed ......all we know is that the shooter is injured and in custody. 

Shooter family told CP that shooter had "" Severe mental illness "" .....but we don't have his name",,Sat Aug 11 04:47:54 +0000 2018
CelinaSivret,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 04:42:43 +0000 2018
londonfoto1,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 04:38:09 +0000 2018
BoldAnalysis,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 04:34:58 +0000 2018
brentwhite555,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 04:33:32 +0000 2018
MoeBhatha,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 04:28:42 +0000 2018
