hailey_lynn1012,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:14:39 +0000 2018
xoraelynxo__,"RT @karr_karrr: Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring","Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring",Sat Aug 18 23:02:34 +0000 2018
KingFelix_5,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:02:32 +0000 2018
jpw4dt,@realDonaldTrump @MelPolka1 Thank you Mr. President.....be careful about which countries u help develop..very careful......,,Sat Aug 18 23:02:32 +0000 2018
natashaklueser1,"RT @BIGMONEYMIKE6: I'VE COUNTED OVER 248 "" FAKE #BMM IMPOSTERS "" THIS YEAR ALONE... LAST YEAR THERE WAS OVER 500...

BE CAREFUL TRADERS ...…","I'VE COUNTED OVER 248 "" FAKE #BMM IMPOSTERS "" THIS YEAR ALONE... LAST YEAR THERE WAS OVER 500...

BE CAREFUL TRADERS .... 

EVEN A GROUP OUT OF THE UKRAINE HAVE TRIED TO HACK MY TWITTER

ONLY FOLLOW THIS TWITTER &amp; MY EMAIL

"" HATERS "" WILL DO ANYTHING TO MAKE A FAST BUCK SMH https://t.co/NkEOGyymDc",Sat Aug 18 23:02:31 +0000 2018
AlexysGrooms,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:02:26 +0000 2018
cobblepotcrazed,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:02:24 +0000 2018
sophimccracken,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:02:21 +0000 2018
Fabric_God_,"RT @desiiEAGLE: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:02:21 +0000 2018
Guilbrah,RT @kathygriffin: Has anyone stopped to think that Omarosa releasing tapes is hurting the Mueller investigation? Trump people will be more…,Has anyone stopped to think that Omarosa releasing tapes is hurting the Mueller investigation? Trump people will be more careful what they say around each other now. What if Mueller wanted to tap some phones or have someone wear a wire. Not sure people will speak as freely now,Sat Aug 18 23:02:21 +0000 2018
ampofo_patricia,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:02:18 +0000 2018
iansouthward11,"@DannyLes3 I told a friend who is an Arsenal supporter ‘ be careful what you wish for ‘ as he said wenger should go ,they’ve now become a sacking club ,with a new manager every couple of years which means their league position will yo-yo !!!!!",,Sat Aug 18 23:02:16 +0000 2018
kforkayllaa,RT @ayethatsnayy: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:02:11 +0000 2018
yesssness,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:02:09 +0000 2018
joebananass,"@SebastianComedy @sfmasonic If u happen to take a walk down the block,  be careful not to step in the piss and shit.",,Sat Aug 18 23:02:08 +0000 2018
thuggerfan72,RT @YslDuke: Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Sat Aug 18 23:02:08 +0000 2018
auutttt,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:02:04 +0000 2018
vidaderez,RT @YslDuke: Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Sat Aug 18 23:02:03 +0000 2018
afetterr,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:02:02 +0000 2018
annpresti,RT @siwonest_com: Dear Siwon fan... @Dtopbeautyworld is fake account !! Pls be careful Siwon is not nominate now @tccandler We hope nominat…,Dear Siwon fan... @Dtopbeautyworld is fake account !! Pls be careful Siwon is not nominate now @tccandler We hope nominate soon !! @siwonchoi #siwon #Tccandler2018 https://t.co/It0Be8DyJe,Sat Aug 18 23:02:01 +0000 2018
bbynatttt,RT @ayethatsnayy: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:02:00 +0000 2018
keannaeve,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:01:56 +0000 2018
DeeannaLucas,RT @reviewjournal: Be careful out there! @ClarkCountyNV has issued an air quality advisory for the Las Vegas Valley for Tuesday and Wednesd…,Be careful out there! @ClarkCountyNV has issued an air quality advisory for the Las Vegas Valley for Tuesday and Wednesday→https://t.co/wnStE4nA37 https://t.co/uoQAIRdfxW,Sat Aug 18 23:01:54 +0000 2018
sheispoplit,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:01:49 +0000 2018
shadezshaa,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:01:46 +0000 2018
janet_bosnjak,RT @teachergoals: We can't control what a kid sees at home. We can model a love of reading to kids in the classroom. Be careful when pickin…,We can't control what a kid sees at home. We can model a love of reading to kids in the classroom. Be careful when picking up your phone around kids. #teachergoals https://t.co/PpUM8UgE3j,Sat Aug 18 23:01:43 +0000 2018
GrandpaGaster,Please be careful when traveling around the CORE.,,Sat Aug 18 23:01:40 +0000 2018
_ncxlv,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:01:37 +0000 2018
dreamofchelsea,RT @khairahvercetti: Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy…,Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy trailblazer. That sick fuck tried to get into my apartment last night while I was at home. The police has a warrant out for his arrest. PLEASE BE SAFE!,Sat Aug 18 23:01:32 +0000 2018
LaBelle_Bee,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:01:31 +0000 2018
_thaliapalmore,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:01:26 +0000 2018
PrincessPrism,Tropes You Need to Be Careful of in RPG Scenarios for Table Top or Group RPs: Amnesia.,,Sat Aug 18 23:01:22 +0000 2018
rbdwarf,"@qikipedia Be careful, that's how many penises have been broken",,Sat Aug 18 23:01:21 +0000 2018
inkdsoul,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:01:21 +0000 2018
HannahMixdChick,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:01:19 +0000 2018
Yvng_Cartii,RT @ayethatsnayy: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:01:19 +0000 2018
itslikemagic__,RT @khairahvercetti: Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy…,Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy trailblazer. That sick fuck tried to get into my apartment last night while I was at home. The police has a warrant out for his arrest. PLEASE BE SAFE!,Sat Aug 18 23:01:19 +0000 2018
Groupie4ever,"@AFnnis Now, you just gave antis what they wanted...Please, be careful what you tweet and imply about ARMYS because we're never part of petty strategies like these. We prefer to focus our energy on productive things, like streaming.",,Sat Aug 18 23:01:18 +0000 2018
heatsealer30,@BowlingCombest @FoxNews @newtgingrich Exactly so poorly thought out there is no answer. With most communist Idea's its someone who think's they're smarter than the rest. That person will be very oppressive. Careful what you wish for.,,Sat Aug 18 23:01:17 +0000 2018
XLQSXPpJ97MJWPo,"RT @BIGMONEYMIKE6: I'VE COUNTED OVER 248 "" FAKE #BMM IMPOSTERS "" THIS YEAR ALONE... LAST YEAR THERE WAS OVER 500...

BE CAREFUL TRADERS ...…","I'VE COUNTED OVER 248 "" FAKE #BMM IMPOSTERS "" THIS YEAR ALONE... LAST YEAR THERE WAS OVER 500...

BE CAREFUL TRADERS .... 

EVEN A GROUP OUT OF THE UKRAINE HAVE TRIED TO HACK MY TWITTER

ONLY FOLLOW THIS TWITTER &amp; MY EMAIL

"" HATERS "" WILL DO ANYTHING TO MAKE A FAST BUCK SMH https://t.co/NkEOGyymDc",Sat Aug 18 23:01:15 +0000 2018
eiyamarla,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:01:14 +0000 2018
jronin_,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:01:14 +0000 2018
rachel_maria65,"@TheRickWilson Dang, be careful Rick.",,Sat Aug 18 23:01:13 +0000 2018
doya_meade,@773Jaw @oliverdarcy @RealJamesWoods @CNN Be careful...you'll give them the excuse they're looking for.,,Sat Aug 18 23:01:13 +0000 2018
sophxvc,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:01:09 +0000 2018
gaylaechols3,"RT @BIGMONEYMIKE6: #BMM #PENNYSTOCKS MEMO:

FAM , THERE ARE A LOT OF SNAKES &amp; SCAMMERS OUT THERE &amp; U NEED TO BE VERY CAREFUL !

STOCKS THAT…","#BMM #PENNYSTOCKS MEMO:

FAM , THERE ARE A LOT OF SNAKES &amp; SCAMMERS OUT THERE &amp; U NEED TO BE VERY CAREFUL !

STOCKS THAT HAVE MARKET MAKERS SUCH AS.. "" VFIN ,MAXM ,VNDM "" ON THE ASK ON LEVEL 2 ( LEARN HOW TOREAD L2 ) ARE DILUTING ( SELLING )

$BIOAQ &amp; $DRUS ARE "" RAPING "" NEWBIES https://t.co/uspl3ik7vL",Sat Aug 18 23:01:09 +0000 2018
lmspetitt,Be careful what you say! What you say becomes a belief. What you believe becomes reality.,,Sat Aug 18 23:01:09 +0000 2018
MeridaCabreada,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:01:08 +0000 2018
almightyR_,"RT @_Toroooo: Be careful, that fake love be feeling real too.","Be careful, that fake love be feeling real too.",Sat Aug 18 23:01:05 +0000 2018
ogderko,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:01:02 +0000 2018
desireenoya,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:01:01 +0000 2018
misshuxtable,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:01:01 +0000 2018
K_SMITH_007,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:01:01 +0000 2018
JaidenItson,RT @ayethatsnayy: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:00:58 +0000 2018
jaelynn_11,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:00:58 +0000 2018
hoodrichkaren,RT @khairahvercetti: Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy…,Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy trailblazer. That sick fuck tried to get into my apartment last night while I was at home. The police has a warrant out for his arrest. PLEASE BE SAFE!,Sat Aug 18 23:00:57 +0000 2018
papii_413,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:00:57 +0000 2018
NamyDiablo,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:00:57 +0000 2018
MrWeilai,@DePhocas48 @scarlet_whimsy Honestly Paris and Barcelona are the worst EU cities safety-wise. Always be careful but I know I feel way safer in Prague or Sofia than I do in Paris or Bcn.,,Sat Aug 18 23:00:56 +0000 2018
maribelWOULD,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:00:55 +0000 2018
LionHeartedDame,"To my best friend, Johnny.

Good luck for tonight, this journey has been a emotional rollercoaster. After everything that we have been through, it’s now time for you to go out there and get your dream. Please be careful. https://t.co/dA9DN7mIdw",,Sat Aug 18 23:00:53 +0000 2018
PilarLo42121920,RT @siwonest_com: Dear Siwon fan... @Dtopbeautyworld is fake account !! Pls be careful Siwon is not nominate now @tccandler We hope nominat…,Dear Siwon fan... @Dtopbeautyworld is fake account !! Pls be careful Siwon is not nominate now @tccandler We hope nominate soon !! @siwonchoi #siwon #Tccandler2018 https://t.co/It0Be8DyJe,Sat Aug 18 23:00:53 +0000 2018
Simplyyaugust,RT @khairahvercetti: Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy…,Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy trailblazer. That sick fuck tried to get into my apartment last night while I was at home. The police has a warrant out for his arrest. PLEASE BE SAFE!,Sat Aug 18 23:00:52 +0000 2018
malijaid_2017,"RT @rachmurphh: Hello!! I have seen (many!!) posts about people attempting trafficking of girls in Missouri lately, and I just want to say…","Hello!! I have seen (many!!) posts about people attempting trafficking of girls in Missouri lately, and I just want to say that I will NEVER run away!! If I go missing, something is WRONG!!! Please trust your instincts and be careful out there everyone!!!!!!",Sat Aug 18 23:00:51 +0000 2018
TremaineLdn,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:00:50 +0000 2018
Tilar__,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:00:50 +0000 2018
VanillaCoke223,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:00:50 +0000 2018
yanaaaa_____,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:00:49 +0000 2018
KarinBroacher,"@SkylarBartz2 *sighs relieved, she’s not sure how to save someone drowning or CPR.* I’m sorry baby, I’ll be more careful with you.",,Sat Aug 18 23:00:49 +0000 2018
niseeeeyyy,RT @Chanceyboii: Be careful who you trust. Even salt looks like sugar,Be careful who you trust. Even salt looks like sugar,Sat Aug 18 23:00:48 +0000 2018
musotica,"Sexy Be Careful Sleeved Eyelash Lace and Pink Satin Mini Dress #Lingerie #Freeshipping #Gift #New #ClubWear #Festival
➤ https://t.co/ifhSsB0r7u https://t.co/Rw0fVj28tJ",,Sat Aug 18 23:00:47 +0000 2018
PilotincommandF,I added a video to a @YouTube playlist https://t.co/5XB9enJ9Ut JayKode - Careful (feat. Sam Bruno),,Sat Aug 18 23:00:46 +0000 2018
mcneilfarms,RT @lemzia: @ShannonPoe @RoseDC11 @calvin2000 @KimsInAmerica @mcneilfarms @Ranger3079 @del_vol @KStiffers @TrakkerJane @RamBoPirate @Dina1t…,"@ShannonPoe @RoseDC11 @calvin2000 @KimsInAmerica @mcneilfarms @Ranger3079 @del_vol @KStiffers @TrakkerJane @RamBoPirate @Dina1trump @GiGi73647891 @RitchieJodi @Tabasc0NGinger @MTReserved @andyzoric You don't have a Shoe Fetish???
be careful, someone might Yank your Woman card LOL",Sat Aug 18 23:00:44 +0000 2018
L_J_Kane_Author,"RT @SelfPubShowcase: Be careful what you wish for, and be careful who you wish for, because obsession may just come with a price... @cheryl…","Be careful what you wish for, and be careful who you wish for, because obsession may just come with a price... @cherylbuts https://t.co/YR2TD9TAot #NewAdult, #Psychological, #Social &amp; #Family Issues",Sat Aug 18 23:00:42 +0000 2018
TrillTae317,RT @YslDuke: Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Sat Aug 18 23:00:39 +0000 2018
mayakhattra,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:00:38 +0000 2018
gooner_utkarsh,"Subs - Torreira - (6/10) 
Makes those silly tackles in dangerous positions. Needs to be careful there. Quick with the distribution. Ability to do small 1-2’s in midfield and move the ball forward. Has to start next week.",,Sat Aug 18 23:00:37 +0000 2018
adriandt31,"RT @thepatriotusa_1: @adriandt31 @jayMAGA45 Be careful patriots, #Anqueefa is on the prowl.","@adriandt31 @jayMAGA45 Be careful patriots, #Anqueefa is on the prowl.",Sat Aug 18 23:00:33 +0000 2018
alexis0126_,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:00:32 +0000 2018
KMTSTREE,A false sense of pride will have you throwing out the baby with the bath water...be careful,,Sat Aug 18 23:00:29 +0000 2018
Stoned_Wolf,RT @YslDuke: Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Sat Aug 18 23:00:29 +0000 2018
CherniseRenee,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:00:28 +0000 2018
King_Trump_2020,@Reighterz be careful big guy https://t.co/vqNdswe6v1,,Sat Aug 18 23:00:27 +0000 2018
angelahoodlmao,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:00:26 +0000 2018
onionhaseeyo,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:00:23 +0000 2018
madlee7,RT @Glorious716: Be careful who you let into your life,Be careful who you let into your life,Sat Aug 18 23:00:20 +0000 2018
msinc95,RT @GOONyyyyyyy: Be careful how you treat people,Be careful how you treat people,Sat Aug 18 23:00:18 +0000 2018
amooseber,"RT @lyssa_vogt: A few weekends ago at work, I went out to my car for my break and noticed a white “X” drawn into the corner of my back wind…","A few weekends ago at work, I went out to my car for my break and noticed a white “X” drawn into the corner of my back windshield in marker, I immediately wiped it off with water, but it was honestly terrifying and could’ve turned into a super scary situation so ladies BE CAREFUL https://t.co/LrkMtFR600",Sat Aug 18 23:00:12 +0000 2018
ApiecalypseNow,"@goddamnittarah Yo, if God was against abortions why make them possible? Like, I can’t re-grow my arm because presumably “God” was like “you get TWO MAX So be careful” meanwhile starfish and lizards he was like “you’re good, infinite arms!” So if it is part of our design, isn’t it his will?",,Sat Aug 18 23:00:10 +0000 2018
chloeetsx,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:00:10 +0000 2018
PodfoxGames,I gotta be careful in this one https://t.co/1jd7HjYV9y,,Sat Aug 18 23:00:05 +0000 2018
Wisecrackings0,"Be careful or one of us will get hurt.

#SherlockJr #moviequotes https://t.co/BJMS9MQzgX",,Sat Aug 18 23:00:03 +0000 2018
HadynLynn,"RT @ChocolateLucyLu: Athletes &amp; Greeks (especially the ques) please be careful on how you handle women. Especially when drunk. 

We know ya…","Athletes &amp; Greeks (especially the ques) please be careful on how you handle women. Especially when drunk. 

We know yall can have a sense of entitlement but try to treat women like decent human beings.

Your sense of entitlement is not consent.   Hold your peers accountable too.",Sat Aug 18 23:00:01 +0000 2018
pretty_jazziee,RT @blairherrodddd: Be careful who you loyal to. 😉,Be careful who you loyal to. 😉,Sat Aug 18 23:00:01 +0000 2018
desireebiddings,"RT @karr_karrr: Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring","Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring",Sat Aug 18 23:00:01 +0000 2018
TheGlocal,"When you see this picture you will think it is food but when you focus you will see dogs in the food .. so be careful.

#food @dogs #TheGlocal 

https://t.co/tGqfQhkDyg",,Sat Aug 18 23:00:00 +0000 2018
AvalonWhite1,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 22:59:57 +0000 2018
LifeOfAStandout,RT @Glorious716: Be careful who you let into your life,Be careful who you let into your life,Sat Aug 18 22:59:57 +0000 2018
elexnoronexl,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 22:59:55 +0000 2018
_DMoney_22,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 22:59:54 +0000 2018
Marieezy_E,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 22:59:49 +0000 2018
thepatriotusa_1,"@adriandt31 @jayMAGA45 Be careful patriots, #Anqueefa is on the prowl.",,Sat Aug 18 22:59:48 +0000 2018
Moe_ARMY_BTS,"RT @VKOOKcom: here is a video of jungkook asking taehyung to be careful with the knife 

one word to describe them: domestic
two words: dom…","here is a video of jungkook asking taehyung to be careful with the knife 

one word to describe them: domestic
two words: domestic boyfriends 
three words: cute domestic boyfriends https://t.co/eXUkP8t9Rg",Sat Aug 18 22:59:47 +0000 2018
sweatsharkk,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 22:59:46 +0000 2018
