ikodu_boie,@thatboi_on_fire @Klannyposts @GeniusJokerNG Tank yu,,Sun Aug 19 08:16:27 +0000 2018
RickNohl,"RT @ENG1SFD: Malden MA, Tanker accident on Rt-1 south, tanker jacked knifed onto the Guardrail, no fire no leak from trailer tank, prolonge…","Malden MA, Tanker accident on Rt-1 south, tanker jacked knifed onto the Guardrail, no fire no leak from trailer tank, prolonged removal from guard rail. Rt -1 south remains closed. https://t.co/I1AmF55rZD",Sun Aug 12 11:56:38 +0000 2018
ENG1SFD,"Malden MA, Tanker accident on Rt-1 south, tanker jacked knifed onto the Guardrail, no fire no leak from trailer tank, prolonged removal from guard rail. Rt -1 south remains closed. https://t.co/I1AmF55rZD",,Sun Aug 12 11:56:16 +0000 2018
hscleasby,"RT @MauriceSchleepe: This morning #Ukraine regime forces opened fire on #Donetsk,#Leninskoye region South #DPR territory with the use of 12…","This morning #Ukraine regime forces opened fire on #Donetsk,#Leninskoye region South #DPR territory with the use of 120mm Caliber mortars and anti-Tank Grenade launchers,#Donbass. https://t.co/FatB7fH3Ih",Sun Aug 12 11:30:59 +0000 2018
s_total_s2,"RT @MauriceSchleepe: This morning #Ukraine regime forces opened fire on #Donetsk,#Leninskoye region South #DPR territory with the use of 12…","This morning #Ukraine regime forces opened fire on #Donetsk,#Leninskoye region South #DPR territory with the use of 120mm Caliber mortars and anti-Tank Grenade launchers,#Donbass. https://t.co/FatB7fH3Ih",Sun Aug 12 11:25:39 +0000 2018
RocCityRetweet,RT @barstow_scott: East Avon and multiple mutual aid responded to a fully engulfed barn fire this morning on East Avon Rd. crews were able…,"East Avon and multiple mutual aid responded to a fully engulfed barn fire this morning on East Avon Rd. crews were able to prevent the flames from spreading to a nearby home, propane tank and garage. #Roc @SPECNewsROC https://t.co/Jwc5zWhwZQ",Sun Aug 12 10:46:48 +0000 2018
guillaume38000,"RT @MauriceSchleepe: This morning #Ukraine regime forces opened fire on #Donetsk,#Leninskoye region South #DPR territory with the use of 12…","This morning #Ukraine regime forces opened fire on #Donetsk,#Leninskoye region South #DPR territory with the use of 120mm Caliber mortars and anti-Tank Grenade launchers,#Donbass. https://t.co/FatB7fH3Ih",Sun Aug 12 10:45:57 +0000 2018
SPECNewsROC,RT @barstow_scott: East Avon and multiple mutual aid responded to a fully engulfed barn fire this morning on East Avon Rd. crews were able…,"East Avon and multiple mutual aid responded to a fully engulfed barn fire this morning on East Avon Rd. crews were able to prevent the flames from spreading to a nearby home, propane tank and garage. #Roc @SPECNewsROC https://t.co/Jwc5zWhwZQ",Sun Aug 12 10:40:09 +0000 2018
barstow_scott,"East Avon and multiple mutual aid responded to a fully engulfed barn fire this morning on East Avon Rd. crews were able to prevent the flames from spreading to a nearby home, propane tank and garage. #Roc @SPECNewsROC https://t.co/Jwc5zWhwZQ",,Sun Aug 12 10:39:41 +0000 2018
MauriceSchleepe,"This morning #Ukraine regime forces opened fire on #Donetsk,#Leninskoye region South #DPR territory with the use of 120mm Caliber mortars and anti-Tank Grenade launchers,#Donbass. https://t.co/FatB7fH3Ih",,Sun Aug 12 10:36:58 +0000 2018
Rougepprince,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sun Aug 12 10:30:30 +0000 2018
ProletaireY,RT @GayLabourYorkie: @SEANLWOODCOCK @stephane_ulrich Glad we agree on that. I don't think it's justified for example that only yesterday (o…,"@SEANLWOODCOCK @stephane_ulrich Glad we agree on that. I don't think it's justified for example that only yesterday (or a day before that) the IDF was fiting tank fire in to a middle-class, highly populated neighbourhood in Gaza... They said it was to ""provoke Palestinians to protest against Hamas."" WTF?",Sun Aug 12 10:25:29 +0000 2018
wighty888,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sun Aug 12 09:59:18 +0000 2018
BojinovAlex,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sun Aug 12 08:50:25 +0000 2018
wadhou,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sun Aug 12 08:44:22 +0000 2018
farminHD,@pinchehonkey It wasn’t. Burned a yard and a bunch of trees. Watched a propane tank vent while on fire.  Pretty cool,,Sun Aug 12 08:30:26 +0000 2018
ShaheenChothia,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sun Aug 12 07:29:13 +0000 2018
KBehidji,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sun Aug 12 07:12:45 +0000 2018
Dw_Develops,RT @TankArmyGame: 🔥🔥🔥 Focus fire on fuel storage. https://t.co/9gJuRskmUK #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGamin…,🔥🔥🔥 Focus fire on fuel storage. https://t.co/9gJuRskmUK #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGaming  #retrogame #shootergames https://t.co/9LZeRLA9t2,Sun Aug 12 04:40:49 +0000 2018
Kevin59073751,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sun Aug 12 03:22:50 +0000 2018
pianotm26,RT @TankArmyGame: 🔥🔥🔥 Focus fire on fuel storage. https://t.co/9gJuRskmUK #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGamin…,🔥🔥🔥 Focus fire on fuel storage. https://t.co/9gJuRskmUK #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGaming  #retrogame #shootergames https://t.co/9LZeRLA9t2,Sun Aug 12 02:53:28 +0000 2018
GamerGeekNews,RT @tripletoma: 🔥🔥🔥 Focus fire on fuel storage. https://t.co/69bwbpYLd3 #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGaming…,🔥🔥🔥 Focus fire on fuel storage. https://t.co/69bwbpYLd3 #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGaming  #retrogame #shootergames https://t.co/NVUvhQMcwh,Sun Aug 12 02:45:11 +0000 2018
Trumplar,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sun Aug 12 02:45:08 +0000 2018
IndieGameDevBot,RT @tripletoma: 🔥🔥🔥 Focus fire on fuel storage. https://t.co/69bwbpYLd3 #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGaming…,🔥🔥🔥 Focus fire on fuel storage. https://t.co/69bwbpYLd3 #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGaming  #retrogame #shootergames https://t.co/NVUvhQMcwh,Sun Aug 12 02:41:19 +0000 2018
rrretired2008,"@chrismullins191 @FoxNews If your house is on fire, I hope the fire guys don’t show up with a 2000 gallon liquid propane tank to put it out. That’ll help with your fire just like more guns on the street will help the gun problem.",,Sun Aug 12 02:39:33 +0000 2018
tripletoma,🔥🔥🔥 Focus fire on fuel storage. https://t.co/69bwbpYLd3 #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGaming  #retrogame #shootergames https://t.co/NVUvhQMcwh,,Sun Aug 12 02:38:15 +0000 2018
IndieGameDevBot,RT @TankArmyGame: 🔥🔥🔥 Focus fire on fuel storage. https://t.co/9gJuRskmUK #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGamin…,🔥🔥🔥 Focus fire on fuel storage. https://t.co/9gJuRskmUK #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGaming  #retrogame #shootergames https://t.co/9LZeRLA9t2,Sun Aug 12 02:37:53 +0000 2018
TankArmyGame,🔥🔥🔥 Focus fire on fuel storage. https://t.co/9gJuRskmUK #gamedev #indiedev #tank #shmup #pixelart #retrogamer #RetroGaming  #retrogame #shootergames https://t.co/9LZeRLA9t2,,Sun Aug 12 02:36:10 +0000 2018
Liam_Tosh,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sun Aug 12 02:31:58 +0000 2018
judacris,"""Isn't this a fire hazard?
""Not really. If I'm on fire, I'll just throw myself into the tank."" https://t.co/kD2hxsxNPS",,Sun Aug 12 02:23:10 +0000 2018
grantygordon,"@ZMAN871 @isupportisrael_ @BBCNews @CNN @SkyNews @guardian @CNBCnow @Channel4News @itvnews @Independent @thetimes @nytimes @latimes @washingtonpost @Telegraph @MailOnline Look back at your earlier tweet. First you wrote the IDF said it was a “tank” that “had responded to shots fired at soldiers”. Now you say a drone. When the IDF version changes, their pants are usually on fire.",,Sun Aug 12 02:22:36 +0000 2018
gapundit,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sun Aug 12 02:19:14 +0000 2018
defendressofsan,"RT @MauriceSchleepe: Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened…","Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened fire on Multiple localities of #Donetsk,#DPR territory with the use of 82mm &amp; 120mm Caliber mortars,armoured vehicles,anti-Tank Grenade launchers &amp; Heavy MG-fire https://t.co/HOaXTdf9we",Sun Aug 12 01:51:06 +0000 2018
willbarrett_1,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sun Aug 12 00:38:32 +0000 2018
nader_haidar,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 23:54:31 +0000 2018
MJGlass2,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 23:31:09 +0000 2018
GNabi_Eurocabs,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 23:16:27 +0000 2018
Th2shay,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 23:07:13 +0000 2018
trapdinawrpool,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 22:43:26 +0000 2018
RPHFMVA2016,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sat Aug 11 22:31:33 +0000 2018
Brother_Tank,@BulIysSpeedboat It was a call to a crash and then call to fire as it caught fire.. Was interesting but showed that they choose the situations shown and are actively playing censor to the whole show.. Brb... have to check on the Missy...,,Sat Aug 11 22:22:39 +0000 2018
TexasSports63,@FoxNews @charliekirk11 you mean like the a holes in texas who pour oil in your gas tank or catch your car on fire if you had a HIllary sign in your yard?????,,Sat Aug 11 21:57:10 +0000 2018
anequal,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 21:51:47 +0000 2018
jamiejoh04,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 21:29:25 +0000 2018
cole_davesc66,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 21:25:33 +0000 2018
bigdawgjdub,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sat Aug 11 21:25:29 +0000 2018
muddywolfking,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 21:14:34 +0000 2018
EvaSoumble,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 21:13:48 +0000 2018
MorrisKarlen,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sat Aug 11 21:13:22 +0000 2018
Hayden_or_tank,"RT @MCPvPWars: THANK YOU ALL FOR 800+ PLAYERS ONLINE ON SKYBLOCK FIRE!

WE ARE GOING TO BE DOING A GOLIATH RANK GIVEAWAY

RETWEET + LIKE +…","THANK YOU ALL FOR 800+ PLAYERS ONLINE ON SKYBLOCK FIRE!

WE ARE GOING TO BE DOING A GOLIATH RANK GIVEAWAY

RETWEET + LIKE + FOLLOW TO ENTER!

WINNER WILL BE ANNOUNCED AT THE END OF THE WEEKEND!

GOOD LUCK EVERYONE!

IP: https://t.co/6Vm0FpvN1M https://t.co/cBWWNHGMwQ",Sat Aug 11 20:38:18 +0000 2018
RICHMEGANEWS,RT @HemantSirohi1: @IndianOilcl Two staff of contractors had gone inside the tank for cleaning....police and fire fighters have not been ab…,"@IndianOilcl Two staff of contractors had gone inside the tank for cleaning....police and fire fighters have not been able to take them out...it has been about 2 hours now. Now it's serious &amp; clear violation of PESO Form XIV condition 7&amp;8. 
*Disclaimer
As received on #Watsapp https://t.co/l9VdsVSdhV",Sat Aug 11 20:10:04 +0000 2018
strategicpolicy,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sat Aug 11 19:31:00 +0000 2018
tompappalardo,Guy filling his tank is vaping so hard it looks like the gas pumps are on fire,,Sat Aug 11 19:24:13 +0000 2018
hausofrushdi,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 18:54:24 +0000 2018
freeworldun,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 18:53:41 +0000 2018
GayLabourYorkie,"@SEANLWOODCOCK @stephane_ulrich Glad we agree on that. I don't think it's justified for example that only yesterday (or a day before that) the IDF was fiting tank fire in to a middle-class, highly populated neighbourhood in Gaza... They said it was to ""provoke Palestinians to protest against Hamas."" WTF?",,Sat Aug 11 18:52:30 +0000 2018
deeneslen,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 18:28:15 +0000 2018
nuutraf,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 18:17:10 +0000 2018
1165R_USPatriot,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sat Aug 11 18:09:41 +0000 2018
FORSCOM,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sat Aug 11 18:04:05 +0000 2018
rpgdrums,"Matched with some girl on tinder and her profile song was “plane vs tank vs submarine” and I said “Let me be the I saw water to your plane vs tank” and she unmatched me. I guess I can say...IVE PLAYED WITH FIRE, I BURNED IT ALL DOWN IVE MADE MORE MISTAKES THAN YOU CAN COUNT.",,Sat Aug 11 18:03:30 +0000 2018
LuceroNicoli,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 18:01:20 +0000 2018
KBestMedia,"Thanks to our first responders for the quick actions during a tank battery fire yesterday, caused by a lightning strike.  This one occurred on HWY 176 (Andrews Highway) approximately 12 miles out. The Howard... https://t.co/rd4ob4IXtP",,Sat Aug 11 17:50:41 +0000 2018
NIH100,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 17:27:43 +0000 2018
rk70534,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 16:20:27 +0000 2018
del76098078,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sat Aug 11 16:17:44 +0000 2018
abhairi,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 16:06:04 +0000 2018
MeNihaya,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 15:27:12 +0000 2018
WillyMcFly,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 15:25:52 +0000 2018
05e9d20d8cd6400,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sat Aug 11 15:22:37 +0000 2018
calder_anthony,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 15:20:41 +0000 2018
C_MorrittEsq,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 15:03:12 +0000 2018
AlgerianPalest,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 14:59:53 +0000 2018
Ninma_,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 14:25:42 +0000 2018
Jodekphotograph,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 14:20:54 +0000 2018
ApacheCrewChief,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sat Aug 11 14:08:31 +0000 2018
TSmithFL1,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sat Aug 11 14:07:11 +0000 2018
