jijujosephm,RT @scroll_in: A look at the headlines right now. https://t.co/e5u5PYRomd,A look at the headlines right now. https://t.co/e5u5PYRomd,Sat Aug 18 16:58:26 +0000 2018
meganpayyneee,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:14:28 +0000 2018
dog8thewallet,#GlobalWarming is accompanied with flooding. Mother nature is calling. What is Queen's park's plan to deal with the phenomenon? Not right to expect federal funding for natural disasters and yet not contribute to solution. https://t.co/U0c8SNnt3B,,Sat Aug 18 15:14:09 +0000 2018
Ampandrew,RT @CarlowWeather: #Ernesto is just a few hundred miles off the West Coast now latest charts and Sat images show most of the heavy rain a l…,#Ernesto is just a few hundred miles off the West Coast now latest charts and Sat images show most of the heavy rain a little further north with Northern half of country seeing most of the rainfall tonight. https://t.co/9VXqp8bT57,Sat Aug 18 15:13:47 +0000 2018
bitznews,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18 https://t.co/3haWx8TDGG,,Sat Aug 18 15:13:36 +0000 2018
irfan_ramisha,"RT @Btsfan1234567: @BTS_twt BTS and Armys , I know this is out of topic but please pray for the people in Kerala , India . Due to heavy rai…","@BTS_twt BTS and Armys , I know this is out of topic but please pray for the people in Kerala , India . Due to heavy rain and flood a lot of people lost their home and their lives . Let’s all pray together for all those in danger. Army’s who saw this comment pls share and pray for us 😢 https://t.co/2LoYGy6DtG",Sat Aug 18 15:13:21 +0000 2018
abulrajani,"RT @WIONews: The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said…","The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said on Friday, with the toll expected to rise as heavy rain pushes water levels higher still. #KeralaFloods

https://t.co/NOTLcfqkIT",Sat Aug 18 15:12:55 +0000 2018
buttzfly,@cstclair1 @weathernetwork These quick sudden heavy downpours seem to be the mainstay for summers now eh instead of just steady rain,,Sat Aug 18 15:12:49 +0000 2018
CarlowWeather,#Ernesto is just a few hundred miles off the West Coast now latest charts and Sat images show most of the heavy rain a little further north with Northern half of country seeing most of the rainfall tonight. https://t.co/9VXqp8bT57,,Sat Aug 18 15:12:35 +0000 2018
jpolarize,"мне очень нравится факт, что главные женские перонажи quantic dream, например, джоди (beyond two souls), мэдисон (heavy rain), кэра и норт (dbh) - все они являются храбрыми и сильными личностями",,Sat Aug 18 15:12:14 +0000 2018
NewsBossIndia,Karnataka: Heavy rain continues to lash Kodagu.. https://t.co/nwxuikwKZ6,,Sat Aug 18 15:12:12 +0000 2018
me_kolson6,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:11:57 +0000 2018
bigeyespixel,RT @pittywaps: the aftermath of heavy rain lol https://t.co/tZTMet86OG,the aftermath of heavy rain lol https://t.co/tZTMet86OG,Sat Aug 18 15:11:56 +0000 2018
macyjane_12,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:11:51 +0000 2018
Bionatom,RT @manoramanews: പതിനാല് ഇടങ്ങളിൽ മണ്ണ് ഇടിഞ്ഞും ഉരുൾപൊട്ടിയും കിടക്കുകയാണ്. സന്നദ്ധപ്രവർത്തകർ 30 കിലോമീറ്ററോളം കാൽനടയായി അവിടേക്ക് തിരിച്…,പതിനാല് ഇടങ്ങളിൽ മണ്ണ് ഇടിഞ്ഞും ഉരുൾപൊട്ടിയും കിടക്കുകയാണ്. സന്നദ്ധപ്രവർത്തകർ 30 കിലോമീറ്ററോളം കാൽനടയായി അവിടേക്ക് തിരിച്ചിട്ടുണ്ട് #KeralaFloods #FloodNewsKerala #Nelliyampathy https://t.co/RzkhlxaMnx,Sat Aug 18 15:11:33 +0000 2018
BenThuthy,"RT @MetMaldives: ALERT WHITE
INFORMATION:
Heavy rain and thunderstorms with gust winds of 45 mph expected.
Area: Between Kaafu and Seenu At…","ALERT WHITE
INFORMATION:
Heavy rain and thunderstorms with gust winds of 45 mph expected.
Area: Between Kaafu and Seenu Atoll.
Period: 18/1600 - 18/2200 hrs.
ISSUED: 1535 hrs 18 Aug 2018.
-MetService-",Sat Aug 18 15:11:24 +0000 2018
missklrp,Where tf did all this heavy rain &amp; hard wind come from? 🤔🤔🤔,,Sat Aug 18 15:11:06 +0000 2018
GhVenkatesha,"RT @BangaloreMirror: #KarnatakaFloods; CM @hd_kumaraswamy reviews situation in the State.
LIVE updates: https://t.co/QD2qvkqkTO https://t.c…","#KarnatakaFloods; CM @hd_kumaraswamy reviews situation in the State.
LIVE updates: https://t.co/QD2qvkqkTO https://t.co/e63VLvZZxx",Sat Aug 18 15:10:33 +0000 2018
JOSHsanity3,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:10:21 +0000 2018
MrCoolLooking75,RT @weatherchannel: Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92…,Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92u https://t.co/aEn3Kr7GvS,Sat Aug 18 15:10:17 +0000 2018
raghu_kn,RT @VishweshwarBhat: Hassan - Managaluru Road has been badly affected due to heavy rain and landslides. https://t.co/7MgMtm5T9b,Hassan - Managaluru Road has been badly affected due to heavy rain and landslides. https://t.co/7MgMtm5T9b,Sat Aug 18 15:09:53 +0000 2018
DerekMacEwen,RT @PEI_Stormchaser: 12:00pm (15z) heavy rain (+RA). Rainfall storm total 30.2 mms. Cocorahs PE-20 Bonshaw. #PEStorm,12:00pm (15z) heavy rain (+RA). Rainfall storm total 30.2 mms. Cocorahs PE-20 Bonshaw. #PEStorm,Sat Aug 18 15:09:28 +0000 2018
nwsjacksonky,Scattered showers and storms in eastern KY this afternoon. Locally heavy rain and minor flooding is possible. #kywx #ekywx https://t.co/Ydxhvqcizx,,Sat Aug 18 15:09:23 +0000 2018
myluvsql,"RT @BangaloreMirror: #KarnatakaFloods; CM @hd_kumaraswamy reviews situation in the State.
LIVE updates: https://t.co/QD2qvkqkTO https://t.c…","#KarnatakaFloods; CM @hd_kumaraswamy reviews situation in the State.
LIVE updates: https://t.co/QD2qvkqkTO https://t.co/e63VLvZZxx",Sat Aug 18 15:09:03 +0000 2018
walker124511,RT @JointCyclone: Ex-tropical storm #Ernesto expected to spread gusty winds and locally heavy rain over the portions of Ireland and the Uni…,"Ex-tropical storm #Ernesto expected to spread gusty winds and locally heavy rain over the portions of Ireland and the United Kingdom tonight and early Sunday. Ernesto could bring isolated flash flooding, plans alerted and travel delays. https://t.co/UCmLUKIVzX",Sat Aug 18 15:08:57 +0000 2018
jishasuryaTOI,@trilobite_1970 Please check the IMD warning pictures  shared in the thread. No red alert doesn't mean no rain. Heavy rainfall warning is there in isolated places,,Sat Aug 18 15:08:50 +0000 2018
Jay____P,"RT @UncleBhageeran: Heavy rain predicted in affected districts . If water has reached your step or you think it can get in , please move to…","Heavy rain predicted in affected districts . If water has reached your step or you think it can get in , please move to relief camps or safer areas before dark. Between now and morning before rescue starts , things can change drastically . So please #KeralaFloods",Sat Aug 18 15:08:16 +0000 2018
deanne_jasmine,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:07:56 +0000 2018
vikkivale,"Storms containing hail, strong winds to pummel US region https://t.co/gC2PItEO5k",,Sat Aug 18 15:07:46 +0000 2018
Itsmeesmanur,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:07:41 +0000 2018
Al_toMyFriends,@Arklowweather Some heavy rain tonight?,,Sat Aug 18 15:07:26 +0000 2018
Tanya_WTVA,"RT @WTVAalan: Stormtrack Doppler Update [8:52 AM] - Here is another look at some of the thunderstorm building into Attala, Montgomery, Choc…","Stormtrack Doppler Update [8:52 AM] - Here is another look at some of the thunderstorm building into Attala, Montgomery, Choctaw, and Webster counties. Heavy rain, lightning and perhaps an isolated strong gust of wind possible w/ these storms. #mswx https://t.co/mm2pJDQkX9",Sat Aug 18 15:07:08 +0000 2018
MWTrackChaser,"Several consecutive days of heavy rainfall has forced the postponement of the August 18th racing event at the Montpelier Motor Speedway.  MMS will work with BOSS officials for a potential make up date for the Winged Sprint Cars.

Rain Postpones August 18… https://t.co/3fg7FSfspT",,Sat Aug 18 15:06:40 +0000 2018
madhyamam,"#KeralaSOS, #KeralaFloods വീട്ടിലേക്ക്​ മടങ്ങാം; കരുതലോടെ https://t.co/Vr6XLq8RGa",,Sat Aug 18 15:06:31 +0000 2018
LeanneCallie,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:06:30 +0000 2018
SerynaTargaryen,"RT @KSakoff: Como en mi edición especial de Heavy Rain faltaba la pajarita de origami por ser de segunda mano, mi gorda no quería que me qu…","Como en mi edición especial de Heavy Rain faltaba la pajarita de origami por ser de segunda mano, mi gorda no quería que me quedara sin ella al saber lo mucho que me gusta el juego y me ha hecho una ella misma, barnizada con café. ¿Cómo no voy a estar enamorado❤@SerynaTargaryen? https://t.co/5DZlMIl2JK",Sat Aug 18 15:06:30 +0000 2018
Elijuhhh_,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:06:29 +0000 2018
lizziegraham37,Britain is braced for heavy rain and 60mph winds TONIGHT https://t.co/hIB3EGmUtN via @MailOnline,,Sat Aug 18 15:06:05 +0000 2018
ggriff87,@bobpockrass Any idea if rain will wash off all of pj1 or if it stays on track surface after a heavy rain?,,Sat Aug 18 15:04:57 +0000 2018
JerryCo63944118,RT @NASA: Satellite rainfall data from space can tell us where and when heavy rain is falling and if it could lead to disasters like landsl…,"Satellite rainfall data from space can tell us where and when heavy rain is falling and if it could lead to disasters like landslides. But we need your help! Report landslides to us, so we can better anticipate where they are likely to happen. How to help: https://t.co/8KCEvwEPJ4 https://t.co/I6pTGxN8B7",Sat Aug 18 15:04:43 +0000 2018
elam_kumar,"கேரளாவில்  பலத்த புயல் மழை  பெய்து  வருகிறது HEAVY  RAIN  IN  KERALA , I... https://t.co/LiLaf53tOY via @YouTube",,Sat Aug 18 15:04:41 +0000 2018
lysandraalexis,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:04:36 +0000 2018
yhteeeb,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:04:16 +0000 2018
iCommon_Man,"@thevaibhavag @sanjayuvacha Even giving a benefit of doubt to your statement, the heavy rain alert you are talking about was issued by IMD in May was till 28th May 2018.",,Sat Aug 18 15:04:05 +0000 2018
PEI_Stormchaser,12:00pm (15z) heavy rain (+RA). Rainfall storm total 30.2 mms. Cocorahs PE-20 Bonshaw. #PEStorm,,Sat Aug 18 15:03:36 +0000 2018
datastocks,"As u know there is heavy rain and flood in Kerala. It's worst flood ever after 1924 in Kerala As more than 100 people died,People are suffering from infectious disease as well as they don't have anything to eat now So pls it's my humble request all of u that give HELP as well as",,Sat Aug 18 15:03:36 +0000 2018
AmericanVendor,RT @HankAllenWX: Great look at a storm offshore this morning. More heavy rain today! #StormHour https://t.co/c147QywRT2,Great look at a storm offshore this morning. More heavy rain today! #StormHour https://t.co/c147QywRT2,Sat Aug 18 15:03:30 +0000 2018
Mediabeast3,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18 https://t.co/Kj3vM5Xanf https://t.co/8KASW9OWdH,,Sat Aug 18 15:03:09 +0000 2018
Lisa_HealthJob,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18 https://t.co/fyHwM998ob https://t.co/WScaGFeOsP,,Sat Aug 18 15:03:08 +0000 2018
Best_Fashion_UK,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18 https://t.co/mvFrqodXaj https://t.co/yAltslHr3v,,Sat Aug 18 15:03:07 +0000 2018
madhyamam,"#KeralaSOS, #KeralaFloods മലപ്പുറത്ത് മഴ കുറയുന്നു; ഇനി വീണ്ടെടുപ്പി​െൻറ നാളുകൾ https://t.co/R0z5OqZfIV",,Sat Aug 18 15:03:03 +0000 2018
vishwamTOI,"IMD forecasts heavy rain at isolated places in #Kerala on August 19 and August 20. It, however, says there is a general falling trend in rivers in Kerala, #Karnataka and Tamil Nadu as the rainfall intensity is reducing.",,Sat Aug 18 15:02:57 +0000 2018
NewsBossIndia,Live: Heavy rain alert in 11 Kerala districts.. https://t.co/Ac0V4Luks1,,Sat Aug 18 15:02:47 +0000 2018
Chazer11,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:02:24 +0000 2018
vineyardcape,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:01:43 +0000 2018
MrsEmmaBall,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:01:33 +0000 2018
DVDutchess,"* Weather Alert * New round of storms with heavy rain, lightning, gusty winds headed to #Dutchess. #DailyVoice https://t.co/lNJp4LgGYx",,Sat Aug 18 15:01:05 +0000 2018
DVGoldCoast,"* Weather Alert * New round of storms with heavy rain, lightning, gusty winds headed to #FairfieldCounty. #DailyVoice https://t.co/FqKhgulo9H",,Sat Aug 18 15:01:05 +0000 2018
DVBridgeport,"* Weather Alert * New round of storms with heavy rain, lightning, gusty winds headed to #FairfieldCounty. #DailyVoice https://t.co/d7YW4JULmE",,Sat Aug 18 15:01:05 +0000 2018
DVFairfield_N,"* Weather Alert * New round of storms with heavy rain, lightning, gusty winds headed to #FairfieldCounty. #DailyVoice https://t.co/eyXnOG8pbF",,Sat Aug 18 15:01:04 +0000 2018
DVWestchester_N,"* Weather Alert * New round of storms with heavy rain, lightning, gusty winds headed to #NorthernWestchester. #DailyVoice https://t.co/B1TMrWBR2g",,Sat Aug 18 15:01:04 +0000 2018
DVOrangeCounty,"* Weather Alert * New round of storms with heavy rain, lightning, gusty winds headed to #OrangeCounty. #DailyVoice #HudsonValley https://t.co/waGqhzo38s",,Sat Aug 18 15:01:04 +0000 2018
PutnamDV,"* Weather Alert * New round of storms with heavy rain, lightning, gusty winds headed to #Putnam. #DailyVoice https://t.co/6TaMermTDt",,Sat Aug 18 15:01:04 +0000 2018
DVRockland,"* Weather Alert * New round of storms with heavy rain, lightning, gusty winds headed to #Rockland. #DailyVoice https://t.co/4staDC4AII",,Sat Aug 18 15:01:03 +0000 2018
DVWestchester_S,"* Weather Alert * New round of storms with heavy rain, lightning, gusty winds headed to #Westchester. #DailyVoice https://t.co/k0WWlo3cQj",,Sat Aug 18 15:01:03 +0000 2018
NH1News,"A Brief Heavy Rain Shower Possible This Morning A Rain Shower, Capable of Producing A Quarter to Third of An Inch of Rain In A Half Hour will Pass Through Those Areas Hit Hard But Flooding Last Night Including... #nhwx https://t.co/yZNO5G7GZY",,Sat Aug 18 15:00:47 +0000 2018
kimberleeburnly,"RT @NWS_MountHolly: A Flash Flood Watch is now in effect for most of eastern PA and NJ, as showers and thunderstorms this afternoon and eve…","A Flash Flood Watch is now in effect for most of eastern PA and NJ, as showers and thunderstorms this afternoon and evening may result in heavy rain and flash flooding. https://t.co/FRwlYTUR3g",Sat Aug 18 15:00:30 +0000 2018
MTLUAE,"Please pray and try to lend your support by any ways possible follow the hashtag
#KerelaFloodRelief #KeralaRescue #KeralaReliefFund #KeralaFloodRelief 
Top Indian Destination Kerala Suffers Heavy Rain and Flooding https://t.co/lXeZiDKIwy https://t.co/XCs47jUrGg",,Sat Aug 18 15:00:20 +0000 2018
Dean_Spider,Heavy Rain: È tutto così elettrizzante #18: https://t.co/pqldiBI7TW tramite @YouTube,,Sat Aug 18 15:00:09 +0000 2018
NicholeEGomez,"Isolated storms develop this afternoon. Some storms could produce heavy rain and gusty winds. https://t.co/lZ4kaVKGpS
#ABC7 #FirstAlert https://t.co/3FW87nTW3V",,Sat Aug 18 15:00:05 +0000 2018
ROCKYcoltpython,"RT @udatube: 【実況女子】Udaの「HEAVY RAIN #4」【定期生配信】 

Uda氏のまさかの選択にまさかの展開！お見逃しなく！

落ち着くんだ。
とりあえず酒を飲もう。

サムネはモデのみつはさん作(  ◜௰◝  )

次回は8/19(日)20時～毎回おさ…","【実況女子】Udaの「HEAVY RAIN #4」【定期生配信】 

Uda氏のまさかの選択にまさかの展開！お見逃しなく！

落ち着くんだ。
とりあえず酒を飲もう。

サムネはモデのみつはさん作(  ◜௰◝  )

次回は8/19(日)20時～毎回おさらいから始まるので初見様もお気軽にどうぞ！
https://t.co/MYMbX3Y7Hw https://t.co/yFjNwyymSr",Sat Aug 18 15:00:00 +0000 2018
JohnPopp316,Nothing like driving in the heavy rain. Yuck. https://t.co/LG2Z1XM6RV,,Sat Aug 18 14:59:24 +0000 2018
Everywearshop,Stay dry with our heavy duty rain coats and ponchos ☔️ oh and our umbrellas! 😁 https://t.co/KtxNjvqr8C,,Sat Aug 18 14:59:17 +0000 2018
reagh9,RT @maakaahlaa: bitch im ready for loud ass thunderstorms heavy ass rain. gloomy &amp; dark skies. ⛈,bitch im ready for loud ass thunderstorms heavy ass rain. gloomy &amp; dark skies. ⛈,Sat Aug 18 14:59:09 +0000 2018
phillywx,"RT @weatherboltblog: Simulated radar over the next 18 hours. Nothing severe today, but our tropical humidity will allow for heavy rain with…","Simulated radar over the next 18 hours. Nothing severe today, but our tropical humidity will allow for heavy rain with these thunderstorms. Hopefully these will avoid the most flood-ravaged areas of eastern PA and northern NJ https://t.co/VVFHM3l18y",Sat Aug 18 14:59:04 +0000 2018
CommunityERT,"@gdskamboj You should be fine, we're expecting very heavy rain in the Cape Breton area however so use extreme caution while traveling, #StaySafe.",,Sat Aug 18 14:58:50 +0000 2018
bvegg,"RT @NWSSanDiego: Rainfall totals in the warned areas (green) are shown where up to 1.5 inches of rain occurred, large boulders were reporte…","Rainfall totals in the warned areas (green) are shown where up to 1.5 inches of rain occurred, large boulders were reported on roadways and heavy debris flow on Hurkey Creek #monsoon2018 #cranstonfire and reports indicated no injuries #cawx https://t.co/KdWLoSAagJ",Sat Aug 18 14:58:44 +0000 2018
iembot_gyx,"A BRIEF HEAVY RAIN SHOWER POSSIBLE THIS MORNING. for Cheshire, Western And Central Hillsborough [NH] till 11:30 AM EDT https://t.co/vBXpt2UrLC",,Sat Aug 18 14:58:17 +0000 2018
nbcoram,"A BRIEF HEAVY RAIN SHOWER POSSIBLE THIS MORNING. for Cheshire, Western And Central Hillsborough [NH] till 11:30 AM EDT https://t.co/YZygCl8FB6",,Sat Aug 18 14:58:17 +0000 2018
PEI_Stormchaser,12.00 (15z) Very heavy rain now. rain rate 62.0 mms/hr. Will wait to get new total after this cell passes.  Cocorahs PE-20 Bonshaw. #PEStorm,,Sat Aug 18 14:58:13 +0000 2018
weatherboltblog,"Simulated radar over the next 18 hours. Nothing severe today, but our tropical humidity will allow for heavy rain with these thunderstorms. Hopefully these will avoid the most flood-ravaged areas of eastern PA and northern NJ https://t.co/VVFHM3l18y",,Sat Aug 18 14:57:32 +0000 2018
NorthAmericaNN,RT @weatherchannel: Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92…,Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92u https://t.co/aEn3Kr7GvS,Sat Aug 18 14:57:25 +0000 2018
hopangelbrau,Luau tonight with Stealing from Thieves and Heavy Glow! Rain or shine; we're expecting shine.  6pm https://t.co/XKnQ4zrtpt https://t.co/uJ74eealrj,,Sat Aug 18 14:57:20 +0000 2018
amyhoyt13,RT @Whitleyweather: Storms and heavy rain are on tap later today as rain will move west to east today. https://t.co/fuzn59Ocrt,Storms and heavy rain are on tap later today as rain will move west to east today. https://t.co/fuzn59Ocrt,Sat Aug 18 14:56:55 +0000 2018
ajithkkrishna,"@actorvijay People in kerala are suffering huge loss due to heavy rain and flood,this requires worlds attention,so sir we are expecting a contribution from your side.
#Standwithkerala",,Sat Aug 18 14:56:48 +0000 2018
Krapika2,"RT @MrThanmai: Sir, in coorg land of brave Indian soldiers who fought in kargil war is going to destroy full in Karnataka state coorg distr…","Sir, in coorg land of brave Indian soldiers who fought in kargil war is going to destroy full in Karnataka state coorg district so please protect coorg from heavy rain and flood people are dying and Goverment of Kar is died our CM is also died pls save us @narendramodi https://t.co/yeifyHYISW",Sat Aug 18 14:56:38 +0000 2018
kathptkgdr,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:56:29 +0000 2018
Athreya83,@neha_aks My hometown is in TN Kerala Border. No power for a week in some parts due to heavy rain. Yet my friends ( school mates) are off to Wayanad to distribute material. All of us outside are pooling in but they are doing the leg work. There is hope!,,Sat Aug 18 14:56:26 +0000 2018
Shelly_Conlon,"RT @NWSSiouxFalls: While today will be quiet, thunderstorms, some with heavy rain, are expected tonight into Sunday. Plan on a very good ch…","While today will be quiet, thunderstorms, some with heavy rain, are expected tonight into Sunday. Plan on a very good chance for rain Sunday, especially west of Interstate 29. https://t.co/AmV9vLk1qB",Sat Aug 18 14:56:06 +0000 2018
Japie_K,"RT @ConCaracal: ANC Weather Service: ""Expect heavy rain &amp; massive flooding. We're not going to tell you when though.""

Afriforum: ""We have…","ANC Weather Service: ""Expect heavy rain &amp; massive flooding. We're not going to tell you when though.""

Afriforum: ""We have acquired information that the heavy rain is expected for next week. Prepare.""

ANC: ""Lies! No such info exists.""
SA Media: ""Afriforum are spreading panic.""",Sat Aug 18 14:55:51 +0000 2018
NWSSiouxFalls,"While today will be quiet, thunderstorms, some with heavy rain, are expected tonight into Sunday. Plan on a very good chance for rain Sunday, especially west of Interstate 29. https://t.co/AmV9vLk1qB",,Sat Aug 18 14:55:48 +0000 2018
MattWeaverAW,"RT @AReppert: Still think there is rain around @BMSupdates tonight, but any storms could bring heavy downpours. Still think there are chanc…","Still think there is rain around @BMSupdates tonight, but any storms could bring heavy downpours. Still think there are chances for delays, but thinking it's a 60% chance for an official race and 35% chance to go the distance. @bobpockrass",Sat Aug 18 14:55:36 +0000 2018
sienamagee,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:55:12 +0000 2018
Gabo_Deportes,"RT @MaryKayCabot: #Browns Baker Mayfield overcomes 2 of his TD passes disappearing, heavy rain and a collapsing pocket to provide a late ra…","#Browns Baker Mayfield overcomes 2 of his TD passes disappearing, heavy rain and a collapsing pocket to provide a late rally in a 19-17 loss to the #Bills in preseason game 2 https://t.co/9j2DpwUf98",Sat Aug 18 14:54:49 +0000 2018
kbrookeday,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:54:42 +0000 2018
StormHour,RT @HankAllenWX: Great look at a storm offshore this morning. More heavy rain today! #StormHour https://t.co/c147QywRT2,Great look at a storm offshore this morning. More heavy rain today! #StormHour https://t.co/c147QywRT2,Sat Aug 18 14:54:42 +0000 2018
arami_motor,"RT @RacecastWx: Storms already firing up north &amp; northwest of @poconoraceway &amp; moving southeast towards the track, with more developing clo…","Storms already firing up north &amp; northwest of @poconoraceway &amp; moving southeast towards the track, with more developing close-by. Heavy rain expected today. Flash flood watch goes into effect at 2PM today. Here's the latest forecast graphic with radar at 10:40 AM EDT. @IndyCar https://t.co/Njx3uHt0pQ",Sat Aug 18 14:54:37 +0000 2018
independpress,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18 https://t.co/Vs1xY73Qon,,Sat Aug 18 14:54:29 +0000 2018
DaniMateoSantos,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:54:22 +0000 2018
SkyNewsWeather,"Prolonged heavy rain C&amp;S Scotland,N England and Wales largely clearing during the morning, but drizzly outbreaks and hill fog lingering over N&amp;C England and Wales into the afternoon, Winds in SW easing later. Quite warm for most, cooler over Scotland. https://t.co/n13F6e5GYe",,Sat Aug 18 14:54:14 +0000 2018
health_ga,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18: News18 Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts News18… https://t.co/1UejMOosXl https://t.co/E0m8qwJ6Qc,,Sat Aug 18 14:54:06 +0000 2018
v_n_d_i_e,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18 https://t.co/aWGxdGvxZv https://t.co/RGk1qcN0kC,,Sat Aug 18 14:54:06 +0000 2018
HealthJobsNY,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18: News18 Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts News18… https://t.co/hHt0cX5kGT https://t.co/StfEXtCkFr,,Sat Aug 18 14:54:04 +0000 2018
Vandahmier,"Met Eireann have issued a fresh nationwide Status Yellow rainfall alert as Storm Ernesto is set to lash Ireland with ""heavy intense"" bursts of rain. And the national forecaster warned there's a possib... https://t.co/MNrQPZkKJ0",,Sat Aug 18 14:54:04 +0000 2018
rohallma,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:53:50 +0000 2018
ajithkkrishna,"@ARMurugadoss @Samanthaprabhu2 @YouTube People in kerala are suffering huge loss due to heavy rain and flood,this requires worlds attention, so sir we are expecting a contribution from your side.
#Standwithkerala",,Sat Aug 18 14:53:35 +0000 2018
tylerkoenig99,"RT @Wincvaspeedway: Due to heavy rain that has moved into the area, we are forced to cancel tonight’s events 8/18/18","Due to heavy rain that has moved into the area, we are forced to cancel tonight’s events 8/18/18",Sat Aug 18 14:53:30 +0000 2018
NYTRB,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18 https://t.co/oX5GIPw1xU,,Sat Aug 18 14:53:26 +0000 2018
bitznews,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18 https://t.co/a7wV9G5ZRg,,Sat Aug 18 14:53:23 +0000 2018
yungjedi3,RT @weatherchannel: Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92…,Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92u https://t.co/aEn3Kr7GvS,Sat Aug 18 14:53:20 +0000 2018
mefpxo_choua,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:52:42 +0000 2018
eddm_printing,"World News - Breaking News: Kerala floods: death toll rises to at least 324 - 220,000 people left homeless and thousands still trapped in southern Indian state after unusually heavy rain
 https://t.co/x5xhRuiOyQ",,Sat Aug 18 14:52:42 +0000 2018
ponnambalam,"RT @praddy06: Kerala Rain Update - No stand &amp; deliver rains today as Idukki clouds weakened and moved away
==================
No widespread…","Kerala Rain Update - No stand &amp; deliver rains today as Idukki clouds weakened and moved away
==================
No widespread heavy rains are occurring today and the heavy spells are happening in scattered areas.",Sat Aug 18 14:52:30 +0000 2018
DaveSayz,RT @atty2thestars: Good lesson with summer thunderstorms. https://t.co/9oQqsCwHC4,Good lesson with summer thunderstorms. https://t.co/9oQqsCwHC4,Sat Aug 18 14:52:29 +0000 2018
