_deefanning,Anyone else having service interruption @rte #GALvLIM,,Sun Aug 19 14:50:14 +0000 2018
PanahonTV,WATER INTERRUPTION | Heads up! The following areas will experience temporary water service interruption. https://t.co/QcpSYdz60w,,Wed Aug 15 02:02:29 +0000 2018
TropALDUBTAN,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Wed Aug 15 01:57:46 +0000 2018
jayelgee1,"@OptimumHelp Sudden service interruption here in Hillsdale.  Audio/Video breaking up, off + on, screen goes to black. What's up?",,Wed Aug 15 01:54:51 +0000 2018
whatsupdagupan,"LUECO ADVISORY:

Please be informed that there will be an interruption of electric power service affecting your area. Details as follows:

DATE: August 18, 2018 (Saturday)

TIME: 6:00 AM to 2:00 PM

REASON(S): 
•... https://t.co/MDbjSw7hZy",,Wed Aug 15 01:51:35 +0000 2018
AnitamcAnita,Riding the TTC with my cast and crutches and there was a service interruption at St George. Working around service interruptions further challenges an already inaccessible transit system. Toronto we need to do better #accessibility #TTC #toronto,,Wed Aug 15 01:45:20 +0000 2018
molavefinds,"RT @SouthSnippets: ICYMI: @maynilad’s water service interruption may last up to three days. Affected south areas include Parañaque, Las Piñ…","ICYMI: @maynilad’s water service interruption may last up to three days. Affected south areas include Parañaque, Las Piñas, Muntinlupa and Bacoor, Cavite. #southAlerts https://t.co/yAPOgbbqpn",Wed Aug 15 01:40:44 +0000 2018
naingtunwin,@helpmeunifi Is there any service interruption in Midvalley Boulevard area? The service is not stable and connection is very slow https://t.co/SpiPyibzSp,,Wed Aug 15 01:40:15 +0000 2018
spearstrength,"RT @ManilaWaterPH: SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. I…","SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. Ito ang mga barangay na mawawalan ng serbisyong tubig sa Mandaluyong, Pasig, San Juan at QC: https://t.co/zNBc3JhwSE https://t.co/CL01nOOfWc",Wed Aug 15 01:37:53 +0000 2018
Jdoggshep,RT @HarryBreadknapp: Apologies for the interruption in service. Had a lot of family stuff going on. All is FAAAAACKIN sweet. Hope you are a…,Apologies for the interruption in service. Had a lot of family stuff going on. All is FAAAAACKIN sweet. Hope you are all well. https://t.co/0dXu7slHxs,Wed Aug 15 01:34:29 +0000 2018
jo_cml,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Wed Aug 15 01:32:49 +0000 2018
montana393,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Wed Aug 15 01:28:23 +0000 2018
HappyNanayof3,"RT @SouthSnippets: ICYMI: @maynilad’s water service interruption may last up to three days. Affected south areas include Parañaque, Las Piñ…","ICYMI: @maynilad’s water service interruption may last up to three days. Affected south areas include Parañaque, Las Piñas, Muntinlupa and Bacoor, Cavite. #southAlerts https://t.co/yAPOgbbqpn",Wed Aug 15 01:24:04 +0000 2018
gausley,@MelissaLeeCNBC @BKBrianKelly great debate with @BillHarris__ formerly of @PayPal. Coincidently PayPal recently stopped service in Turkey but bitcoin would work without interruption or government approval https://t.co/7BoHomb6aw,,Wed Aug 15 01:22:27 +0000 2018
sharmeelita,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Wed Aug 15 01:14:10 +0000 2018
MightyMatlee,"RT @ManilaWaterPH: SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. I…","SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. Ito ang mga barangay na mawawalan ng serbisyong tubig sa Mandaluyong, Pasig, San Juan at QC: https://t.co/zNBc3JhwSE https://t.co/CL01nOOfWc",Wed Aug 15 01:13:34 +0000 2018
HazelCabrera61,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Wed Aug 15 01:11:44 +0000 2018
jolmarion,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Wed Aug 15 00:55:45 +0000 2018
Celcom,"@ShahlilaShahari At this moment, we don't have any service interruption at the mentioned location. We already DM you. Please check your inbox for further assistance. Thank you. 😃",,Wed Aug 15 00:54:35 +0000 2018
markchulo,"RT @SouthSnippets: ICYMI: @maynilad’s water service interruption may last up to three days. Affected south areas include Parañaque, Las Piñ…","ICYMI: @maynilad’s water service interruption may last up to three days. Affected south areas include Parañaque, Las Piñas, Muntinlupa and Bacoor, Cavite. #southAlerts https://t.co/yAPOgbbqpn",Wed Aug 15 00:54:26 +0000 2018
SouthSnippets,"ICYMI: @maynilad’s water service interruption may last up to three days. Affected south areas include Parañaque, Las Piñas, Muntinlupa and Bacoor, Cavite. #southAlerts https://t.co/yAPOgbbqpn",,Wed Aug 15 00:50:05 +0000 2018
Jeroooooome,"@seansntg Manila Water: Nearly 100,000 households, commercial &amp; business establishments in 43 brgys. in Mandaluyong, San Juan,Pasig &amp; Quezon City,will experience WATER SERVICE INTERRUPTION on Monday,Aug 13, 2018 @  7:00PM until 9:00AM,Tue, Aug.14 due to pipelaying &amp; interconnection work.",,Wed Aug 15 00:49:51 +0000 2018
radyopilipinas1,"Water service interruption sa 4 na lungsod  sa MM dahil sa  pagkumpuni ng linya ng tubig sa  EDSA-Shaw Blvd., tuloy bukas – Manila Water. https://t.co/VW72c71d0z https://t.co/aBOX45e9MJ",,Wed Aug 15 00:47:13 +0000 2018
mainef3312,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Wed Aug 15 00:36:20 +0000 2018
cm_menard,@HalifaxWater Looks like there is more work to be done in Windsor Junction area. Can you give us some info as to whether we should expect further stop &amp; go traffic or water service interruption? You have your clients contact info - why not reach out and give us all a heads-up?,,Wed Aug 15 00:35:02 +0000 2018
ZRLiew,@rapidpg is there service interruption for CAT Sungai Dua due to event in USM? I'm waiting for more than half an hour already.,,Wed Aug 15 00:31:03 +0000 2018
Ask_Spectrum,"@kevinramsier My apologies for the interruption in your service Kevin. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Wed Aug 15 00:23:12 +0000 2018
Ask_Spectrum,"@Philxb My apologies for the interruption in your service Phil. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Wed Aug 15 00:22:22 +0000 2018
OfficialLRTA,@AngelaKnowsY Maaari pong kumuha sa amin ng excuse letter request pag may service interruption. Tumawag lamang po sa 647-3452 para sa inyong request. Salamat po.,,Wed Aug 15 00:20:38 +0000 2018
Cmlc17K,"RT @ManilaWaterPH: SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. I…","SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. Ito ang mga barangay na mawawalan ng serbisyong tubig sa Mandaluyong, Pasig, San Juan at QC: https://t.co/zNBc3JhwSE https://t.co/CL01nOOfWc",Wed Aug 15 00:15:24 +0000 2018
melaniegeusebio,"RT @ManilaWaterPH: SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. I…","SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. Ito ang mga barangay na mawawalan ng serbisyong tubig sa Mandaluyong, Pasig, San Juan at QC: https://t.co/zNBc3JhwSE https://t.co/CL01nOOfWc",Wed Aug 15 00:13:33 +0000 2018
Ask_Spectrum,"@TheBertoQ My apologies for the interruption in your service Roberto. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Wed Aug 15 00:08:23 +0000 2018
Ask_Spectrum,"@Moka_D_bo My apologies for the interruption in your service Javar. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Tue Aug 14 23:53:51 +0000 2018
MasonDrm,RT @HarryBreadknapp: Apologies for the interruption in service. Had a lot of family stuff going on. All is FAAAAACKIN sweet. Hope you are a…,Apologies for the interruption in service. Had a lot of family stuff going on. All is FAAAAACKIN sweet. Hope you are all well. https://t.co/0dXu7slHxs,Tue Aug 14 23:45:00 +0000 2018
ProfessorUno,"RT @cnnphilippines: Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions fro…","Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions from August 16 to 17. https://t.co/gTty6c3CYz",Tue Aug 14 23:43:26 +0000 2018
Ask_Spectrum,"@danielleseigler My apologies for the interruption in your service Dani. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Tue Aug 14 23:42:12 +0000 2018
maureensimeon,"ICYMI: Here’s why water service connections were interrupted in several parts of the metro.

Read more at https://t.co/bmxtEzyp95",,Tue Aug 14 23:41:35 +0000 2018
Celcom,"@eeezam At this moment, we don't have any service interruption at the mentioned location. Please DM us for further assistance. Thank you. 😊",,Tue Aug 14 23:35:22 +0000 2018
adora_caringal,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 23:19:24 +0000 2018
GracelLibron,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 23:16:30 +0000 2018
ATT,@TexasPhilPeeno Hello Bien. We don’t have report of service interruption at your area. Please try troubleshooting your service by using this link https://t.co/WCgyfQwNq6. Let us know if further help is needed. ^HelenU https://t.co/7m6RT3Hk4n,,Tue Aug 14 23:13:32 +0000 2018
Ask_Spectrum,"@CHBennettAssc My apologies for the interruption in your service Courtney. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Tue Aug 14 23:05:52 +0000 2018
SanfordHerald,"City of Sanford Public Works Department has announced there will be a temporary interruption of water service from 8 a.m.-5 p.m. Thursday in the following areas:

Lee Avenue from Lochmere Drive to Saint Andrews Road.",,Tue Aug 14 23:00:48 +0000 2018
comcastcares,@BrautigamJeremy Hi. I can check on any service interruption affecting your area. Could you please send me a DM with your name and the phone number linked to your account? -KCB,,Tue Aug 14 22:57:06 +0000 2018
LiLiHadid,RT @Michii_kun: @maynilad thanks for announcing your water service interruption 2 hours after you disconnected your water lines from our ar…,"@maynilad thanks for announcing your water service interruption 2 hours after you disconnected your water lines from our area. Thanks. Thanks talaga. Ang husay. Amazing. Galeng. Woo. Husay mag-isip.
#Maynilad #WalangTubig #WaterPlease https://t.co/U1qRTzf8n6",Tue Aug 14 22:53:01 +0000 2018
Ask_Spectrum,"@RichPedro My apologies for the interruption in your service Rich. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Tue Aug 14 22:51:43 +0000 2018
ejanejanejane,Manila Water said the activities along the southbound stretch of EDSA near Shaw Boulevard would result in the temporary halt of services from 7 p.m. on August 16 to 9 a.m. on August 17. https://t.co/txp8EeypJg,,Tue Aug 14 22:32:59 +0000 2018
norfe03,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 22:26:01 +0000 2018
ATTCares,"@CananMeryem Hello there. We have not received any report of service interruption in your area. Please troubleshoot your signal with this link: https://t.co/8QbL9E5PJx If you need further help, DM us your account number. ^AlejandraP https://t.co/Uyi4xN5vDH",,Tue Aug 14 22:26:00 +0000 2018
johnnagiolagon,Water turbidity triggers service interruption in Metro Manila–Maynilad https://t.co/xst7x4LpSB,,Tue Aug 14 22:11:02 +0000 2018
2019pollwatch,"RT @cnnphilippines: Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions fro…","Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions from August 16 to 17. https://t.co/gTty6c3CYz",Tue Aug 14 22:09:13 +0000 2018
comcastcares,"@blechinger I would like to discuss a service interruption with you. However, I am going to need you to send us a DM with your full name and phone number. -NS",,Tue Aug 14 22:03:38 +0000 2018
ctchlmtx,"RT @cnnphilippines: Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions fro…","Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions from August 16 to 17. https://t.co/gTty6c3CYz",Tue Aug 14 22:00:26 +0000 2018
Maichardlavs1,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 21:46:45 +0000 2018
marjan1226,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 21:42:26 +0000 2018
Elysium1359,"RT @cnnphilippines: Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions fro…","Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions from August 16 to 17. https://t.co/gTty6c3CYz",Tue Aug 14 21:37:42 +0000 2018
ADADAPPADAN,RT @HarryBreadknapp: Apologies for the interruption in service. Had a lot of family stuff going on. All is FAAAAACKIN sweet. Hope you are a…,Apologies for the interruption in service. Had a lot of family stuff going on. All is FAAAAACKIN sweet. Hope you are all well. https://t.co/0dXu7slHxs,Tue Aug 14 21:32:55 +0000 2018
ILoveYGDara,"RT @cnnphilippines: Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions fro…","Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions from August 16 to 17. https://t.co/gTty6c3CYz",Tue Aug 14 21:32:19 +0000 2018
HarryBreadknapp,Apologies for the interruption in service. Had a lot of family stuff going on. All is FAAAAACKIN sweet. Hope you are all well. https://t.co/0dXu7slHxs,,Tue Aug 14 21:31:22 +0000 2018
cnnphilippines,"Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions from August 16 to 17. https://t.co/gTty6c3CYz",,Tue Aug 14 21:30:00 +0000 2018
comcastcares,"@blechinger I would like to discuss with you details about a service interruption in your area. However, I am going to need you to send us a DM with your full name and phone number. -NS",,Tue Aug 14 21:26:47 +0000 2018
blechinger,"@comcastcares
Yet another random service interruption just now.",,Tue Aug 14 21:25:01 +0000 2018
whengcastaneda_,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 21:23:14 +0000 2018
comcastcares,"@acme401 Hello, I would be able to provide any updates on a service interruption in your area. Can you send me a DM with your full name and phone number so we can get started? -ZF",,Tue Aug 14 21:22:50 +0000 2018
Sfrenjon,@comcastcares I've had service outages for two days! What is going on and can I get a credit on my account for the interruption?,,Tue Aug 14 20:57:32 +0000 2018
EastlinkSupport,@Eastlink Hi @TheDaveReynolds  can we assist you? We apologize for the service interruption you had experienced.,,Tue Aug 14 20:56:19 +0000 2018
CityOfRaymoreMO,"Weather permitting, the City has scheduled a test waterline shut down between 9-10 a.m. Aug. 15, on W Elm Street from S Madison Street to Aspen Drive.
Some homes in the area may experience a brief water service interruption (~10 min). Call 816-331-1852 with questions. Thank you.",,Tue Aug 14 20:46:42 +0000 2018
tinmaichard16,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 20:42:56 +0000 2018
longliveswift16,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 20:28:45 +0000 2018
odetocampo,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 20:24:44 +0000 2018
comcastcares,"@timstephansen Hi there, I would be more than happy to look into your service interruption concerns. Can you please DM the phone number, full address, and name of the account? -AT",,Tue Aug 14 20:22:44 +0000 2018
comcastcares,@blechinger This is definitely not the customer experience we want you to have. I would be happy to address your issues or concerns regarding a service interruption. Can you please send us a DM with your full name phone number? -NS,,Tue Aug 14 20:20:46 +0000 2018
OnslowWASA,"Boil Water Advisory Maidstone Subdivision August 14, 2018: Due to a brief interruption in water service on Tuesday, August 14, 2018, customers in the Maidstone Subdivision and some customers on the Comfort Rd area have been issued a boil water advisory.… https://t.co/aocyXyu8c6",,Tue Aug 14 20:14:04 +0000 2018
Ask_Spectrum,"@solebiscuits My apologies for the interruption in your service Joshua. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Tue Aug 14 20:13:58 +0000 2018
maycruz97297886,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 20:13:43 +0000 2018
Ask_Spectrum,"@jpburns My apologies for the interruption in your service James. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Tue Aug 14 20:13:12 +0000 2018
octothorpe,"@stroughtonsmith I take the opposite view… as an end user, I don’t want to be “Adobe-fied” where my software basically stops working if I stop paying, despite years of history. There are different (better) ways to handle service interruption, but it’s still a PITA.",,Tue Aug 14 20:03:46 +0000 2018
a2hosting_alert,Resolved: [RESOLVED] SSDSEMI7 :: Service Interruption,,Tue Aug 14 19:37:53 +0000 2018
WAC_OnTap,BRAC UPDATE: Service interruption planned for Brac piped water customers west of Church Close from 2:30pm to 6:00pm today to facilitate emergency repairs.,,Tue Aug 14 19:37:23 +0000 2018
escalera_joey,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 19:35:35 +0000 2018
rescueAnn,"Baby sleeping, husband away for ambulance service tonight, I already had &gt;1 hour without interruption in front of the TV. AMA 😂",,Tue Aug 14 19:34:40 +0000 2018
ATT,"@michaelewiggam Hello, Michael! Thanks for reaching out. Currently, we are not showing a service interruption in your area. Try troubleshooting your wireless device at https://t.co/7ESCRuaHHJ Let us know if the link provided was helpful. ^ErinJ",,Tue Aug 14 19:29:30 +0000 2018
fabricerestier,"@Alanis591 @bouyguestelecom Après 15 jours d'interruption du service au mois de juillet, ça a fonctionné du 25 juillet jusqu'au 12 août... Et depuis ce dimanche, ça ne marche plus.
J'ai envoyé un MP hier: parle à mon cul... 
#BouyguesTelecom 💣💣💣",,Tue Aug 14 18:49:54 +0000 2018
Telstra,"@xdle10 Hi David, sorry to hear that your Cable service is affected by an interruption. When checking your full address here: https://t.co/pLMOfiIkXs do you currently get some listed details? -Ivan",,Tue Aug 14 18:48:12 +0000 2018
SKYserves,"@chrlnvlnzl95 We're sorry to hear about your experience, @chrlnvlnzl95. Based on our records, we have no declared service interruption on your area. May we ask you to send us your SKYcable account information via direct message for checking?",,Tue Aug 14 18:47:37 +0000 2018
ATTCares,"@MattieLegend Hello Matt! At this moment we don't have any service interruption registered at your area. You can also troubleshoot your device at: https://t.co/8QbL9E5PJx If further assistance is needed, let us know. ^KarenC https://t.co/Uyi4xN5vDH",,Tue Aug 14 18:30:24 +0000 2018
DemiPansexual,"RT @ManilaWaterPH: SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. I…","SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. Ito ang mga barangay na mawawalan ng serbisyong tubig sa Mandaluyong, Pasig, San Juan at QC: https://t.co/zNBc3JhwSE https://t.co/CL01nOOfWc",Tue Aug 14 18:22:39 +0000 2018
jonlmayuga,Water turbidity triggers service interruption in Metro Manila–Maynilad https://t.co/z7AhrZS2KM,,Tue Aug 14 18:16:08 +0000 2018
rjmeng24,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 18:12:33 +0000 2018
ChaimShapiro,RT @trudygsteinfeld: @VerizonSupport Extremely frustrated by land line service interruption caused by work next door. Multiple phone calls…,@VerizonSupport Extremely frustrated by land line service interruption caused by work next door. Multiple phone calls and no solution. Can you please help?,Tue Aug 14 18:12:17 +0000 2018
WaterUtilityMgt,#Alford Emergency interruption of service until 4pm. Technicians are repairing leak in area,,Tue Aug 14 18:08:40 +0000 2018
ATTCares,"@MandaKpat We don’t have any service interruption in your area. Let’s work on this by troubleshooting your device using the following guide: https://t.co/JyZp7SaqHB Please give it a try, and let us know if you need further assistance. ^ErickC https://t.co/Uyi4xN5vDH",,Tue Aug 14 18:06:28 +0000 2018
Silvest75101492,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 18:06:01 +0000 2018
lepuscornutus,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 18:01:24 +0000 2018
maybelievable,"@NolanGalido @yentumpang Maynilad Reduction Update
2:30 PM, August 14

This is urgent. Please cascade to everyone that we will be having major service interruption for the areas covered by Sampaloc from 3pm to 7am everyday from August 14th to August 17th.",,Tue Aug 14 18:01:06 +0000 2018
nerissaaringino,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 17:42:27 +0000 2018
trudygsteinfeld,@VerizonSupport Extremely frustrated by land line service interruption caused by work next door. Multiple phone calls and no solution. Can you please help?,,Tue Aug 14 17:40:05 +0000 2018
AnissaAZz,@SFR_SAV une honte ! Interruption de service pdt 10 jours ET on quémande un dédommagement ! Quid du dédommagement service canal + sur box sfr quand canal refuse un dédommagement ?,,Tue Aug 14 17:36:38 +0000 2018
celebeyer,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 17:34:48 +0000 2018
pizzaclick,"RT @BrunoBonacci: From John Ousterhout’s book ""A Philosophy of Software Design” on “tactical tornadoes”. In my career I met a few of those.…","From John Ousterhout’s book ""A Philosophy of Software Design” on “tactical tornadoes”. In my career I met a few of those. In one occasion it took a team of 4 ppl, 6 months to fix, without causing service interruption, the damage that a tactical tornado created in two weeks. https://t.co/iTwU4LRrpw",Tue Aug 14 17:33:06 +0000 2018
ErlindaNovenar2,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 17:28:42 +0000 2018
