joyce_macri,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/jp7JevzZcC via @houstonchron,,Sat Aug 18 19:34:20 +0000 2018
NewsSyndicate,"Third strong earthquake shakes Lombok as death toll tops 220 TANJUNG, Indonesia (AP) — The Indonesian island of Lombok was shaken by a third big earthquake in little more than a week Thursday as an official said the death toll from an earlier quake had topped 220. The strong…",,Thu Aug 09 10:42:35 +0000 2018
tiffany_tddd,Powerful Aftershock Shakes Survivors of Indonesia Quake https://t.co/F356jTuui0,,Thu Aug 09 10:41:21 +0000 2018
SARAKARNTHI1,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:38:55 +0000 2018
BangkokPostNews,Third strong quake shakes Lombok as death toll tops 300 https://t.co/SgrYMMKNp1,,Thu Aug 09 10:38:49 +0000 2018
farahfox92,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:38:02 +0000 2018
probability0712,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:37:29 +0000 2018
User_138,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:37:15 +0000 2018
translatorbali,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:36:56 +0000 2018
LBoogiePopWorld,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:33:17 +0000 2018
BTRTSR,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:32:57 +0000 2018
mukmook,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:32:52 +0000 2018
Crypto_News___,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:32:29 +0000 2018
JohnFalatJr,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:32:29 +0000 2018
BusinessTeamVIP,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:32:29 +0000 2018
tradnews_,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:32:28 +0000 2018
business,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,,Thu Aug 09 10:32:27 +0000 2018
bankinformer,The Wall Street Journal: Aftershock shakes survivors of Indonesia quake https://t.co/pm4MKe33nt,,Thu Aug 09 10:30:42 +0000 2018
pmcdowellsea,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 10:21:12 +0000 2018
OptimisticCon,RT @WashTimes: Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8jujJI34S,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8jujJI34S,Thu Aug 09 10:21:09 +0000 2018
TheWatchmanNews,"Strong Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse

https://t.co/W7OI9NqjYI",,Thu Aug 09 10:19:37 +0000 2018
theelatestnews,The Latest: Indonesia minister says quake deaths pass 300-https://t.co/vsNM6oukq8,,Thu Aug 09 10:18:26 +0000 2018
aaalarcont,RT @WashTimes: Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8jujJI34S,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8jujJI34S,Thu Aug 09 10:16:05 +0000 2018
Messy0666,"In an island to the East... Dajjal being released?

Strong #earthquake Shakes Indonesia's #Lombok, Buildings Reportedly Collapse

https://t.co/KJSExsmS94",,Thu Aug 09 10:14:55 +0000 2018
JohnWickI007,RT @WashTimes: Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8jujJI34S,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8jujJI34S,Thu Aug 09 10:14:51 +0000 2018
WashTimes,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8jujJI34S,,Thu Aug 09 10:14:19 +0000 2018
funding_hero,Aftershock shakes survivors of Indonesia quake https://t.co/RC5wrcgGjl,,Thu Aug 09 10:00:19 +0000 2018
JenniferGardnr,Powerful Aftershock Shakes Survivors of Indonesia Quake https://t.co/bCdka9bxEP,,Thu Aug 09 09:59:21 +0000 2018
riskinfo,#WorldNews 24 https://t.co/BpF3ul1MCO | Death toll tops 220 as third strong quake shakes Indonesian island https://t.co/8CnoIMUWPV,,Thu Aug 09 09:57:09 +0000 2018
theqeenofhearts,"New 6.2 Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse

https://t.co/ApKkzxiIg7",,Thu Aug 09 09:54:18 +0000 2018
bdnews24,Powerful Aftershock Shakes Survivors of Indonesia Quake A 6.2 magnitude aftershock sent thousands of residents of the Indonesian island of Lombok running into the streets and toppled buildings already weakened by Sunday’s ma... https://t.co/HVqt8hs43c via @bdnews24 #breakingnews,,Thu Aug 09 09:51:16 +0000 2018
mirshadfarooq,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 09:46:05 +0000 2018
dubvNOW,The Wall Street Journal: Aftershock shakes survivors of Indonesia quake https://t.co/0RjSJFGU02 https://t.co/YyoATmpWmN,,Thu Aug 09 09:44:44 +0000 2018
MikeArgi,"Strong Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse: https://t.co/Evqf7rHLI7 via @SputnikInt",,Thu Aug 09 09:44:16 +0000 2018
ThalyOne2,"Strong Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse: https://t.co/flbsLAVulz via @SputnikInt",,Thu Aug 09 09:39:37 +0000 2018
stevenacurtis,💥 Powerful Aftershock Shakes Survivors of Indonesia Quake https://t.co/1u5E6LiNpw Via @WSJ✔️,,Thu Aug 09 09:39:08 +0000 2018
nader_haidar,"RT @haloefekti: Strong new Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse

https://t.co/Qrin53Oiqk","Strong new Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse

https://t.co/Qrin53Oiqk",Thu Aug 09 09:33:54 +0000 2018
HotChkNewsTweet,Powerful Aftershock Shakes Survivors of Indonesia Quake (WSJ) https://t.co/66hTZgMRyZ,,Thu Aug 09 09:29:12 +0000 2018
Erroin,Powerful Aftershock Shakes Survivors of Indonesia Quake https://t.co/LR2sP3aLL4,,Thu Aug 09 09:28:18 +0000 2018
pressshare,Powerful Aftershock Shakes Survivors of Indonesia Quake https://t.co/qSyJSawuWE (via https://t.co/WmuTQrVrkh) #BreakingNews,,Thu Aug 09 09:28:13 +0000 2018
MomentaryReview,Powerful Aftershock Shakes Survivors of Indonesia Quake https://t.co/fPEBCnk3wn,,Thu Aug 09 09:26:53 +0000 2018
Dra_TeraizaMesa,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 09:25:29 +0000 2018
GennechoFinance,RT @MarketWatch: Aftershock shakes survivors of Indonesia quake https://t.co/8rfTUkETKF,Aftershock shakes survivors of Indonesia quake https://t.co/8rfTUkETKF,Thu Aug 09 09:24:59 +0000 2018
MarketWatch,Aftershock shakes survivors of Indonesia quake https://t.co/8rfTUkETKF,,Thu Aug 09 09:21:40 +0000 2018
financeprnews,The Wall Street Journal: Aftershock shakes survivors of Indonesia quake https://t.co/89gXrSgx0U https://t.co/ZE7YtTgsAM,,Thu Aug 09 09:21:09 +0000 2018
rashidaldosari,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 09:17:23 +0000 2018
GennechoFinance,The Wall Street Journal: Aftershock shakes survivors of Indonesia quake https://t.co/avO727q8yI https://t.co/ng4zbvbrlX,,Thu Aug 09 09:17:12 +0000 2018
ASOIideas,The Wall Street Journal: Aftershock shakes survivors of Indonesia quake https://t.co/vNKSBLKmdC https://t.co/QPRih480Jo,,Thu Aug 09 09:17:10 +0000 2018
FinanzLinksCom,The Wall Street Journal: Aftershock shakes survivors of Indonesia quake: A powerful aftershock sent thousands of residents of the Indonesian island of Lombok running into the streets and toppled buildings already weakened by Sunday’s even… https://t.co/wbhNgoZxm7 MARKETWATCH,,Thu Aug 09 09:17:09 +0000 2018
mcwilkins63,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 09:16:19 +0000 2018
kycumberland,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 09:14:09 +0000 2018
CianGaia,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 09:13:17 +0000 2018
w_nicht,"RT @haloefekti: Strong new Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse

https://t.co/Qrin53Oiqk","Strong new Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse

https://t.co/Qrin53Oiqk",Thu Aug 09 09:08:14 +0000 2018
haloefekti,"Strong new Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse

https://t.co/Qrin53Oiqk",,Thu Aug 09 09:07:08 +0000 2018
mohamedwerzeg,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 09:06:55 +0000 2018
YodaCon,The Latest: Rescue agency says Lombok quake deaths over 220 #TCOT #MAGA https://t.co/OGWAEFpts3,,Thu Aug 09 09:05:42 +0000 2018
seattlepi,The Latest: Aftershock shakes quake-hit Indonesian island https://t.co/X6qVk7gcez,,Thu Aug 09 09:05:30 +0000 2018
lepetitchaperon,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 09:04:58 +0000 2018
gm2dm,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 09:00:17 +0000 2018
ziastateofmind,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:57:04 +0000 2018
Vivodisogniebas,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:54:26 +0000 2018
pictureoffake,"Strong Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse: https://t.co/NSBY994xHe @SputnikIntさんから",,Thu Aug 09 08:53:42 +0000 2018
annmarie309,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:51:34 +0000 2018
imteyazkhizar,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:51:30 +0000 2018
MediaSleed,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:51:27 +0000 2018
gv10a,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:50:38 +0000 2018
cr23c6,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:50:15 +0000 2018
timthegoodone,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:48:41 +0000 2018
Clarembaldo,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:47:00 +0000 2018
Phillipdrphl,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:45:33 +0000 2018
parimivamsi9,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:44:15 +0000 2018
UltraUndercover,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:44:11 +0000 2018
kiproppeter,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:43:46 +0000 2018
KarenlovesJack7,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:43:16 +0000 2018
wsj_once,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:42:44 +0000 2018
arriannariff,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:42:43 +0000 2018
TammyHuntley69,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:42:33 +0000 2018
K11Marc,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:42:32 +0000 2018
IvanCor73366633,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:42:31 +0000 2018
sanchx,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:41:30 +0000 2018
Bullish,"The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/RiqPk5DC4s",,Thu Aug 09 08:41:06 +0000 2018
tradnews_,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:40:05 +0000 2018
Alexander_Solms,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 08:40:05 +0000 2018
WSJ,"The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",,Thu Aug 09 08:40:04 +0000 2018
DannyShookNews,Aftershock shakes quake-hit Indonesian island https://t.co/QwGsoYDQGK #DSNEurope,,Thu Aug 09 08:28:43 +0000 2018
TheAnkaraTimes,Aftershock shakes earthquake-hit Indonesian island #Lombok https://t.co/To8sqCRHz9 https://t.co/JDu79NcEc0,,Thu Aug 09 07:56:24 +0000 2018
KittyOwner_Club,"Strong Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse: https://t.co/ODZSgbR9Kz via @SputnikInt https://t.co/iULovzfckn",,Thu Aug 09 07:09:14 +0000 2018
monhebranco61,The Latest: Rescue agency says Lombok quake deaths over 220 - ABC News https://t.co/KvkLMkIEDn,,Thu Aug 09 07:07:14 +0000 2018
NewsChannel_NYC,The Latest: Rescue agency says Lombok quake deaths over 220 The Latest on the Indonesian earthquake (all times local): https://t.co/K8aplKaB7m https://t.co/DavC4LaSLE,,Thu Aug 09 07:02:32 +0000 2018
dnp_david,The Latest: Aftershock shakes quake-hit Indonesian island https://t.co/EohgjeE3ai,,Thu Aug 09 07:00:48 +0000 2018
propergaanda,"Third big quake to hit #lombok. 
Aftershock shakes Indonesian quake hit land.  
#world #updates",,Thu Aug 09 06:51:39 +0000 2018
Raybo34,The Latest: Rescue agency says Lombok quake deaths over 220 https://t.co/qowdlriqTU https://t.co/GvvcyCxZyr,,Thu Aug 09 06:48:05 +0000 2018
Heelyn974,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 06:32:22 +0000 2018
waynfo,"New 6.2 Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse https://t.co/U3NsqZnP2U https://t.co/s0JX1npLgp",,Thu Aug 09 06:31:07 +0000 2018
dailytrumpian,RT @SFGate: Aftershock shakes quake-hit Indonesian island https://t.co/xgUOj3jfWX https://t.co/4iGY6QvGvN,Aftershock shakes quake-hit Indonesian island https://t.co/xgUOj3jfWX https://t.co/4iGY6QvGvN,Thu Aug 09 06:30:05 +0000 2018
SFGate,Aftershock shakes quake-hit Indonesian island https://t.co/xgUOj3jfWX https://t.co/4iGY6QvGvN,,Thu Aug 09 06:28:49 +0000 2018
Tikolores,"New 6.2 Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse: https://t.co/QFxv4FgDLB via @SputnikInt",,Thu Aug 09 06:22:28 +0000 2018
MomentaryReview,The Latest: Aftershock shakes quake-hit Indonesian island https://t.co/Oj5I5sOaY0,,Thu Aug 09 06:22:27 +0000 2018
eplawiuk,"New 6.2 Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse: https://t.co/Hpeb5tpPGQ via @SputnikInt",,Thu Aug 09 06:22:24 +0000 2018
KoltovskoyYakov,The Latest: Aftershock shakes quake-hit Indonesian island https://t.co/a5BtBhRXjg,,Thu Aug 09 06:21:25 +0000 2018
BradS415,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 06:21:01 +0000 2018
indecentKurt,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 06:19:04 +0000 2018
HDNER,Aftershock shakes earthquake-hit Indonesian island #Lombok https://t.co/NrAYiySSSi https://t.co/MS4c5D8v63,,Thu Aug 09 06:15:53 +0000 2018
USSANews,The Latest: Aftershock shakes quake-hit Indonesian island - https://t.co/rgNuqBJugz,,Thu Aug 09 06:09:26 +0000 2018
TALK1370,HEADLINES: The Latest: Aftershock shakes quake-hit Indonesian island https://t.co/RWA07MofvI,,Thu Aug 09 06:08:02 +0000 2018
KRMGtulsa,The Latest: Aftershock shakes quake-hit Indonesian island https://t.co/CPapQIkBF0 https://t.co/bitxlYP1WX,,Thu Aug 09 06:02:08 +0000 2018
disruptivesigna,"""New 6.2 Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse"" https://t.co/XEwhNFyUoI #news #feedly",,Thu Aug 09 06:00:23 +0000 2018
MidEastAlerts,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:53:23 +0000 2018
_LouieFM_,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:52:50 +0000 2018
Headlines__news,"New 6.2 Quake Shakes Indonesia’s Lombok, Buildings Reportedly Collapse https://t.co/Q2WRvdDMsX",,Thu Aug 09 05:52:39 +0000 2018
