McCringie,"Quake Champions, I quit for a while and am prob bad: https://t.co/QV6LDjHp1q via @YouTube",,Sat Aug 18 20:16:29 +0000 2018
earthquakesApp,"[USGS] M4.7 Aug-18 17:02:49 UTC, 86km SE of Kuril&amp; #39;sk, Russia, Depth:73.43km, https://t.co/kmMNKWMu36 #quake https://t.co/xx1iLJ32YJ",,Sat Aug 18 17:02:50 +0000 2018
AndrewHulshult,"I handed @DCDeacon a biz card at @QuakeCon 2013 thinking ""If I can pitch myself to Pete, I can pitch myself to anyone"". He responded with ""Awesome! Thanks for introducing yourself!"". This year I got to shake his hand and chat after working on @Quake . Goals are never too far away",,Sat Aug 18 17:02:39 +0000 2018
lennon_ydwong,"""LATEST: FILIPINA OFW FOUND DEAD UNDER THE RUBBLE IN TAIWAN QUAKE - YouTube"" ( https://t.co/37IApqxmNP )",,Sat Aug 18 17:02:12 +0000 2018
shoomshoomy,RT @flexibleshoom: Sometimes I just quake at the thought of this photo like wow it's so powerful I can't believe it exists https://t.co/935…,Sometimes I just quake at the thought of this photo like wow it's so powerful I can't believe it exists https://t.co/935H4yAjoM,Sat Aug 18 17:02:04 +0000 2018
theBigSandbox,"QUAKE! Magnitude 4.7, 86km SE of Kuril'sk, Russia on August 18th 2018 at 12:41 pm ET. https://t.co/vpkdmxyI8J",,Sat Aug 18 17:02:03 +0000 2018
_nyoritamaa_,RT @MesutOzil1088: Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. In…,Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. Including you beautiful people into my prayers 🙏🏽 https://t.co/yhg8XvPLvd,Sat Aug 18 17:01:56 +0000 2018
shinji_quake,マジすか！？二時すか！？,,Sat Aug 18 17:01:44 +0000 2018
flexibleshoom,Sometimes I just quake at the thought of this photo like wow it's so powerful I can't believe it exists https://t.co/935H4yAjoM,,Sat Aug 18 17:01:41 +0000 2018
MLP_Razzamazoo,*Razzamazoo half-departs from Lycia’s mind and reveals himself to the small army below* ... What do you know about /me/? You used to quake in fear of my name. There was a time when you DESPISED me! *he scowls*,,Sat Aug 18 17:01:36 +0000 2018
segfault314,"RT @quake_txt: ""In some ways, Quake was similar to Doom"" https://t.co/UermdfsiiJ","""In some ways, Quake was similar to Doom"" https://t.co/UermdfsiiJ",Sat Aug 18 17:00:48 +0000 2018
sleeplost_jp,"So while I'm struggling to take back the wheel of things, I've been streaming fighting games and Quake Champions.

 If you're any interested, visit me on: https://t.co/gW6y2sCDPb",,Sat Aug 18 17:00:44 +0000 2018
OnlineKonzepte,"RT @GOGcom: The Quake series is on sale, and frankly the old marketing still holds up. So here you go, retro game, retro marketing. God dam…","The Quake series is on sale, and frankly the old marketing still holds up. So here you go, retro game, retro marketing. God damn grandma's beautiful big crusty pie. 

The Quake seris, part of our Bethesda weekend sale - https://t.co/4Gwmz0oA8L https://t.co/bE9BC899Ic",Sat Aug 18 17:00:04 +0000 2018
TOEIC700cat,"quake / kwéɪk /
[自動詞]（地面などが）揺れる ，震動する
[名詞]((口))地震（earthquake） https://t.co/JZgFZ8MYOb",,Sat Aug 18 17:00:03 +0000 2018
SirJacobDale,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 16:58:50 +0000 2018
edawnings,RT @yutospics: 171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,Sat Aug 18 16:58:05 +0000 2018
Millennial_Rule,"Powerful quake strikes off central Indonesia, no tsunami alert issued https://t.co/BrIPIEXeKb",,Sat Aug 18 16:56:03 +0000 2018
JohnnyEAwesome,"☮️🐱 #SaturdayMorning Hey Brian, a few people actually heard my song 'Quake Me Chloe', that's cool!🎶🎸 https://t.co/eTwyeHPNlo",,Sat Aug 18 16:55:53 +0000 2018
johnpaily,The 8th major quake in 5 days struck Costa Rica last night along with Peru's Sabancaya volcanoa spewing ash two miles into the air https://t.co/Og7A8Bq5ct,,Sat Aug 18 16:54:33 +0000 2018
prisilda_nancy,"RT @jothims: Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories th…","Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories that women trying to enter the Ayyappan temple is the reason.Wt an inhuman approach?! Then wt was d reason behind Gujarat earth quake&amp;Uttarakhand flood?",Sat Aug 18 16:53:18 +0000 2018
venarck,"@annavetticad Foreign aid  is routed thru xtian or Muslim institutions.  A few years back China was devastated by a massive quake &amp; they refused all outside help both materials and finance,We are financially strong &amp; not a beggar nation &amp; all Indians will rise to support Kerala.",,Sat Aug 18 16:51:04 +0000 2018
tikitiki5648,"RT @zishinmimi: マグニチュード６超えの地震だ。
https://t.co/i92wD0Z9Co https://t.co/j93cGiDc8X","マグニチュード６超えの地震だ。
https://t.co/i92wD0Z9Co https://t.co/j93cGiDc8X",Sat Aug 18 16:50:29 +0000 2018
Hardstyle4Raw,Short chill Monster Hunter and Quake Champions Stream before work . https://t.co/xc1eh0dq5f,,Sat Aug 18 16:49:15 +0000 2018
chookys91,RT @MesutOzil1088: Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. In…,Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. Including you beautiful people into my prayers 🙏🏽 https://t.co/yhg8XvPLvd,Sat Aug 18 16:49:10 +0000 2018
Nicky_1179,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 16:49:02 +0000 2018
DateALiveBot,I'm having a spacial quake is a penalty.,,Sat Aug 18 16:48:53 +0000 2018
Maxy_Black,@Quake can you guys add an option to cancel mm after you end game so I don't need to wait 20s for next queue to start to cancel it?,,Sat Aug 18 16:47:29 +0000 2018
feralknights,now we're talking #nyx #quake #quakechampions https://t.co/BQedrvRh2r,,Sat Aug 18 16:44:21 +0000 2018
mekalapugazh,"RT @jothims: Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories th…","Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories that women trying to enter the Ayyappan temple is the reason.Wt an inhuman approach?! Then wt was d reason behind Gujarat earth quake&amp;Uttarakhand flood?",Sat Aug 18 16:43:40 +0000 2018
arkadiaDonosti,"RT @GOGcom: The Quake series is on sale, and frankly the old marketing still holds up. So here you go, retro game, retro marketing. God dam…","The Quake series is on sale, and frankly the old marketing still holds up. So here you go, retro game, retro marketing. God damn grandma's beautiful big crusty pie. 

The Quake seris, part of our Bethesda weekend sale - https://t.co/4Gwmz0oA8L https://t.co/bE9BC899Ic",Sat Aug 18 16:43:40 +0000 2018
mohideen5,"RT @jothims: Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories th…","Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories that women trying to enter the Ayyappan temple is the reason.Wt an inhuman approach?! Then wt was d reason behind Gujarat earth quake&amp;Uttarakhand flood?",Sat Aug 18 16:43:26 +0000 2018
mr__quake,RT @JuliaCaesar08: Både moderaterna och socialdemokraterna kopierar Sverigedemokraternas politik om utvisning av utländska medborgare som b…,"Både moderaterna och socialdemokraterna kopierar Sverigedemokraternas politik om utvisning av utländska medborgare som begår brott i Sverige.

M hade 8 år på sig att genomföra denna självklarhet, S har haft 4 år på sig.
https://t.co/g8ycbQnyHR #svpol",Sat Aug 18 16:41:58 +0000 2018
SoulCinemaYT,Bout to get this car stuff situated then im gonna stream some quake prolly,,Sat Aug 18 16:40:15 +0000 2018
quakenotices,#quake 2018-08-18 16:02:05 (M3.2) Southern California 34.3 -116.9 (ebb0) https://t.co/jplL2B1Sqp,,Sat Aug 18 16:39:58 +0000 2018
tobinmarks,"RT @assaphmehr: Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the wo…","Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the works, countless hours researching ancient ghosts, and extensive editing - all for a beautiful that would make even Cicero quake!

https://t.co/IAt6pqnNLp https://t.co/v0IcKNfpC8",Sat Aug 18 16:39:23 +0000 2018
spiderjeh,RT @MarvelRisingSW: Who is Quake? @ChloeBennet gives us the inside scoop on how her character will shake things up in this new #MarvelRisin…,Who is Quake? @ChloeBennet gives us the inside scoop on how her character will shake things up in this new #MarvelRising featurette! https://t.co/tGlkY8t7hC,Sat Aug 18 16:38:41 +0000 2018
Quake_Skywalker,"RT @marcosalvati: Porta un kindle in spiaggia e preparati a una sequela di ""io preferisco il cartaceo"" non richiesti.","Porta un kindle in spiaggia e preparati a una sequela di ""io preferisco il cartaceo"" non richiesti.",Sat Aug 18 16:38:41 +0000 2018
Tellevinken,"@mr__quake Ja, r_ven full 😂😂😂",,Sat Aug 18 16:38:12 +0000 2018
Kritigri,"My love of World of Warcraft, especially during the new expansion period, isn't enough to stop it being contested by Quake Champions for my attention

And trust me, that's quite the fucking achievement",,Sat Aug 18 16:37:50 +0000 2018
a8219ya,"RT @Chikuba_Shutou_: ■２０１６年６月１８日０７時５８分ころ、大阪府北部で震度６弱の地震がありました。
これは人工地震です。

私の体に電磁波攻撃の極めてきつい攻撃が、前日に高まりました。
２０１６、６、18、
6月18日→6、6+6（666）のイルミナティ…","■２０１６年６月１８日０７時５８分ころ、大阪府北部で震度６弱の地震がありました。
これは人工地震です。

私の体に電磁波攻撃の極めてきつい攻撃が、前日に高まりました。
２０１６、６、18、
6月18日→6、6+6（666）のイルミナティが災害に使う数字だからです。

https://t.co/qc5MDCnQhe",Sat Aug 18 16:37:43 +0000 2018
mr__quake,"@Tellevinken Välkommen till magnetröntgen, har du några metallsmycken på dig? 😳",,Sat Aug 18 16:37:16 +0000 2018
_aeWinD,@RCN_YoitsGK @Emmy_Autumn @xidaxpcs @Quake @DCDeacon @mortalemperor @tokyopunchout @OfficialTonyzoo @TimWillits @paradox_jin349 @AEBlessed @TipsyAssassin @rocketjumpzone to throw in the air for the purpose of Skeet shooting?,,Sat Aug 18 16:37:02 +0000 2018
Mithila1973,"RT @Rjrasva: @skipChandra During 2011 Japan quake &amp; tsunami too. There were Japanese tweeting that they didn't need bibles
https://t.co/3AQ…","@skipChandra During 2011 Japan quake &amp; tsunami too. There were Japanese tweeting that they didn't need bibles
https://t.co/3AQKx25JME",Sat Aug 18 16:36:40 +0000 2018
solidegosse,"@tribunjogja However don' t be worry for Yogyakarta peoples prominently Sleman cause a peak of Merapi mount faced to Boyolali not Sleman moreover Yogyakarta, only earth quake as warning",,Sat Aug 18 16:36:37 +0000 2018
HellzArmy_,RT @MDalchev: Going live with some quake champions! https://t.co/kIxudu57tC    @SSWIGameNation @HellzArmy_ #HellzArmy #streamer #smallstrea…,Going live with some quake champions! https://t.co/kIxudu57tC    @SSWIGameNation @HellzArmy_ #HellzArmy #streamer #smallstreamer #SupportSmallStreamers,Sat Aug 18 16:35:43 +0000 2018
MDalchev,Going live with some quake champions! https://t.co/kIxudu57tC    @SSWIGameNation @HellzArmy_ #HellzArmy #streamer #smallstreamer #SupportSmallStreamers,,Sat Aug 18 16:35:39 +0000 2018
ourladyofwar,"@SidAlpha @WeBeHarebrained Dead cells, Battlefront 2 ( I got it for my PC for 10 buck), @BATTLETECH_Game, @Quake Champions",,Sat Aug 18 16:35:20 +0000 2018
RCN_YoitsGK,@_aeWinD @Emmy_Autumn @xidaxpcs @Quake @DCDeacon @mortalemperor @tokyopunchout @OfficialTonyzoo @TimWillits @paradox_jin349 @AEBlessed @TipsyAssassin @rocketjumpzone Yea I was wondering if they would have a CD for nostalgia purposes,,Sat Aug 18 16:34:57 +0000 2018
_aeWinD,"@RCN_YoitsGK @Emmy_Autumn @xidaxpcs @Quake @DCDeacon @mortalemperor @tokyopunchout @OfficialTonyzoo @TimWillits @paradox_jin349 @AEBlessed @TipsyAssassin @rocketjumpzone better, the case gets to go on my stream wall next to #Quake 1, 2, 3 and 4 cases!! but for real, no CD as we are in the digital age it comes with the Scale Bearer ONI skin (which will be a rare OOO skin, bad-ass Samurai armor/sword) and with that code Private #Fallout76 Beta",,Sat Aug 18 16:34:02 +0000 2018
rudipitt,"RT @DeadarticGames: Quake Champions E3 2018
https://t.co/b4fTs8q3hF #QuakeChampions #Quake #BethesdaE3 #E32018 #E3 #Ps4Pro #Ps4 #XboxOneX #…","Quake Champions E3 2018
https://t.co/b4fTs8q3hF #QuakeChampions #Quake #BethesdaE3 #E32018 #E3 #Ps4Pro #Ps4 #XboxOneX #XboxOne #PC #deadarticgames",Sat Aug 18 16:33:53 +0000 2018
MissKittySaleen,"So it looks like @GOGcom is have a delightful #Bethesda Sale - this of course includes old school @DOOM, @Quake, @wolfenstein and @Fallout. Excuse me while I go replay my childhood - I'm only sad its not a a windows 95 computer.",,Sat Aug 18 16:33:00 +0000 2018
JackWolfeWriter,"RT @assaphmehr: Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the wo…","Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the works, countless hours researching ancient ghosts, and extensive editing - all for a beautiful that would make even Cicero quake!

https://t.co/IAt6pqnNLp https://t.co/v0IcKNfpC8",Sat Aug 18 16:32:37 +0000 2018
nanorobot_quake,現在日時：2018年8月19日日曜日　1時32分です。,,Sat Aug 18 16:32:30 +0000 2018
hunne2303,"@welt ""Regisseur""...fünftklassisches Filmchen über ein drittklassiges Ballerspiel (Quake) - wenn Oppa über Sachen labert von denen er absolut keinen Schimmer hat...und wenn man von 100kg auf 70 abspeckt stirbt man noch gaaaaanz lange nicht...Hypokrates Herzinger mal wieder",,Sat Aug 18 16:32:02 +0000 2018
IQuitSmoking_1,"RT @assaphmehr: Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the wo…","Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the works, countless hours researching ancient ghosts, and extensive editing - all for a beautiful that would make even Cicero quake!

https://t.co/IAt6pqnNLp https://t.co/v0IcKNfpC8",Sat Aug 18 16:30:35 +0000 2018
hotdogtours,Earth Quake. Did y’all feel it?,,Sat Aug 18 16:29:12 +0000 2018
MrGhoulsyt,RT @Quake: Quake Champions is now FREE TO PLAY! Get into the Arena on Steam or the https://t.co/VKFjPPCSFd Launcher! https://t.co/joyc5LWpUt,Quake Champions is now FREE TO PLAY! Get into the Arena on Steam or the https://t.co/VKFjPPCSFd Launcher! https://t.co/joyc5LWpUt,Sat Aug 18 16:28:47 +0000 2018
4Everanimalz1,"RT @EQAlerts: #Earthquake M3.2 7km NNW of Big Bear Lake, CA 10mins ago 18 Aug 16:02 UTC - report/info: 
https://t.co/REkvF3p4ru","#Earthquake M3.2 7km NNW of Big Bear Lake, CA 10mins ago 18 Aug 16:02 UTC - report/info: 
https://t.co/REkvF3p4ru",Sat Aug 18 16:28:42 +0000 2018
nanashimagalaxy,@katietiedrich Deep Freeze x Quake,,Sat Aug 18 16:27:26 +0000 2018
bdethicholas,Deadass home girl Lana didn’t even have act fainting cause I know if I were in her shoes just having Noah BREATHE IN MY FACE would make a girl quake,,Sat Aug 18 16:27:02 +0000 2018
peaceuponviolen,@RahulEaswar ..@b_kodiyeri arrogance shud b curtailed in asking Forces to act in co-ord with his cadres. Does anyone remember 26 Jan. 2001 Bhuj Quake in Gujarat?Modi took over immdtly after that&amp;he rebuilt the State. Seek advices &amp;guidelines from him for he has exp.&amp;2day he's PM.,,Sat Aug 18 16:26:47 +0000 2018
HoodieAK,"https://t.co/m4GIZA5Gu7

hey! gonna stream some hearthstone, maybe some minecraft and/or quake champions, lowkey

come hang out in chat here or in my menchies",,Sat Aug 18 16:25:04 +0000 2018
OasisMountain,"RT @EQAlerts: #Earthquake M3.2 7km NNW of Big Bear Lake, CA 10mins ago 18 Aug 16:02 UTC - report/info: 
https://t.co/REkvF3p4ru","#Earthquake M3.2 7km NNW of Big Bear Lake, CA 10mins ago 18 Aug 16:02 UTC - report/info: 
https://t.co/REkvF3p4ru",Sat Aug 18 16:24:56 +0000 2018
Hariiith_,"RT @ariesfagfoot: Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch","Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch",Sat Aug 18 16:24:54 +0000 2018
VitalAnon,"https://t.co/U1z79SFGAA
Earthquake Update: Deep 6.5M Quake Hits Indonesia, West Yellowstone and Alaska Activity https://t.co/0t7nUC6tDc",,Sat Aug 18 16:23:26 +0000 2018
ColoredCrow,@Nookager_ C'est pas mal du tout 3 ans de hype et de profit pour un studio qui faisait pas grand chose depuis quake si ça tient tout ce temps mine de rien,,Sat Aug 18 16:23:24 +0000 2018
iMediaDoctor,Insecure Quake stream idk: https://t.co/Jew4oy2rs7,,Sat Aug 18 16:22:04 +0000 2018
Willy_Trombone,#sabatfictionfest2018 #n64 #quake https://t.co/mH3U9c23av,,Sat Aug 18 16:21:09 +0000 2018
quake_n_bake,can someone explain to me why oxford got an arby’s but not a waffle house??,,Sat Aug 18 16:20:13 +0000 2018
RCN_YoitsGK,RT @_aeWinD: Wanted to show off the amazing Anniversary gift my love @Emmy_Autumn got me! ScaleBearer looks amazing on top of that @xidaxpc…,Wanted to show off the amazing Anniversary gift my love @Emmy_Autumn got me! ScaleBearer looks amazing on top of that @xidaxpcs rig! @Quake @DCDeacon @mortalemperor @tokyopunchout @OfficialTonyzoo @TimWillits @paradox_jin349 @AEBlessed @TipsyAssassin @RCN_YoitsGK @rocketjumpzone https://t.co/MKDXj2CGRT,Sat Aug 18 16:20:04 +0000 2018
Ganjinekeyhani,"RT @HerryRodin: Lombok #earthquake: As of August 15, at least 460 deaths and 7,773 injuries as a result of the quake. 71,962 buildings were…","Lombok #earthquake: As of August 15, at least 460 deaths and 7,773 injuries as a result of the quake. 71,962 buildings were damaged and 417,529 of people fled their homes. Please support the Indonesian Red Cross @palangmerah 🙏🏻 https://t.co/MyMHFmUNoA #Indonesia",Sat Aug 18 16:20:00 +0000 2018
RCN_YoitsGK,@_aeWinD @Emmy_Autumn @xidaxpcs @Quake @DCDeacon @mortalemperor @tokyopunchout @OfficialTonyzoo @TimWillits @paradox_jin349 @AEBlessed @TipsyAssassin @rocketjumpzone Is there a CD with it?,,Sat Aug 18 16:19:56 +0000 2018
one_man_gangg,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 16:19:48 +0000 2018
GalexiaBand,RT @_aeWinD: Wanted to show off the amazing Anniversary gift my love @Emmy_Autumn got me! ScaleBearer looks amazing on top of that @xidaxpc…,Wanted to show off the amazing Anniversary gift my love @Emmy_Autumn got me! ScaleBearer looks amazing on top of that @xidaxpcs rig! @Quake @DCDeacon @mortalemperor @tokyopunchout @OfficialTonyzoo @TimWillits @paradox_jin349 @AEBlessed @TipsyAssassin @RCN_YoitsGK @rocketjumpzone https://t.co/MKDXj2CGRT,Sat Aug 18 16:19:15 +0000 2018
davidlcraddock,"I joined @ARGpodcast co-host and fellow writer-in-arms David Giltinan to talk about Rocket Jump, Quake, and other FPS games from the '90s. You can listen here: https://t.co/9A5AfB0Cz0 @unbounders",,Sat Aug 18 16:19:00 +0000 2018
_aeWinD,Wanted to show off the amazing Anniversary gift my love @Emmy_Autumn got me! ScaleBearer looks amazing on top of that @xidaxpcs rig! @Quake @DCDeacon @mortalemperor @tokyopunchout @OfficialTonyzoo @TimWillits @paradox_jin349 @AEBlessed @TipsyAssassin @RCN_YoitsGK @rocketjumpzone https://t.co/MKDXj2CGRT,,Sat Aug 18 16:18:42 +0000 2018
RAFFIKYX,"Ayer me desvelé con el multiplayer de DOOM, no será la gran cosa, pero me recordó viejos y buenos tiempos del multiplayer de Halo 2, más rápido, aunque no tanto como Quake, así que creo que es un buen balance.
Eso sí, roto como su puta madre en varias cosas, pero está divertido.",,Sat Aug 18 16:18:42 +0000 2018
SemperFiHomes,4.4-magnitude quake strikes east of Temecula https://t.co/e4djDAN93N via @fox5sandiego,,Sat Aug 18 16:14:45 +0000 2018
Azeria_FR,"RT @Nykho_QC: Bon allez on y retourne @Quake_FR 
On va jouer contre une connaissance :D
@OservEsport 

https://t.co/ROn8i32pfx","Bon allez on y retourne @Quake_FR 
On va jouer contre une connaissance :D
@OservEsport 

https://t.co/ROn8i32pfx",Sat Aug 18 16:13:29 +0000 2018
EQAlerts,"#Earthquake M3.2 7km NNW of Big Bear Lake, CA 10mins ago 18 Aug 16:02 UTC - report/info: 
https://t.co/REkvF3p4ru",,Sat Aug 18 16:12:03 +0000 2018
GorillaTV_,Changing game over to Quake Champions https://t.co/tkrL820yX3,,Sat Aug 18 16:12:00 +0000 2018
HoodieAK,"boutt ready'a start a stream.

who down for hearthstone and maybe some quake?",,Sat Aug 18 16:11:16 +0000 2018
KaiyouScorp,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 16:10:12 +0000 2018
scotty_cool__,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 16:09:33 +0000 2018
scotty_cool__,Best Fanart ❤️ https://t.co/JDuxb5FGpl,,Sat Aug 18 16:09:28 +0000 2018
momosinosakura,"RT @zishinmimi: マグニチュード６超えの地震だ。
https://t.co/i92wD0Z9Co https://t.co/j93cGiDc8X","マグニチュード６超えの地震だ。
https://t.co/i92wD0Z9Co https://t.co/j93cGiDc8X",Sat Aug 18 16:08:13 +0000 2018
scotty_cool__,RT @Quake: Quake Champions is now FREE TO PLAY! Get into the Arena on Steam or the https://t.co/VKFjPPCSFd Launcher! https://t.co/joyc5LWpUt,Quake Champions is now FREE TO PLAY! Get into the Arena on Steam or the https://t.co/VKFjPPCSFd Launcher! https://t.co/joyc5LWpUt,Sat Aug 18 16:07:25 +0000 2018
girlnamedmaggie,RT @klov3rsux: I had so much fun in my Ranger cosplay at #Quakecon last weekend. Thanks for the shoutout on today’s stream @Quake ❤️ https:…,I had so much fun in my Ranger cosplay at #Quakecon last weekend. Thanks for the shoutout on today’s stream @Quake ❤️ https://t.co/ahu9eqf9H1,Sat Aug 18 16:06:32 +0000 2018
Quake_prospect,"#地震速報　#緊急地震速報
次の地域では地震に注意して下さい 01:04:24 震度0 北海道 標茶北 鶴居南 弟子屈 鶴居西 浦幌 鶴居東 本別 阿寒南 身の安全を確保し、火の始末を忘れず行なって下さい https://t.co/RIYyaH0ySf",,Sat Aug 18 16:05:23 +0000 2018
quake_0114_2,"【緊急地震速報】
揺れに注意してください。

     01:04:24 震度0 十勝 釧路 

※この情報はあくまで予測値です。実際の観測値とは異なる場合があります。

#地震 https://t.co/VncbdoAfxk",,Sat Aug 18 16:05:19 +0000 2018
huki_quake,"＞＞緊急地震速報＜＜(第5報)

01時04分07秒ごろ
釧路沖を震源とする
最大震度１の地震が発生。
震源の深さは、100km
規模は、M3.3と推定されます。",,Sat Aug 18 16:05:17 +0000 2018
huki_quake,"＞＞緊急地震速報＜＜(第4報)

01時04分07秒ごろ
釧路沖を震源とする
最大震度１の地震が発生。
震源の深さは、100km
規模は、M3.3と推定されます。",,Sat Aug 18 16:05:14 +0000 2018
huki_quake,"＞＞緊急地震速報＜＜(第3報)

01時04分07秒ごろ
釧路沖を震源とする
最大震度１の地震が発生。
震源の深さは、100km
規模は、M3.3と推定されます。",,Sat Aug 18 16:04:54 +0000 2018
quake_alert,平成３０年 ８月１９日０１時０４分５２秒 釧路沖 Ｍ３．３程度  北緯４２．６度 東経１４４．１度 深さ１００ｋｍ 最大震度 １程度 と推定,,Sat Aug 18 16:04:53 +0000 2018
94ThePro,"Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud https://t.co/NkXcx5swhz",,Sat Aug 18 16:04:42 +0000 2018
Quake_prospect,"#地震速報　#緊急地震速報
次の地域では地震に注意して下さい 01:04:31 [第2報] 釧路沖 M3.3 深さ 100km 最大震度1 身の安全を確保し、火の始末を忘れず行なって下さい",,Sat Aug 18 16:04:41 +0000 2018
Quake_prospect,"#地震速報　#緊急地震速報
次の地域では地震に注意して下さい 01:04:29 [第1報] 釧路沖 M3.5 深さ 100km 最大震度2 身の安全を確保し、火の始末を忘れず行なって下さい",,Sat Aug 18 16:04:36 +0000 2018
huki_quake,"＞＞緊急地震速報＜＜(第2報)

01時04分07秒ごろ
釧路沖を震源とする
最大震度１の地震が発生。
震源の深さは、100km
規模は、M3.3と推定されます。",,Sat Aug 18 16:04:34 +0000 2018
quake_0114_2,"【緊急地震速報】
揺れに注意してください。

     01:04:31 [第2報] 釧路沖 M3.3 深さ 100km 最大震度1 

※この情報はあくまで予測値です。実際の観測値とは異なる場合があります。

#地震",,Sat Aug 18 16:04:33 +0000 2018
huki_quake,"＞＞緊急地震速報＜＜(第1報)

01時04分07秒ごろ
釧路沖を震源とする
最大震度２の地震が発生。
震源の深さは、100km
規模は、M3.5と推定されます。",,Sat Aug 18 16:04:33 +0000 2018
quake_0114_2,"【緊急地震速報】
揺れに注意してください。

     01:04:29 [第1報] 釧路沖 M3.5 深さ 100km 最大震度2 

※この情報はあくまで予測値です。実際の観測値とは異なる場合があります。

#地震",,Sat Aug 18 16:04:31 +0000 2018
lesarossick,"RT @Frommers: Shut down for nearly two years, one of the world's great #rail journeys is back on track https://t.co/PMcctFRk5p https://t.co…","Shut down for nearly two years, one of the world's great #rail journeys is back on track https://t.co/PMcctFRk5p https://t.co/VrGyc1vLQN",Sat Aug 18 16:04:10 +0000 2018
HeniPersib33,RT @MesutOzil1088: Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. In…,Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. Including you beautiful people into my prayers 🙏🏽 https://t.co/yhg8XvPLvd,Sat Aug 18 16:03:56 +0000 2018
_Quake_ALiCE_,닼소하자 닼소,,Sat Aug 18 16:03:47 +0000 2018
_Quake_ALiCE_,@gang9904 위례에 있는 판브레드라고 하는 식당입니다- 체인점이라네요,,Sat Aug 18 16:03:37 +0000 2018
_iyliamaisarah,"RT @ariesfagfoot: Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch","Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch",Sat Aug 18 16:03:30 +0000 2018
john_wehrly,Deep Pockets HUNNIT ft. Chuchi Jones shot by @rozgoldg https://t.co/CG6JmcM7Cg via @YouTube jail coward beat the quake finger pointing grandstanding karin slaughter pretty girls,,Sat Aug 18 16:03:11 +0000 2018
gang9904,@_Quake_ALiCE_ 오오 분위기 엄청 좋네요!!,,Sat Aug 18 16:03:05 +0000 2018
