yanisbojo,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:13:26 +0000 2018
UncrcU,RT @RepJoeKennedy: Words of remorse and prayers of repentance fail to match the urgency of a crisis housed within and covered up by the Cat…,Words of remorse and prayers of repentance fail to match the urgency of a crisis housed within and covered up by the Catholic Church. Those responsible &amp; those who turned a blind eye to abuse must be held accountable for their crimes. https://t.co/cKPTLRO27x,Sat Aug 18 20:03:56 +0000 2018
cathedral_fred,A sad day and prayers continue https://t.co/Y3xtjoOSe1,,Sat Aug 18 20:03:51 +0000 2018
FadiJakart,"RT @ThatBloke_Jesus: Please send all thoughts and prayers to 

No_reply@jesus.com","Please send all thoughts and prayers to 

No_reply@jesus.com",Sat Aug 18 20:03:51 +0000 2018
Anshu1998Singh,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:03:50 +0000 2018
CadyIsAwkward,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:03:49 +0000 2018
cristhyanaGlAS,"RT @IAmAlanWalker: I’m left speechless. You’ve been an idol and inspiration to both myself and countless others, and your music and legacy…","I’m left speechless. You’ve been an idol and inspiration to both myself and countless others, and your music and legacy will continue to live on. Thoughts and prayers to your family and loved ones. Rest in peace, @avicii. And to everyone reading this, take care of each other. https://t.co/ZvVDDeIrO5",Sat Aug 18 20:03:47 +0000 2018
skimranmondal5,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:03:46 +0000 2018
1shawnster,@kittylabrava thanks :) All prayers are heard for sure :),,Sat Aug 18 20:03:44 +0000 2018
maricelapinon91,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:03:44 +0000 2018
GuruLeaks,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:03:42 +0000 2018
burrow9,"RT @JustinWelby: Kofi Annan set an example of reconciliation, leadership, integrity and service, underpinned by deep Christian faith. We re…","Kofi Annan set an example of reconciliation, leadership, integrity and service, underpinned by deep Christian faith. We remember him in prayers of great gratitude. 

“Blessed are the peacemakers, for they shall be called children of God.” (Matthew 5:9)",Sat Aug 18 20:03:42 +0000 2018
BOYCEE78647201,My prayers every day make God give me life Maker on die Young https://t.co/PCk9aFW3jZ,,Sat Aug 18 20:03:42 +0000 2018
MadddWWWorld,@RawStory Thoughts and prayers and a MAGA hat.,,Sat Aug 18 20:03:41 +0000 2018
TheDejiBalogun,RT @AmeerSaadR: Saying my last prayers https://t.co/PsbpOcXGvo,Saying my last prayers https://t.co/PsbpOcXGvo,Sat Aug 18 20:03:39 +0000 2018
Paru_bala,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:03:38 +0000 2018
3dancelover,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:03:38 +0000 2018
brittttttianyy,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:03:36 +0000 2018
RkSQd0oqvg9s3G3,"RT @HolyKaaba: This is one of the well- known prayers when seeing the Ka’aba, so answer our prayers, O Allah.
#HajjDuaa
#HolyKaaba 🕋 https:…","This is one of the well- known prayers when seeing the Ka’aba, so answer our prayers, O Allah.
#HajjDuaa
#HolyKaaba 🕋 https://t.co/QZf5vWwmXk",Sat Aug 18 20:03:36 +0000 2018
Galaxis_Kitten,RT @_juandering: @AmedoShair @BelAkinyii @Sam_Lulli @MuthuiMkenya @KinyanBoy @EngnrDan @Nyamwanda @scheafferoo @Asmali77 @WehliyeMohamed @H…,@AmedoShair @BelAkinyii @Sam_Lulli @MuthuiMkenya @KinyanBoy @EngnrDan @Nyamwanda @scheafferoo @Asmali77 @WehliyeMohamed @HonAdanKeynan this breaks my heart 😢 our thoughts and prayers are with you. get well soon,Sat Aug 18 20:03:35 +0000 2018
Afzaalchaudhry,"RT @_GhulamMustafa_: PM Imran Khan. If breaking down established political order was a Herculean task, governing Pakistan is 💯 times more c…","PM Imran Khan. If breaking down established political order was a Herculean task, governing Pakistan is 💯 times more challenging. But that’s why we elected you. Failure isn’t an option. You have to succeed. Our prayers and support with you. May Allah be with you #PrimeMinisterIK https://t.co/waxWcaZBnq",Sat Aug 18 20:03:33 +0000 2018
heyace_family,@AustinMcbroom Hope you guys are doing better. Y'all in my prayers. God bless you and your beautiful family. ❤❤,,Sat Aug 18 20:03:32 +0000 2018
UNLVRebelGrl,sending prayers &amp; healing energy his way https://t.co/u99evSxsa9,,Sat Aug 18 20:03:31 +0000 2018
Vignesh26298,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:03:30 +0000 2018
IamSakay,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:03:30 +0000 2018
aidamadrid200,"RT @TalhaCelik: Thanks for your support and prayers brother @naseemk2 and all brothers and sisters in #Pakistan. 
Especially to #Pakistan’s…","Thanks for your support and prayers brother @naseemk2 and all brothers and sisters in #Pakistan. 
Especially to #Pakistan’s Prime Minister @ImranKhanPTI .
🇹🇷 🇵🇰 
#Turkey, #IslamicUnion countries and all peacemaker countries will unite against #global #gladio #usa #israel #uk https://t.co/d1XCivhKtf",Sat Aug 18 20:03:29 +0000 2018
KotaBr00ke,RT @daniellaav__: Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Sat Aug 18 20:03:28 +0000 2018
Galaxis_Kitten,RT @chumbacowboy: @AmedoShair @SokoAnalyst @BelAkinyii @Sam_Lulli @MuthuiMkenya @KinyanBoy @EngnrDan @Nyamwanda @scheafferoo @Asmali77 @Weh…,@AmedoShair @SokoAnalyst @BelAkinyii @Sam_Lulli @MuthuiMkenya @KinyanBoy @EngnrDan @Nyamwanda @scheafferoo @Asmali77 @WehliyeMohamed @HonAdanKeynan My sincere prayers to those little angels. In God’s name you are all going to get back to your normal health soon. Amen!,Sat Aug 18 20:03:28 +0000 2018
_mudEEEE,"RT @Waspapping_: A boy of 21 years of age in my street committed suicide yesterday night, because his family was trying to separate him wit…","A boy of 21 years of age in my street committed suicide yesterday night, because his family was trying to separate him with a girl he's madly in love with

I know all about the implications of suicide but please put him in your prayers.",Sat Aug 18 20:03:17 +0000 2018
Additude8,@whydontwemusic My prayers have been answered!,,Sat Aug 18 20:03:16 +0000 2018
Joviniens_cb,RT @edwardlowassatz: I'm saddened and shocked by the immediate passing of our brother Koffi Annan; he was one of the world’s renowned peace…,"I'm saddened and shocked by the immediate passing of our brother Koffi Annan; he was one of the world’s renowned peace advocate, my heart and prayers goes out to his family, the people of Ghana and all of us touched by his passing.

May his soul rest in peace.
#RIPKofiAnnan",Sat Aug 18 20:03:16 +0000 2018
V12_chasin,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:03:06 +0000 2018
CavalrySafeer,"RT @ShehzadRoy: Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually mak…","Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually make it come true. We are all expecting a lot . All our prayers are with you @ImranKhanPTI https://t.co/nXDA2H0wxH",Sat Aug 18 20:03:05 +0000 2018
Timi1776,RT @HEDankwambo: So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate f…,"So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate for peace. He will forever be remembered for his immense contributions to the advancement of humanity. 
My thoughts and prayers are with the family. https://t.co/rxUUufymj4",Sat Aug 18 20:03:01 +0000 2018
_JulianMontalvo,RT @MWD_News: It’s with great sadness that we share the news of the passing of retired TEDD MWD Free (R606). Our thoughts and prayers are w…,It’s with great sadness that we share the news of the passing of retired TEDD MWD Free (R606). Our thoughts and prayers are with his handler Michael and Michael's wife Tina. We are thankful that Free was able to live out the last 2 years of his retirement with Michael and Tina. https://t.co/CArSPKHdxb,Sat Aug 18 20:03:00 +0000 2018
NatashaRaylynne,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:03:00 +0000 2018
AJShafquat,"RT @imran_sidra: Lots of prayers and best wishes to my mentor, the person inspires me to do good, be honest and stay humble. 

Sir @Asad_Um…","Lots of prayers and best wishes to my mentor, the person inspires me to do good, be honest and stay humble. 

Sir @Asad_Umar - Pakistan's Finance Minister .
 #TheEconomicSuperman
#PakistanZindabad https://t.co/AoMwexyrNn",Sat Aug 18 20:02:59 +0000 2018
thegreatjazzz,"RT @tamararenaye: Good morning. Say your prayers, be grateful, and feed your spirit with good and positive things.","Good morning. Say your prayers, be grateful, and feed your spirit with good and positive things.",Sat Aug 18 20:02:58 +0000 2018
HoodieCatt,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:02:58 +0000 2018
suhcaylen,And Elle I'm so sorry you had to go through that too 😭 you are in my prayers as well love you guys a lot 💙💙,,Sat Aug 18 20:02:58 +0000 2018
AbdulShakur41,"RT @islamicstrength: May Allah bless you with infinite happiness, fulfil all your dreams, aspirations &amp; prayers. May He build a home for yo…","May Allah bless you with infinite happiness, fulfil all your dreams, aspirations &amp; prayers. May He build a home for you in Jannatul Firdaws",Sat Aug 18 20:02:58 +0000 2018
lukebutler0,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:02:57 +0000 2018
Sathishlingu,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:02:57 +0000 2018
nickelbaka,@yugiohtas Thoughts and prayers 😭🙏🙏,,Sat Aug 18 20:02:57 +0000 2018
STATY10,"RT @_ashleybrionne_: Sis, you’re next.... unexpected blessings, breakthroughs, manifestations, answered prayers, and overflow has YOUR NAME…","Sis, you’re next.... unexpected blessings, breakthroughs, manifestations, answered prayers, and overflow has YOUR NAME ON IT!! Don’t give up yet 🙏🏽",Sat Aug 18 20:02:57 +0000 2018
bbbitchx,"RT @MeganInNoDak: Ladies... get in formation &amp; do your prayers, rituals, &amp; blood sacrifices for Scottie. #BB20 https://t.co/IXWh3zRCVY","Ladies... get in formation &amp; do your prayers, rituals, &amp; blood sacrifices for Scottie. #BB20 https://t.co/IXWh3zRCVY",Sat Aug 18 20:02:56 +0000 2018
Emy_DTZ,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:02:54 +0000 2018
tosinsteph,"RT @yimikz: My friend Nathaniel (Bolu) has been going through a very difficult time.

He needs our love, support and prayers. 

Please supp…","My friend Nathaniel (Bolu) has been going through a very difficult time.

He needs our love, support and prayers. 

Please support and RT
#HelpSaveNathaniel https://t.co/fMl2iVRwrK",Sat Aug 18 20:02:54 +0000 2018
sigzamill1234,@PanchoBilla1 Prayers man,,Sat Aug 18 20:02:54 +0000 2018
dosageofgem_,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:02:54 +0000 2018
ArunTha04610100,"RT @vijay_sampla: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! 
 #KeralaFloods https://t.co/7QM…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! 
 #KeralaFloods https://t.co/7QM24wsksi",Sat Aug 18 20:02:52 +0000 2018
DanGHolt,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:02:51 +0000 2018
srikanthac,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:02:51 +0000 2018
bsai9999,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:02:51 +0000 2018
ihateussy_G,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:02:50 +0000 2018
michaelsik10,Prayers for my mom,,Sat Aug 18 20:02:49 +0000 2018
sophiehart22,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:02:48 +0000 2018
Chandler_E_F,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:02:48 +0000 2018
sigzamill1234,"RT @PanchoBilla1: Welp, didnt make it through the night at home &amp; I NEVER LEAVE A BILLS GAME EARLY. Been a long night. At hospital for prec…","Welp, didnt make it through the night at home &amp; I NEVER LEAVE A BILLS GAME EARLY. Been a long night. At hospital for precutionary reasons of infection after chemo. Tests being done. Prayers amigos. Mucho Buffalove. #PanchoPower",Sat Aug 18 20:02:47 +0000 2018
imran9697,"RT @ImamRezaEN: Imam Sadiq (AS)  ""Never miss midnight prayers, because, in fact, the real loser is he who misses (the advantage of) the mid…","Imam Sadiq (AS)  ""Never miss midnight prayers, because, in fact, the real loser is he who misses (the advantage of) the midnight prayer.""

Bihar-ul-Anwar, vol. 83, p. 127 https://t.co/DCGyqMWSwL",Sat Aug 18 20:02:47 +0000 2018
CACEAfrica,"RT @kizzabesigye1: Today, we visited Hon Francis Zaake at Lubaga Hospital, where he was dumped by unknown (Security) people, having grabbed…","Today, we visited Hon Francis Zaake at Lubaga Hospital, where he was dumped by unknown (Security) people, having grabbed him in Uganda's West Nile town of Arua. 

He remains in a critical condition tho doctors told us he's slowly stabilizing. We'll keep him in our prayers. https://t.co/Xit6R8FGG2",Sat Aug 18 20:02:47 +0000 2018
Im_ravi10,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:02:46 +0000 2018
howruimfineru,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:02:46 +0000 2018
thejgravitt,I'm starting to study the Hebrew language today. Prayers appreciated.,,Sat Aug 18 20:02:43 +0000 2018
gallimaufrey777,RT @Sadgrovem: “Muslims are taught that only three things remain of a person after they are gone: an ongoing act of charity; knowledge from…,“Muslims are taught that only three things remain of a person after they are gone: an ongoing act of charity; knowledge from which others benefit; &amp; the prayers of a righteous child.” Impressive interview with ⁦@MishalHusainBBC⁩.  https://t.co/iMCddN7lGI,Sat Aug 18 20:02:43 +0000 2018
jojofrye3,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:02:43 +0000 2018
avanikac58,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:02:42 +0000 2018
ButcherBearSzab,@ASJBaloch Prayers for her. May god bless,,Sat Aug 18 20:02:41 +0000 2018
Killaprince111,"RT @CampusLifeCUNG: Bolu is one of ours , let’s join hands with whatever we have to #HelpSaveNathaniel . Doesn’t matter how much or how lit…","Bolu is one of ours , let’s join hands with whatever we have to #HelpSaveNathaniel . Doesn’t matter how much or how little you have , make your donations and keep him in your prayers. May God bless you 🙏🏿🙏🏽 #CampuslifeCU https://t.co/i0tJYuh5Se",Sat Aug 18 20:02:40 +0000 2018
kathydiz11,@stacyreynolds68 @bedevilme666 Amen!  Pray - God is listening &amp; answering our prayers to SAVE AMERICA! We are stronger together-STAND UNITED. #MAGA #KAG #IStandWithTrump 100%  #VoteDemsOut #VoteRED #PatriotsEffectingChange #StandTogether,,Sat Aug 18 20:02:38 +0000 2018
alameriss,"❤Allah Sees Your Attempts To Get Up After Every Tumble❤
❤And He Hears Your Quiet Prayers❤
❤And He Carefully Hears Your Heart's Plee❤
❤Do Not Stop❤
❤Since Allah Is That Close To You❤ https://t.co/uadMsAqHuN",,Sat Aug 18 20:02:37 +0000 2018
pushandpulljlm,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 20:02:29 +0000 2018
Sarita53970578,RT @yadavakhilesh: Our thoughts and prayers for those whose lives were lost in the devastating Kerala floods. Let’s collectively dedicate o…,"Our thoughts and prayers for those whose lives were lost in the devastating Kerala floods. Let’s collectively dedicate ourselves towards relief, recovery, and long term reconstruction assistance for the tens of thousands of displaced and impacted Keralites. #UPforKerala",Sat Aug 18 20:02:27 +0000 2018
mas_Brunos,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:02:26 +0000 2018
YourGurlDaYana,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:02:25 +0000 2018
summerhawa,RT @al1yuh: ya allah how many rakaat of prayers do i need to do to have a face like this https://t.co/qa6qJzEblD,ya allah how many rakaat of prayers do i need to do to have a face like this https://t.co/qa6qJzEblD,Sat Aug 18 20:02:25 +0000 2018
Thebeegdaddy,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:02:24 +0000 2018
spanishdollJae,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:02:22 +0000 2018
Henderso9Kallie,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:02:21 +0000 2018
jfoliver123,We left our Max at Georgia Tech this weekend.  Then we celebrated with a Braves game! Please keep him in your thoughts and prayers as he starts his journey at Tech. #gt2022 @ Georgia Tech https://t.co/0tOnyCsdBm,,Sat Aug 18 20:02:20 +0000 2018
ProphetessSD,"Let's lift up our Brothers &amp; Sisters in #India. They are in dire need of our #PRAYERS.🙏🏽 Until we know how we can help in other ways, prayer IS our action...and it is just as powerful as any action &amp; more. Don't discount what GOD can do--reach heaven.
https://t.co/WQvG2vbdNA",,Sat Aug 18 20:02:15 +0000 2018
OneMangryGamer,@FilipK09 @BLUEROBLX @RobloxRTer @RTRblxBot I hope your grandma is ok... prayers coming for you🙏,,Sat Aug 18 20:02:15 +0000 2018
_princess_felo,RT @mO_Moremi: May our prayers be answered https://t.co/6iQuCOGROa,May our prayers be answered https://t.co/6iQuCOGROa,Sat Aug 18 20:02:14 +0000 2018
Angie_305e,@AustinMcbroom just finished watching all ur lives I cant believe people fucking think this shit is fake like wtf!?Anyways I'm sending prayers 4 ur family!And just wait til you get your new house you would start something new&amp;feel safe❤~Angie  #supportACEFAM 💪🏽@CatherinePaiz,,Sat Aug 18 20:02:14 +0000 2018
sSPrincessSs,"@CatherinePaiz I know that now may be a trying time for both you and your family, just know that you’re in my prayers and that God doesn’t sleep. You guys are blessed in more ways than one and everything will work out in your favor. Lots of love♥️",,Sat Aug 18 20:02:12 +0000 2018
I_Cheenasa,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:02:10 +0000 2018
irwinsbackseat,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:02:10 +0000 2018
ImranUsafzai,"RT @ShehzadRoy: Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually mak…","Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually make it come true. We are all expecting a lot . All our prayers are with you @ImranKhanPTI https://t.co/nXDA2H0wxH",Sat Aug 18 20:02:07 +0000 2018
Sree_JithPG,"RT @GautamGambhir: My heart goes out to all those suffering due to #KeralaFloods, i hope and pray that God lends strength to those doing th…","My heart goes out to all those suffering due to #KeralaFloods, i hope and pray that God lends strength to those doing the relief work. They are our real heroes. My prayers are with you all.",Sat Aug 18 20:02:03 +0000 2018
Christian_P3rry,RT @FootballPrideGC: It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our…,It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our brother @BIGWEBBER_. He lost his sister this week in a tragic accident. We ask that your thoughts and prayers be with him and his family. #ForFaith https://t.co/ufLEiilGjP,Sat Aug 18 20:02:02 +0000 2018
khanu88,"RT @ShehzadRoy: Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually mak…","Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually make it come true. We are all expecting a lot . All our prayers are with you @ImranKhanPTI https://t.co/nXDA2H0wxH",Sat Aug 18 20:02:01 +0000 2018
leahaddri,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:01:59 +0000 2018
Cyounger3_,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:01:57 +0000 2018
OliverSmithnig2,"RT @JerusalemBold: My heart goes out to Kerala, #India where I spent a month in 1978
Sending prayers from your small ally - Jerusalem, #Isr…","My heart goes out to Kerala, #India where I spent a month in 1978
Sending prayers from your small ally - Jerusalem, #Israel
The Indian people welcomed Jews and kept them safe for over 1,000 years!
🇮🇳🇮🇳🇮🇳🇮🇱🇮🇱🇮🇱 https://t.co/BXSsK8WBu4",Sat Aug 18 20:01:55 +0000 2018
GhaisasRohit,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:01:55 +0000 2018
JyotiSNK,RT @Chopdasaab: Who needs prayers when we have payers... https://t.co/XIX8d93wO8,Who needs prayers when we have payers... https://t.co/XIX8d93wO8,Sat Aug 18 20:01:54 +0000 2018
MHamdan7224,"RT @ShehzadRoy: Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually mak…","Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually make it come true. We are all expecting a lot . All our prayers are with you @ImranKhanPTI https://t.co/nXDA2H0wxH",Sat Aug 18 20:01:52 +0000 2018
lindsey_Asutton,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:01:51 +0000 2018
