SalahMmoustafa,"No thoughts no prayers can bring back what’s no longer there 
 https://t.co/FL27f3RRLE",,Sun Aug 19 00:19:13 +0000 2018
StarCoreOne02,"RT @KurtSchlichter: Thanks. Mom is still in the hospital. She's sleeping at the moment. We think we have a handle on things, but we'll see.…","Thanks. Mom is still in the hospital. She's sleeping at the moment. We think we have a handle on things, but we'll see. She could still use your thoughts and prayers. Thanks for those already sent! https://t.co/faIQtABH4E",Sat Aug 18 22:46:40 +0000 2018
BrianMarette,@j_buccanero Thoughts and prayers,,Sat Aug 18 22:46:27 +0000 2018
intangi46692196,@UN @KofiAnnan @antonioguterres Prayers go up and blessings come down. This will always be Kofi in our hearts. Thoughts &amp; prayers with you all.,,Sat Aug 18 22:46:04 +0000 2018
baddieju,RT @Essence: Our thoughts and prayers are with the family and friends of Kofi Annan during this difficult time: https://t.co/7tFi4eTF7V,Our thoughts and prayers are with the family and friends of Kofi Annan during this difficult time: https://t.co/7tFi4eTF7V,Sat Aug 18 22:45:51 +0000 2018
saravind24,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:45:41 +0000 2018
ErikZarins,@BMSupdates @NRA Thoughts and prayers to their financial woes #FuckTheNRA,,Sat Aug 18 22:45:18 +0000 2018
TeresaSfsumom,"#BeforeSummerEnds I'm going swimming with my son &amp; his lady for the first time. (Maybe last, I'm terminal.) I accept all thoughts, prayers, good vibes &amp; juju that you send my way. Thanks.💗",,Sat Aug 18 22:44:42 +0000 2018
mattsun75,"RT @RFSCommissioner: #NSWRFS mourns tragic loss of Allan Tull 'Tully' (photo R)
Highly respected valued &amp; much loved Sydney Helicopters fir…","#NSWRFS mourns tragic loss of Allan Tull 'Tully' (photo R)
Highly respected valued &amp; much loved Sydney Helicopters firefighting pilot
Crews on scene couldn't save Tully despite best efforts
Thoughts &amp; prayers with family friends colleagues &amp; all affected
Photo - John Hanscombe https://t.co/lR8ejBZdax",Sat Aug 18 22:44:29 +0000 2018
TeresaCarmelite,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sat Aug 18 22:44:05 +0000 2018
JamesClah,"@simonamangiante Try to sell lemonade and MAGA hats - that's where you can make money..
"" Thoughts and Prayers ""
😂😂😂",,Sat Aug 18 22:44:04 +0000 2018
skg31skg,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:44:04 +0000 2018
ThinkPrayForUS,Offering thoughts and prayers for #Ashland #Wisconsin - #PrayForAshland,,Sat Aug 18 22:43:52 +0000 2018
Blairiswinning,Keep @D_Blooo &amp; I in ur thoughts &amp; prayers,,Sat Aug 18 22:43:41 +0000 2018
BigKev_np,RT @WTF_OS: That's what a quarter looks like when it's fully lodged in a child's throat. Something I never want to see again. Appreciate al…,"That's what a quarter looks like when it's fully lodged in a child's throat. Something I never want to see again. Appreciate all my Twitter fam for the thoughts and prayers. After 30 hrs straight, I'm off to bed. Appreciate you all! https://t.co/7r4WfiGij6",Sat Aug 18 22:43:16 +0000 2018
SdrRk2,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 22:43:08 +0000 2018
1BanksOfficial,RT @CamillaDestiny: RIP to @KofiAnnan a wonderful man who I had the pleasure of having some interesting conversations with and learning fro…,RIP to @KofiAnnan a wonderful man who I had the pleasure of having some interesting conversations with and learning from. Thoughts and prayers going out to his family and loved ones ❤️,Sat Aug 18 22:43:04 +0000 2018
4410f68bf4b84ad,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 22:42:37 +0000 2018
atoyebi_latyf,RT @HEDankwambo: So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate f…,"So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate for peace. He will forever be remembered for his immense contributions to the advancement of humanity. 
My thoughts and prayers are with the family. https://t.co/rxUUufymj4",Sat Aug 18 22:42:25 +0000 2018
Wasco_Leo,@UWonSBN Oh yeah thoughts and prayers to Bama on their thin roster issue,,Sat Aug 18 22:42:23 +0000 2018
MichaelFarrer92,"@KennyMc1985 @barclayscenter Sorry Kenny, in America you don’t get help. Instead I’m sending you thoughts and prayers.",,Sat Aug 18 22:42:15 +0000 2018
ussy_01,RT @HEDankwambo: So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate f…,"So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate for peace. He will forever be remembered for his immense contributions to the advancement of humanity. 
My thoughts and prayers are with the family. https://t.co/rxUUufymj4",Sat Aug 18 22:42:02 +0000 2018
LoloDoringo,"@heyitsdeserry You know what goes great with thoughts and prayers?

Studying.

And beer 🍺",,Sat Aug 18 22:41:25 +0000 2018
sudharsun373,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:41:10 +0000 2018
PippiTheCat1,@JenAshleyWright Thoughts and prayers.,,Sat Aug 18 22:40:58 +0000 2018
nohwarashish,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:40:53 +0000 2018
LynxXAU,"RT @ImYungChubz: When you are struggling, whether it is mentally or otherwise. The worst thing you can do is lie to yourself, thinking that…","When you are struggling, whether it is mentally or otherwise. The worst thing you can do is lie to yourself, thinking that eventually something will go your way or someone will come and help you. You may as well post on twitter that 'your thoughts and prayers go out to yourself'",Sat Aug 18 22:40:49 +0000 2018
Perman0420,@MissCaliCarter @CrAzYhAwK121 I am really sorry to hear about your mom.  I lost my mom last year in June.  Thoughts and prayers for you and your family.,,Sat Aug 18 22:39:52 +0000 2018
theDailyFare,"Good news!! Monte got to go home to Syracuse today just like he wanted! Thank you all for the texts, calls, thoughts, prayers, well-wishes, words of encouragement, reminders of truth, and… https://t.co/CyKqsXxYe2",,Sat Aug 18 22:39:44 +0000 2018
okonscoutnews,RT @getbuckets_chi: Get Buckets Chicago sends our deepest condolences to everyone effected by this unimaginable tragedy. Keep the Cougars i…,Get Buckets Chicago sends our deepest condolences to everyone effected by this unimaginable tragedy. Keep the Cougars in your thoughts and prayers. https://t.co/1jEUp2oRAs,Sat Aug 18 22:39:40 +0000 2018
getbuckets_chi,Get Buckets Chicago sends our deepest condolences to everyone effected by this unimaginable tragedy. Keep the Cougars in your thoughts and prayers. https://t.co/1jEUp2oRAs,,Sat Aug 18 22:39:21 +0000 2018
Eric_Adam10,@jonrones @Braves My thoughts and prayers to Lakelynn and Craydenn,,Sat Aug 18 22:39:17 +0000 2018
tyler_sellers2,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 22:38:58 +0000 2018
wesing4blue,RT @UnarmedTeacher: BREAKING: 8 More accomplices identified in Texas school shooting #SantaFe  https://t.co/b9n8ZS0QUr,BREAKING: 8 More accomplices identified in Texas school shooting #SantaFe  https://t.co/b9n8ZS0QUr,Sat Aug 18 22:38:32 +0000 2018
FriendsNEfinest,"Thank you for your service, Sergeant Fischer. Our thoughts and prayers are with your loved ones and @madisonpolice https://t.co/1Cz8vnK4jd",,Sat Aug 18 22:38:16 +0000 2018
Lamb123V,@MissingPetsGB @bellabarr4 So sorry to hear this sad news! My thoughts &amp; prayers go out to Christopher’s family! 💔🙏🏼💘,,Sat Aug 18 22:38:06 +0000 2018
GregBayers,RT @HRPMountedUnit: Our thoughts and prayers are with the CPS officer and the CPS family. https://t.co/3x09G2ZYgO,Our thoughts and prayers are with the CPS officer and the CPS family. https://t.co/3x09G2ZYgO,Sat Aug 18 22:37:17 +0000 2018
Vijaymohanred13,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 22:37:17 +0000 2018
bama_drew85,Thoughts and prayers to @10AJMcCarron it is all part of the plan. Wishing you a fast recovery.,,Sat Aug 18 22:37:05 +0000 2018
JaceLGalloway,Thoughts and prayers!! https://t.co/HLnwpx34x6,,Sat Aug 18 22:36:59 +0000 2018
NateDawgUga,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 22:36:50 +0000 2018
JaceLGalloway,@THR Thoughts and prayers!,,Sat Aug 18 22:36:48 +0000 2018
HKhaang,@mcspocky @IronSharky @HugsEtc @garthworld Reported and blocked.  Your wife is very brave and very beautiful 💜.  Will keep you both in my thoughts and prayers 🙏💕✨.,,Sat Aug 18 22:36:42 +0000 2018
Ahmad_Deoria,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:36:16 +0000 2018
n00bleblood,i don’t need your thoughts and prayers if they’re not in cash,,Sat Aug 18 22:36:14 +0000 2018
phenomenal_mess,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 22:35:57 +0000 2018
maddyjw_,RT @FootballPrideGC: It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our…,It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our brother @BIGWEBBER_. He lost his sister this week in a tragic accident. We ask that your thoughts and prayers be with him and his family. #ForFaith https://t.co/ufLEiilGjP,Sat Aug 18 22:35:45 +0000 2018
damartin1906,@TenilleDashwood So sorry that you're dealing with this. Know that you are loved and are in our thoughts and prayers.  ❤,,Sat Aug 18 22:35:28 +0000 2018
BlknBrwny,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 22:35:25 +0000 2018
Kswan55,"@NPR ""Disheartening""? That's the word that comes to mind to the priest interviewed? How about ""disgusted"" ""Revolted"" ""enraged""??? So sick of the parsing of words by these ""holy men"" and their offering of ""thoughts and prayers"" What would Jesus say and do? My guess is not as the Church",,Sat Aug 18 22:35:16 +0000 2018
dmontano030,"RT @dmontano030: Southern states among hardest hit by China tariffs
https://t.co/UKwzK33V7e Call it what it is trumpers red states. Serves…","Southern states among hardest hit by China tariffs
https://t.co/UKwzK33V7e Call it what it is trumpers red states. Serves you all right for voting for trump. Thoughts and prayers",Sat Aug 18 22:35:14 +0000 2018
SpooLove,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sat Aug 18 22:35:00 +0000 2018
kombiz,@outlandishjosh Thoughts and prayers,,Sat Aug 18 22:34:57 +0000 2018
Tre11161977,@CatherinePaiz I'm here for you and your family! My thoughts and prayers are with you and your family through this horrible time! I will continue to keep praying for your family to stay! I love you guys you have helped me through alot of my anxiety. I ask God to keep watch over your family 🙏,,Sat Aug 18 22:34:56 +0000 2018
ComradeNas,My thoughts and prayers are with the family. https://t.co/sf3vvlV8iG,,Sat Aug 18 22:34:54 +0000 2018
johnny_boy1029,@jaketapper @Scout_Finch Thoughts and prayers.,,Sat Aug 18 22:34:22 +0000 2018
infpmusing,@AWorldOutOfMind good news! I checked my stock and I have exactly 0 fucks to give. Plenty of thoughts and prayers though...,,Sat Aug 18 22:33:58 +0000 2018
stevenhitme,"@eyeballljuice you are in our thoughts and prayers.
We hope for your speedy recovery and your safety",,Sat Aug 18 22:33:56 +0000 2018
harsha_balasa,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 22:33:56 +0000 2018
NixonDman,@pt0kes Thoughts and prayers from my family to yours,,Sat Aug 18 22:33:52 +0000 2018
BobbyS2727,RT @taran_adarsh: The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficul…,The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficult times... #KeralaFloods #StandWithKerala #SupportKerala #PrayForKerala https://t.co/wnSqi7NOI6,Sat Aug 18 22:33:46 +0000 2018
KellyBezz,You both are in our thoughts and prayers!  Your service will never be forgotten!  😪 https://t.co/9g7TrGkJt6,,Sat Aug 18 22:33:27 +0000 2018
siby2joseph,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:33:17 +0000 2018
Eclesiastes3_1,RT @MrsStarEyes1: @zuzuspetalsz @M_Di_Leonardo @femme_plume @CupofJoe2go @shi_kent @KhuJay_Gh @Meb14Kr @Celeste8990vz @innescp8 @KpHeaney @…,"@zuzuspetalsz @M_Di_Leonardo @femme_plume @CupofJoe2go @shi_kent @KhuJay_Gh @Meb14Kr @Celeste8990vz @innescp8 @KpHeaney @Lesleyjass @itsbenwb @Han_inthemirror @RetailShaming @LolaLopezDubai @pastorescm @MSD_SGA @YouTube I'm so sorry to hear that, sending you loving thoughts and prayers😘. https://t.co/tHg0LSq9mK",Sat Aug 18 22:33:10 +0000 2018
dhonidharun1234,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:33:10 +0000 2018
prince_abhimani,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 22:33:09 +0000 2018
jagadeeshCR08,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:33:08 +0000 2018
MakaloMansa,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 22:32:36 +0000 2018
raghavims,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:32:35 +0000 2018
Gurpreetjhand,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:32:32 +0000 2018
sarah78paul,@Bethenny I’m so sorry for your loss. Your in my thoughts and prayers.❤️🙏🏼,,Sat Aug 18 22:32:18 +0000 2018
AkhilChennupati,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:31:33 +0000 2018
Jharperj1,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 22:31:30 +0000 2018
designartgal,RT @johnroysound: Thoughts and prayers for __________ . (Insert mass murder here). The tragedy is that nothing will be done. I’d vote for a…,"Thoughts and prayers for __________ . (Insert mass murder here). The tragedy is that nothing will be done. I’d vote for any legislation that helps curb this, if given the chance. I don’t want more innocent deaths- simple really https://t.co/XJ25dUAkhb",Sat Aug 18 22:31:21 +0000 2018
h_omran23,@Malakjassim_ My thoughts and prayers are with you. Be strong.,,Sat Aug 18 22:30:58 +0000 2018
Redrockrunner1,@zaknewf We are so sorry for your losses our thoughts and prayers are with you 🙏🏻🌸,,Sat Aug 18 22:30:49 +0000 2018
dac1361,"@WCCORosen I miss you Rosie... I pray all is well, and you are and yours are well. Thoughts and prayers, we miss you Rosie.",,Sat Aug 18 22:30:41 +0000 2018
JJaazzee1,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 22:30:25 +0000 2018
prasath_suriya,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 22:30:01 +0000 2018
aschinc,@kaylinkorte Our Family was heartbroken for you when we saw you injured during today’s match. You will be in our thoughts and we are sending you love and prayers. #ClemsonFamily,,Sat Aug 18 22:29:58 +0000 2018
LebaneJody,@DasherGuidedog Keep you in my thoughts and prayers!! 🙏,,Sat Aug 18 22:29:44 +0000 2018
ThinkPrayForUS,Offering thoughts and prayers for #KingsPark #NewYork - #PrayForKingsPark,,Sat Aug 18 22:28:51 +0000 2018
tretheking1,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 22:28:51 +0000 2018
PalaniVijay12,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:27:55 +0000 2018
Tower_Tramp,"RT @AndThenBenSaid: my best friend is watching a pregnancy video with his fiancée and im heading to a pig roast at a brewery, so please kee…","my best friend is watching a pregnancy video with his fiancée and im heading to a pig roast at a brewery, so please keep him in your thoughts and prayers as you go among your saturday evening. thank you all for your time",Sat Aug 18 22:27:34 +0000 2018
sue_suebooov,I am saddened by the news of yet another loss of a K9 officer. My thoughts and prayers go out the Family and Lincoln Parish Sheriffs Dept. XOXO #K9Baso https://t.co/5fYXT975Hq,,Sat Aug 18 22:27:33 +0000 2018
philrockuno,@MethuselahsB @thehill That meme doesn't pertain to the topic. I'd say stay stop deflecting but your shitbird leader is the quintessential source. You have no choice as a dumb sheep. Thoughts &amp; prayers.,,Sat Aug 18 22:27:32 +0000 2018
serrrrah,"prayers/positive thoughts/good vibes, whatever y’all believe in ... please send them my way. it’s currently looking like emergency surgery &amp; a bitch is scared",,Sat Aug 18 22:27:11 +0000 2018
tweetypie54,"Good nite everyone all over da world sending prayers,healing thoughts",,Sat Aug 18 22:26:12 +0000 2018
Flantastic4,"@shannonrwatts @Helloutofdodge @NRA @BetoORourke Let's be fair. I'm certain he sent ""thoughts and prayers"" along with the flag. He's not a total asshole.",,Sat Aug 18 22:26:03 +0000 2018
Xman_1482,@IamKrisLondon Did you fall on it? Run into the wall or anything? How'd that happen? I hope you heal up! Thoughts and prayers 🙏🙏,,Sat Aug 18 22:26:02 +0000 2018
nearnormal20,"@realDonaldTrump I doubt lawyers would agree with you. Donny, you’ve painted yourself into a tight corner &amp; you are caught. Thoughts &amp;  prayers, buddy, you’re gonna need them.  

Reminder: Donald Trump is the subject of multiple state and federal criminal investigations. Justice is coming",,Sat Aug 18 22:26:01 +0000 2018
im_arav27,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 22:26:01 +0000 2018
ravsta68,"RT @AdnanSamiLive: My thoughts and prayers are with #Kerala &amp; it’s beautiful people- My heart is with you... may God protect you...🙏♥️
#Ker…","My thoughts and prayers are with #Kerala &amp; it’s beautiful people- My heart is with you... may God protect you...🙏♥️
#KeralaFloods https://t.co/n92o3Vry6v",Sat Aug 18 22:26:00 +0000 2018
Myth_Free_Zone,"RT @RogueUSMint: When you hire a bunch of reality TV stars instead of career civil servants, you end up with #OmarosaTapes.

Thoughts and p…","When you hire a bunch of reality TV stars instead of career civil servants, you end up with #OmarosaTapes.

Thoughts and prayers!",Sat Aug 18 22:25:53 +0000 2018
nathanmapstone,RT @Baseball_ALX: Please keep the Smith Family in your thoughts and prayers. Keith Smith passed away this morning from his battle with canc…,Please keep the Smith Family in your thoughts and prayers. Keith Smith passed away this morning from his battle with cancer. We send our love and support to the Smith’s from the Alexander Baseball Family!!,Sat Aug 18 22:25:23 +0000 2018
Jimmytheworm,@spies_please Thoughts and prayers,,Sat Aug 18 22:25:20 +0000 2018
thalapathyrules,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:24:44 +0000 2018
onlyonejj22,RT @kristenm2185: Thoughts prayers and positive vibes @zeus1_34 you’ll put on for LBG keep your head up,Thoughts prayers and positive vibes @zeus1_34 you’ll put on for LBG keep your head up,Sat Aug 18 22:24:43 +0000 2018
spsri7,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:23:19 +0000 2018
mswsr828,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 22:22:55 +0000 2018
jclchiro,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 22:22:40 +0000 2018
kristenm2185,Thoughts prayers and positive vibes @zeus1_34 you’ll put on for LBG keep your head up,,Sat Aug 18 22:22:13 +0000 2018
selfunded,RT @robmagnacarta: @M_McCormackMP Your words are like thoughts and prayers offered after gun violence; they mean nothing without action. Yo…,"@M_McCormackMP Your words are like thoughts and prayers offered after gun violence; they mean nothing without action. You’re it, you’re in the big chair but you won’t talk mitigation of climate change. Just more hopes, prayers and resilience. We need leadership not photo ops #AusPol",Sat Aug 18 22:22:10 +0000 2018
Vicky90987990,@NatbyNature Thoughts and Prayers go out to the family and friends...We love ya...,,Sat Aug 18 22:21:56 +0000 2018
replicantpinky,@Jetjaguar67 I'm so sorry my friend. Such a beautiful baby. So sorry you all are going through this. My thoughts and prayers go out to you and your family. https://t.co/jyBHQhJ86v,,Sat Aug 18 22:21:49 +0000 2018
Kimgtrue2me,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 22:21:42 +0000 2018
sahabCE,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:21:02 +0000 2018
TomiBaird,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 22:21:00 +0000 2018
Nazeer95793091,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:20:50 +0000 2018
GU_VarsityClub,"RT @GonzagaBaseball: Calling all Zags! Ex-Zag Clayton Moretensen’s son Miles Mortensen and the entire Mortensen Family need our thoughts, p…","Calling all Zags! Ex-Zag Clayton Moretensen’s son Miles Mortensen and the entire Mortensen Family need our thoughts, prayers, and love during this very difficult time. 🙏🏻💙#letsgomiles https://t.co/oxherPYMvU",Sat Aug 18 22:20:44 +0000 2018
ASHOK1CH,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 22:20:43 +0000 2018
