ElkoDaily,"New fire south of Carlin burns 2,500-plus acres Thursday https://t.co/E1cpS8wpUT",,Fri Aug 24 04:48:09 +0000 2018
jftaveira1993,"The #HolyFire was at 22,700 acres early Monday with containment at 52 percent. Slightly cooler conditions helped firefighters who have been protecting lives and homes in the Lake Elsinore area for about a week. https://t.co/MZSY6gjKas #CaliforniaWildfires #California",,Mon Aug 13 16:18:53 +0000 2018
Hmill17,"RT @ianbremmer: Mendocino fire now the largest wildfire event in modern California history.

443 sq miles (~ the size of L.A.) and still gr…","Mendocino fire now the largest wildfire event in modern California history.

443 sq miles (~ the size of L.A.) and still growing. https://t.co/0r7Crcik65",Fri Aug 24 01:50:02 +0000 2018
staci_barron,"Lakefront custom home only 22 miles East of Downtown Dallas, TX.  Exquisite design!  4 Bed/3 Bath/Study/3 Car; 4,863 Sq Ft; Resort style backyard with a pool, spa, fire pit &amp; outdoor living and dining.  Excellent Schools - Rockwall ISD.... https://t.co/y3alsILFaf",,Wed Aug 22 23:13:50 +0000 2018
tiniskwerl,"#CarrFire #Shasta Co 88%
MonAM&gt;PM 229,651 acres/359 sq mi
Sq miles: #SanDiego 372/#FortWorth 348/#Memphis 324
CALFire:https://t.co/TyvTk7KwB5
PM:https://t.co/ZPwWkoDKXo
YubaNet:https://t.co/QRDnLEUrj6
https://t.co/UzrqJ7UDuT
#NorCal #NorCalFire #CAFire #CALFire #ShastaCounty",,Tue Aug 21 04:20:44 +0000 2018
KK_Pelletier,"#BCWildfires 

""The #ShovelLake fire remains active, and has currently been mapped at 84,793.7 hectares using high level infra-red scans.""

84793.7 hectares = ≈ 209,530 acres = ≈ 327 sq miles, which is about 22 sq miles larger than New York City.

https://t.co/Xdpb0yvGDg",,Mon Aug 20 07:34:09 +0000 2018
GuyMcCarthy,"What did we learn from the 2013 #RimFire that broke out five years ago today? https://t.co/56vfp47gSi (Photos by Maggie Beck) It burned 400 sq miles of watersheds, 11 houses, 98 outbuildings, several camps, caused 10 injuries, killed hundreds of livestock, cost $127.3M to fight",,Sat Aug 18 04:10:06 +0000 2018
reddogsa,"@RobMayeda The Mendocino Complex is now 569 sq miles. ""Currently, there are 74 miles of uncontrolled fire edge, 5 miles of planned handline and 27 miles of planned dozerline to construct."" says the incident statement tonight. They need more men and equipement or no end till October",,Thu Aug 16 06:38:38 +0000 2018
reddogsa,"Jerry Brown is undermining largest fire in the country--Ranch Fire 569 sq miles "" there are 74 miles of uncontrolled fire edge, 5 miles of planned handline and 27 miles of planned dozerline to construct."" Firemen need more help.",,Thu Aug 16 05:44:32 +0000 2018
LylaLarimore,"RT @reddogsa: @Cal_OES 555 sq miles burnt today, so encouraging to see an extra 13 helicopters and 500 personnel assigned to the Mendocino…","@Cal_OES 555 sq miles burnt today, so encouraging to see an extra 13 helicopters and 500 personnel assigned to the Mendocino fire today. You have one of the toughest jobs in the world but a whole lot of fans. Thank you. #CAwildfires",Wed Aug 15 19:38:32 +0000 2018
reddogsa,"@davidfrum 555 sq miles burnt, so encouraging to see an extra 13 helicopters and 500 personnel assigned to the fire today. fire fighters have one of the toughest jobs in the world but a whole lot of fans. tell Governor Brown to get more resources to them",,Wed Aug 15 06:56:39 +0000 2018
reddogsa,"@CALFIRE_MEU @MendoSheriff @LakeCoSheriffCA @MendocinoNF @GlennCountyOES 555 sq miles burnt this evening, so encouraging to see an extra 13 helicopters and 500 personnel assigned to the fire today. You have one of the toughest jobs in the world but a whole lot of fans. Thank you. And do you need more resources?",,Wed Aug 15 06:53:40 +0000 2018
reddogsa,"@CALFIRE_MEU @MendoSheriff @LakeCoSheriffCA @MendocinoNF @GlennCountyOES 555 sq miles burnt, so encouraging to see an extra 13 helicopters and 500 personnel assigned to the fire today. You have one of the toughest jobs in the world but a whole lot of fans. Thank you.",,Wed Aug 15 06:49:58 +0000 2018
reddogsa,"@Cal_OES 555 sq miles burnt today, so encouraging to see an extra 13 helicopters and 500 personnel assigned to the Mendocino fire today. You have one of the toughest jobs in the world but a whole lot of fans. Thank you. #CAwildfires",,Wed Aug 15 06:45:11 +0000 2018
voxphoto,The Ranch Fire is the larger of the two #MendocinoComplex fires; Now just on its own it is California's largest recorded wildfire at ~477 sq. miles. For reference https://t.co/sItmQepngp https://t.co/aQfqH9IDHJ,,Tue Aug 14 16:14:25 +0000 2018
BCStubblejumper,"To turn that to Imperial, roughly 322,470 acres (504 sections in farmer speak) for only a few of the massive number of fires we have in the province. The Shovel Lake fire was reported at over 300sq kms yesterday (116 sq miles)  the Kootenay area has way higher numbers than here",,Tue Aug 14 13:40:42 +0000 2018
tiniskwerl,"#CarrFire #Shasta Co 93%
WedPM&gt;ThuAM 229,651 acres/359 sq mi
Sq mi: #Dallas 386/#FortWorth 348
YubaNet:https://t.co/QRDnLEUrj6
CALFire:https://t.co/TyvTk7KwB5
AM:https://t.co/yJ7bC0qq3Z
BuildingChimneys:https://t.co/fSfcKrlc7q
#NorCal #NorCalFire #CAFire #CALFire #ShastaCounty",,Thu Aug 23 21:12:02 +0000 2018
tiniskwerl,"#CarrFire #Shasta Co 93%
WedAM&gt;PM 229,651 acres/359 sq mi
Sq mi: #SanDiego 372/#FortWorth 348
YubaNet:https://t.co/QRDnLEUrj6
CALFire:https://t.co/TyvTk7KwB5
PM:https://t.co/JKy3PLBpCq
#NorCal #NorCalFire #CAFire #CALFire #ShastaCounty",,Thu Aug 23 05:48:01 +0000 2018
tiniskwerl,"#CarrFire #Shasta Co 85%&gt;88% contained
SunPM&gt;MonAM 227,098+2,553&gt;229,651 acres/359 sq mi
SqMiles: #SanDiego 372 #Indianapolis 368
CALFire:https://t.co/TyvTk7KwB5
AM:https://t.co/eTGkvD5NYI
DebrisFlowHazard:https://t.co/qIKjIONqvU
#NorCal #NorCalFire #CAFire #CALFire #ShastaCounty",,Mon Aug 20 21:29:33 +0000 2018
tiniskwerl,"#CarrFire #Shasta Co 83%&gt;85% perimeter containment
SunAM&gt;PM 227,098 acres/355 sq mi
#FortWorth #Texas 348 sq mi/#NewOrleans #Louisiana 350 sq mi
CALFire:https://t.co/TyvTk7KwB5
PM:https://t.co/NfchIeUb5k
https://t.co/YoNyJNKkml
#NorCal #NorCalFire #CAFire #CALFire #ShastaCounty",,Mon Aug 20 03:58:52 +0000 2018
tiniskwerl,"#FergusonFire W of #Yosemite #Mariposa Co +14 acres /+0%
ThuPM&gt;FriAM 96,810&gt;96,824 acres/151 sq mi/87% containment
AM: Next 12Hrs Active Fire Division D
#YosemiteNP Portions Closed: HazardousTreeRemoval
InciWeb:https://t.co/L0J6MNNCfI
OpsMap:https://t.co/Swb22tvmcu
#CAFire",,Fri Aug 17 22:02:08 +0000 2018
tiniskwerl,"#CarrFire #Shasta Co
MonAM&gt;PM 202,976+3840&gt;206,816 acres/323 sq mi/61%&gt;63%
Sq mi: #Memphis TN 324 #FortWorth TX 348
4,641&gt;4334 FFs/341&gt;327 Eng/75&gt;76 Crew/13 Helo/104&gt;77 Dzr/128 Tndr
INFO:https://t.co/TyvTk7KwB5
PM:https://t.co/LPuskrApEF
#NorCal #NorCalFire #CAFire #Redding",,Tue Aug 14 07:47:30 +0000 2018
cody_washburn,"Good - they caught the asshat that started the Klamathon Fire. That fire burned 35 homes, 38,000 acres, killed a guy, and shut down I-5.  
Maximum sentence, I hope.",,Fri Aug 24 02:12:58 +0000 2018
StephBennettTV,"Hundreds filled Basalt High School to discuss the future of their shooting range where the Lake Christine Fire originated from burning more than 12,000 acres and destroying some homes.

https://t.co/pUmJ2j2DcD",,Thu Aug 23 22:46:07 +0000 2018
CaliBohoChic,"#Repost @bayareafirefighter 
@flmedia 2015 the Solimar Fire that burned 1,300+ acres in the ventura area shutting down the 101 freeway for days. @lacofireairops making night drops as the flames jumped the 101 and burned towards the beach homes located on the PCH. #solimarfire https://t.co/Qh0tnkrcii",,Thu Aug 23 19:35:34 +0000 2018
RachelMcGonagi1,"@RoseWoo15096108 @l0vejennaa @DavidMcLuckie2 In Oregon, we're going through Fire Season. Happens every summer, does a number on air quality, thousands of acres of forest, and often a number of homes/towns are evacuated before being engulfed in flames. Other than that....🤷‍♀️

https://t.co/YX8QaAqkmh",,Thu Aug 23 05:23:40 +0000 2018
susanhe36305905,"- Watch Video Online - VideoMuch - Video Search: Laguna Beach brush fire grows to more than 200 acres, prompting evacuation of hundreds of homes: A brush fire in Laguna Beach has grown to more than 200 acres and is threatening nearby homes. The fire… https://t.co/cFOvT6o7R2 https://t.co/vxAHALaUyd",,Wed Aug 22 11:39:03 +0000 2018
susanhe36305905,"- Watch Video Online - VideoMuch - Video Search: Laguna Beach brush fire grows to more than 200 acres, prompting evacuation of hundreds of homes: A brush fire in Laguna Beach has grown to more than 200 acres and is threatening nearby homes. The fire… https://t.co/ZrYpErbS4V https://t.co/Br1a7Gf7b7",,Wed Aug 22 00:51:04 +0000 2018
peterfe84268814,"St. Louis, MO Credit Repair | (888) 502-1260 - Watch Video Online - VideoMuch - Video Search: Laguna Beach brush fire grows to more than 200 acres, prompting evacuation of hundreds of homes: A brush fire in Laguna Beach has grown to more than 200 acres… https://t.co/V2FPH0kuOJ https://t.co/bwn52TN3sC",,Wed Aug 22 00:04:04 +0000 2018
ynuqoNoye,"Laguna Beach brush fire grows to more than 200 acres, prompting evacuation of hundreds of homes: A brush fire in Laguna Beach has grown to more than 200 acres and is threatening nearby homes. The fire started Saturday afternoon below the Top of the World… https://t.co/uYbAE1hCXG",,Tue Aug 21 23:39:04 +0000 2018
PrimServices,"Primoris crews have stepped in to help restore power to areas in Redding, CA, that have been affected by the vicious Carr Fire. Since July 23rd, Carr has engulfed 207,000+ acres of land, &amp; is now the 8th most destructive fire in CA history, destroying 1,000+ homes in the area. https://t.co/5ElaB0c953",,Tue Aug 21 17:03:43 +0000 2018
JDFossilBedsNPS,"The Jennie’s Peak Fire is now 36K acres &amp; is primarily moving west. Priest Hole Campground is closed at a Lvl 3 evacuation &amp; homes along the Burnt Ranch Rd are under a Lvl 2 notice. 

https://t.co/zUp6Rba2AK

https://t.co/kgkmBU0dvb

https://t.co/kD6QSkVQ79",,Tue Aug 21 16:25:02 +0000 2018
jftaveira1993,"After weeks of destroying thousands of acres of wildland — including more than 1,000 homes -- overnight Monday the size of the #CarrFire did not increase. https://t.co/fjLSqV8JTT #California #CaliforniaWidlfires",,Tue Aug 21 15:26:58 +0000 2018
NewsTalk780KOH,"KOH's Dave Preston says the fire has burned at least five acres, and is very close to some homes. https://t.co/avfloWOdyG",,Tue Aug 21 00:53:53 +0000 2018
ones_news,"RT @ones_news: When you read about a monstrous wildfire like California’s Carr fire growing to over 190,000 acres, burning up over 1,000 ho…","When you read about a monstrous wildfire like California’s Carr fire growing to over 190,000 acres, burning up over 1,000 homes and killing eight people, it’s strange to think that it began the size of a dinner plate. The fire (named for where it started: Carr Powerhouse Road) https://t.co/2LASXBuAP9",Mon Aug 20 19:14:26 +0000 2018
ones_news,"When you read about a monstrous wildfire like California’s Carr fire growing to over 190,000 acres, burning up over 1,000 homes and killing eight people, it’s strange to think that it began the size of a dinner plate. The fire (named for where it started: Carr Powerhouse Road) https://t.co/2LASXBuAP9",,Mon Aug 20 19:14:20 +0000 2018
ones_news,"RT @ones_news: When you read about a monstrous wildfire like California’s Carr fire growing to over 190,000 acres, burning up over 1,000 ho…","When you read about a monstrous wildfire like California’s Carr fire growing to over 190,000 acres, burning up over 1,000 homes and killing eight people, it’s strange to think that it began the size of a dinner plate. https://t.co/SO76O88fma",Sun Aug 19 16:41:39 +0000 2018
ones_news,"When you read about a monstrous wildfire like California’s Carr fire growing to over 190,000 acres, burning up over 1,000 homes and killing eight people, it’s strange to think that it began the size of a dinner plate. https://t.co/SO76O88fma",,Sun Aug 19 16:41:32 +0000 2018
TadamsThomas,"Fire update—Klondike Fire in southern Oregon grows to 66,000+ acres.  47 homes threatened by Stubblefield by Condon.  Latest conditions #liveonKVAL at 11:30",,Sun Aug 19 05:10:45 +0000 2018
bhsnitzer,"RT @VICE: A massive California forest fire has ravaged more than 18,000 acres and threatened about 7,000 homes since Monday. 

The man accu…","A massive California forest fire has ravaged more than 18,000 acres and threatened about 7,000 homes since Monday. 

The man accused of starting it allegedly texted a volunteer firefighter two weeks ago: ""This place is going to burn."" https://t.co/tq4qHSN6FS",Sun Aug 19 02:00:29 +0000 2018
jewels_my,RT @KSL5TV: UPDATE: Unified Fire: #ShaggyMountainFire is at 5-7 acres on ridge top. Voluntary evacuations are in order south and west of 14…,"UPDATE: Unified Fire: #ShaggyMountainFire is at 5-7 acres on ridge top. Voluntary evacuations are in order south and west of 14101 S. Shaggy Mountain Road. 432 homes have been notified. Evacuees can go to Butterfield Canyon Elementary. 10 crews, 2 Type 3 helicopters responding.",Sat Aug 18 23:40:45 +0000 2018
KSL5TV,"UPDATE: Unified Fire: #ShaggyMountainFire is at 5-7 acres on ridge top. Voluntary evacuations are in order south and west of 14101 S. Shaggy Mountain Road. 432 homes have been notified. Evacuees can go to Butterfield Canyon Elementary. 10 crews, 2 Type 3 helicopters responding.",,Sat Aug 18 23:31:39 +0000 2018
MoviesSilently,"Yesterday's fire was 20-60 acres (have heard different reports) and no homes were damaged or injuries reported so, yay! It started in a dry brush canyon but the fire department responded before it got too big.

Also, there was no wind (for once), which helped.",,Sat Aug 18 15:31:57 +0000 2018
AnitaFMann,"RT @eastcountytoday: Update to #AlhambraIC in #Martinez... @ContraCostaFire now 40 acres, potential for 75. @320PIO issues SIGALERT. Homes…","Update to #AlhambraIC in #Martinez... @ContraCostaFire now 40 acres, potential for 75. @320PIO issues SIGALERT. Homes threatened. @cityofmartinez  https://t.co/8vIhZKREUm",Sat Aug 18 03:22:19 +0000 2018
eastcountytoday,"Update to #AlhambraIC in #Martinez... @ContraCostaFire now 40 acres, potential for 75. @320PIO issues SIGALERT. Homes threatened. @cityofmartinez  https://t.co/8vIhZKREUm",,Sat Aug 18 02:50:17 +0000 2018
RyanSheltra,"Justice comes for the victims of the NDF caused #LittleValleyFire.  23 homes &amp; 2,200 acres of forest lost.  Much respect for the men/woman of NDF; Fire burn boss Gene Phillips this is all on you. May this jury verdict save the next community from a similar tragedy. @jasonhidalgo https://t.co/M56aLeRdUc",,Sat Aug 18 00:12:00 +0000 2018
PeterJ1955,"@RealJamesWoods @GovofCO is a disgrace. Springs Ranch fire burned 100K acres, 130 structures &amp; homes, started by an illegal alien. And Hickenlooper is more concerned abt illegals staying in CO and who can buy a cake.",,Fri Aug 17 14:52:45 +0000 2018
DrSarteschi,"RT @DTAnalytics: Sovereign citizen/conspiracy theorist arrested for setting fire to the Cleveland National Forest in southern California, t…","Sovereign citizen/conspiracy theorist arrested for setting fire to the Cleveland National Forest in southern California, that burned over 22k acres and forced many from their homes.",Fri Aug 17 14:16:58 +0000 2018
DTAnalytics,"Sovereign citizen/conspiracy theorist arrested for setting fire to the Cleveland National Forest in southern California, that burned over 22k acres and forced many from their homes.",,Fri Aug 17 13:54:53 +0000 2018
Joevigil20,"RT @greg_nieto: #KWGN ‘Silver Creek Fire,’ near Kremmling, in NW Colorado:  4,100 acres/15% Containment.  200 homes evacuated/35 people dec…","#KWGN ‘Silver Creek Fire,’ near Kremmling, in NW Colorado:  4,100 acres/15% Containment.  200 homes evacuated/35 people decided to remain in their homes. @KremmlingFire #kdvr https://t.co/hJlVsQWBLx",Fri Aug 17 12:26:02 +0000 2018
