yes_that_girl_,@reni_rhe9 Kiun k rat mein sari sadness ubhar aati hai 😂😊,,Sat Aug 04 11:39:02 +0000 2018
Nursafhiaa,"RT @mxsriyatalks: the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. thing…","the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. things were made haram for a reason, we think that our hearts can handle it, but they can’t. sadness is a blessing &amp; a curse.",Sat Aug 04 11:01:40 +0000 2018
hitthemochi,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 11:01:37 +0000 2018
inspir0tron,Sadness is the opposite of a fire in your heart.,,Sat Aug 04 11:01:32 +0000 2018
undoing_sadness,@riceballsss 잠시 쉬었다가 가셔요ㅠㅠ,,Sat Aug 04 11:01:25 +0000 2018
HangaMusone,"RT @advocatemahere: In the Harare CBD, people have generally gone home or didn’t come to work. For some it was because of security reasons.…","In the Harare CBD, people have generally gone home or didn’t come to work. For some it was because of security reasons. For some it was sadness.

For most it was both. 🇿🇼",Sat Aug 04 11:01:22 +0000 2018
caitlinecross,"RT @felixskids: Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness","Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness",Sat Aug 04 11:01:14 +0000 2018
syntaxellol,"RT @Lambertozxc: Hey august, no more sadness pls?","Hey august, no more sadness pls?",Sat Aug 04 11:01:13 +0000 2018
aloooo2aaa,Sometimes I feel numb ..after deep crying..sadness and regret anger and fear ..things can really destroy any human life ..when they say life will go on ..it should be or you will be destroyed..(deep breath),,Sat Aug 04 11:01:12 +0000 2018
BreatheClaireee,"RT @breatheapril: When people stare at the ocean, what were they thinking? Do they also wish for the waves to take their sadness away?","When people stare at the ocean, what were they thinking? Do they also wish for the waves to take their sadness away?",Sat Aug 04 11:01:04 +0000 2018
sifuhimself,"RT @advocatemahere: In the Harare CBD, people have generally gone home or didn’t come to work. For some it was because of security reasons.…","In the Harare CBD, people have generally gone home or didn’t come to work. For some it was because of security reasons. For some it was sadness.

For most it was both. 🇿🇼",Sat Aug 04 11:01:02 +0000 2018
_KhalDiego,what has been your favourite halloween costume? — when I dressed up as Sadness 3 years ago!! or The Flash when i was a kid and didnt have much of a... https://t.co/qePqsgYNsV,,Sat Aug 04 11:00:59 +0000 2018
DelaCristea,today I have sadness in my soul ...,,Sat Aug 04 11:00:58 +0000 2018
yvethjeey,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 11:00:56 +0000 2018
KatGrapher,"#CattleHerders

Banna Le Mohlape oa Dikhomo

To me photography is like listening to music...
The thrill, the excitement, the anger, the sadness, the shock and every emotion that is evoked by looking at photographs is exactly what the photograph is meant to do...

#LetMeShowYou https://t.co/o1wXXcx6Qt",,Sat Aug 04 11:00:55 +0000 2018
denzzzzzzzzzxcc,@chrstnfllr Sadness,,Sat Aug 04 11:00:51 +0000 2018
faithyursua,"So i saw this Chow-chow sa usa ka petshop diri’s Davao, sya ra isa sa iyang cage &amp; i swear ma feel naku iyang sadness ug cguro sa sobra niya kagutom iya na gina try kaon iyang cage. Lord kung pwde lang nku iuli ang dog 😭💔",,Sat Aug 04 11:00:41 +0000 2018
seven_sadness,"@SiwXBSXvuFyX4Zo 今年初蚊刺され
そして取り逃した",,Sat Aug 04 11:00:33 +0000 2018
gcfwithhearts,@BTS_twt Please be careful hobi we want to protect Bangtan from all bad things in the world. Your sadness makes us sad too. We love you💜,,Sat Aug 04 11:00:32 +0000 2018
regalado_jh,"RT @myshortpoems: HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always…","HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always hides it in her mask

GRACE",Sat Aug 04 11:00:28 +0000 2018
leeyanaaaaa,"RT @YatiedotRr: Despite all of the pain and sadness, there’s happiness somewhere too 😇","Despite all of the pain and sadness, there’s happiness somewhere too 😇",Sat Aug 04 11:00:27 +0000 2018
BlueeSoull,RT @SugalisciousRea: A person who understands ur sadness just by hearing your voice or by reading your text truely loves you...,A person who understands ur sadness just by hearing your voice or by reading your text truely loves you...,Sat Aug 04 11:00:27 +0000 2018
LavaletteAstrid,"RT @cpjul54: Munia Khan
“Stars are always dancing. Sometimes they dance twinkling away with the rhythm of your joyful heart and sometimes t…","Munia Khan
“Stars are always dancing. Sometimes they dance twinkling away with the rhythm of your joyful heart and sometimes they dance without movement to embrace your heartache as if frozen sculptures of open-armed sadness.” https://t.co/Ex03YSaRgx",Sat Aug 04 11:00:27 +0000 2018
aelshaall,RT @ZiadTarek_99: أزهى عصور ال summertime sadness حقيقي,أزهى عصور ال summertime sadness حقيقي,Sat Aug 04 11:00:26 +0000 2018
galeallysooon,@GenReyes1 aawwwww sadness,,Sat Aug 04 11:00:25 +0000 2018
AffirmYourLife,The wall we build around us to keep sadness out also keeps out the joy. - Jim Rohn. More HAPPINESS Quotes https://t.co/tuYl0vnKyY #quote,,Sat Aug 04 11:00:09 +0000 2018
arunavjc,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 10:59:55 +0000 2018
honeyyoongii,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 10:59:43 +0000 2018
SiwXBSXvuFyX4Zo,@seven_sadness びっくりしたwwww,,Sat Aug 04 10:59:40 +0000 2018
jazelgallardo26,"RT @myshortpoems: HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always…","HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always hides it in her mask

GRACE",Sat Aug 04 10:59:32 +0000 2018
zyrene_gatus,"RT @Lambertozxc: Hey august, no more sadness pls?","Hey august, no more sadness pls?",Sat Aug 04 10:59:25 +0000 2018
andrewsibanda_,"RT @Fact: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:59:22 +0000 2018
zrvck,"RT @mxsriyatalks: the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. thing…","the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. things were made haram for a reason, we think that our hearts can handle it, but they can’t. sadness is a blessing &amp; a curse.",Sat Aug 04 10:59:19 +0000 2018
marieweena,RT @khryss0316: It sucks that you were supposed to enjoy the night but sadness kicks in and you suddenly felt suffocated but empty.,It sucks that you were supposed to enjoy the night but sadness kicks in and you suddenly felt suffocated but empty.,Sat Aug 04 10:59:19 +0000 2018
Meganbaileyx1,RT @sophsjonesy: “there’s a difference between being happy and being distracted from sadness” - realest thing i have ever read,“there’s a difference between being happy and being distracted from sadness” - realest thing i have ever read,Sat Aug 04 10:59:17 +0000 2018
seven_sadness,"くっそ！蚊に刺された！！！
おのれ蚊め！！！！！！！ https://t.co/wN89vfRFUH",,Sat Aug 04 10:59:15 +0000 2018
KelvinHwan,"RT @Fact: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:59:07 +0000 2018
pisaywtf,"Weird as it may seem, music turns anger into sadness.",,Sat Aug 04 10:59:01 +0000 2018
Boybaaaa,RT @suphoet: grabe super clingy ni sadness,grabe super clingy ni sadness,Sat Aug 04 10:58:54 +0000 2018
labyrinthayax,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 10:58:45 +0000 2018
saamify,Sadness on your parents’ face and knowing you’re the reason... https://t.co/2SIgL7OdZY,,Sat Aug 04 10:58:42 +0000 2018
drwnjh,RT @FolllowSunnah: Allahﷻ is the reason why even in sadness I smile even in confusion I understand even in betrayal I trust even in pain I…,"Allahﷻ is the reason why even in sadness I smile even in confusion I understand even in betrayal I trust even in pain I love...
Dear Allahﷻ, thank you for this beautiful life, and forgive me for everything that I have done wrong.",Sat Aug 04 10:58:39 +0000 2018
ylwpsvcho,"RT @felixskids: Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness","Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness",Sat Aug 04 10:58:30 +0000 2018
Olivia70011411,"RT @Mye_Pixie: “Smile, even if it’s a sad smile, because sadder than a sad smile is the sadness of not knowing how to smile.” #ALDUBHanggan…","“Smile, even if it’s a sad smile, because sadder than a sad smile is the sadness of not knowing how to smile.” #ALDUBHanggangSaHuli 

https://t.co/p0N9BW2g5u",Sat Aug 04 10:58:21 +0000 2018
Traceygarner64,"RT @beingbrilliant: ""Think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to chase the things you love. S…","""Think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to chase the things you love. Sometimes there is sadness on our journey, but there is also lots of beauty. We must keep putting one foot in front of the other."" - unknown

Happy weekend. https://t.co/KspZcDZbRe",Sat Aug 04 10:58:15 +0000 2018
LindoThobeka,RT @Lesego62103188: @LindoThobeka @Sky_DadopeSA Just know you not alone. Lost mine when I was 16 during this month.  Not that a dwell in th…,@LindoThobeka @Sky_DadopeSA Just know you not alone. Lost mine when I was 16 during this month.  Not that a dwell in the past but this month just brings a bit of sadness in my heart.,Sat Aug 04 10:58:05 +0000 2018
Hayorlad,"Its been a year with different sides; pains and gains,  sadness and happiness,  I've made mistakes and I've gotten some right but either ways, I learnt more, grow more and had a leap forward.  There has been moments... https://t.co/koCy0JhOfv",,Sat Aug 04 10:58:01 +0000 2018
dchessuk,RT @BrightonDungeon: It is with great sadness that I announce the passing of our dear friend Mistress Dometria. She was our light and our s…,It is with great sadness that I announce the passing of our dear friend Mistress Dometria. She was our light and our strength. No one who met her would ever forget her. She will live in our hearts forever. We are all heartbroken. #brightondungeon #mistressdometria #rip https://t.co/q0q7Div4eH,Sat Aug 04 10:57:58 +0000 2018
lesego_masilo,"RT @SimaTaleni: i hate when i’m crying the night before then you see it in my eyes the next day, like wow  i’m trying to be subtle about th…","i hate when i’m crying the night before then you see it in my eyes the next day, like wow  i’m trying to be subtle about this sadness thing, chill out bro🙄",Sat Aug 04 10:57:56 +0000 2018
TchaNewton,RT @UKenyatta: It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished…,"It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished long serving public servant, lawmaker and accountant whose service to the nation will be greatly missed.",Sat Aug 04 10:57:55 +0000 2018
pmgarambulo,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 10:57:50 +0000 2018
NikitaMbali4,RT @JohnKani2: It is with great sadness that I received the news of the passing of my dearest brother Winston Ntshona this morning in Pirt…,It is with great sadness that I received the news of the passing of my dearest brother Winston Ntshona this morning in Pirt Elizabeth. To his wife and family I share your pain. He was my brother. John Kani,Sat Aug 04 10:57:46 +0000 2018
O_loun,I never felt that there’s someone care abt my sadness,,Sat Aug 04 10:57:46 +0000 2018
neogirlani,"happiness? listening to svt’s oh my :)

sadness? being incapable of recognizing your past idols through their vocals the way you did before :(",,Sat Aug 04 10:57:44 +0000 2018
KatieB714,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 10:57:34 +0000 2018
hyacinth1403,"RT @hyacinth1403: There is sadness in tears ,
they are not mark of weakness but of power
they speak eloquently than ten thousand tongues
th…","There is sadness in tears ,
they are not mark of weakness but of power
they speak eloquently than ten thousand tongues
they are messengers of overwhelming grief ,
of deep contrition 
and of unspeakable love ....
~ Washington Irving ~ https://t.co/YVQTnkLCJt",Sat Aug 04 10:57:31 +0000 2018
Roger_Austin94,@RedmondRiggs Sadness,,Sat Aug 04 10:57:30 +0000 2018
artmix81,RT @HWarlow: Annabelle Burton is another of our talented Watercolour artists.  She obtained a Fine Arts degree from Leeds.   If you read he…,Annabelle Burton is another of our talented Watercolour artists.  She obtained a Fine Arts degree from Leeds.   If you read her bio there is sadness but out of it wonderful art. https://t.co/9p9tDQMGLm,Sat Aug 04 10:57:13 +0000 2018
KipkoechAlphine,RT @UKenyatta: It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished…,"It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished long serving public servant, lawmaker and accountant whose service to the nation will be greatly missed.",Sat Aug 04 10:57:06 +0000 2018
honeebird,"@JillMcGregory @WhitfordBradley What a beautiful boy ❤️❤️❤️ I’m so very sorry.  We are grieving for our dog Scout, so I know the heartbreaking sadness. 😢",,Sat Aug 04 10:56:55 +0000 2018
s_lewis6,RT @reginaYhicks: A good hug is one where you physically feel the sadness leave your body. #hugsheal #huggoals #daretocare #thanksfriend #l…,A good hug is one where you physically feel the sadness leave your body. #hugsheal #huggoals #daretocare #thanksfriend #lovewins #gohugsomebody 🤗,Sat Aug 04 10:56:52 +0000 2018
Maryaammuhaamed,RT @ZiadTarek_99: أزهى عصور ال summertime sadness حقيقي,أزهى عصور ال summertime sadness حقيقي,Sat Aug 04 10:56:50 +0000 2018
saintaura,"RT @loistruly: Depression is not sadness.  Depression is not being broke.  It's not 'we've all been there',  it's not 'just pray and it'll…","Depression is not sadness.  Depression is not being broke.  It's not 'we've all been there',  it's not 'just pray and it'll go away',  or 'just think happy thoughts' , it's and illness that needs treatment 
#KeepTalkingMh https://t.co/ovFFyGYo7B",Sat Aug 04 10:56:48 +0000 2018
standupguyxxx,"RT @itstaytorres: Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too…","Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too little. Not wanting to eat or take care of your body. It’s a lack of motivation once there. A dislike in your own interests.",Sat Aug 04 10:56:47 +0000 2018
tomi_ox,RT @Fact: Dogs can see sadness in humans and often attempt to make their owners happy by initiating cuddling.,Dogs can see sadness in humans and often attempt to make their owners happy by initiating cuddling.,Sat Aug 04 10:56:47 +0000 2018
freedomwords_ea,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 10:56:35 +0000 2018
tonlynn88,"@toddzer1 Sadness fills my ❤️ to👂t/ words. I pray 4 all cast,crew,staff,&amp;fandom to find peace. I pray we find healthy way to deal w/the grief of a goodbye said too soon. At least until the 12 eps air then we go thru grief again. I TY 4 pouring your soul into SH. Must #SaveShadowhunters https://t.co/m7ZHIbQ0DJ",,Sat Aug 04 10:56:30 +0000 2018
lunar_luci,"RT @AgainstSuicide: You're stronger. 
You're stronger than your illness. 
You're stronger than your demons. 
You're stronger than your sadn…","You're stronger. 
You're stronger than your illness. 
You're stronger than your demons. 
You're stronger than your sadness.
You're stronger than your bad days. 
You're stronger than you think.",Sat Aug 04 10:56:28 +0000 2018
BaekDarling,@cuddlingsisi Hahaha we just gotta keep going xD enough of the sadness ok!,,Sat Aug 04 10:56:19 +0000 2018
viennaverzo,"OR  it was all my pent up sadness and anger, and that test was the last straw for my dumb tears. wowie",,Sat Aug 04 10:56:19 +0000 2018
Leecheatham4,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:56:15 +0000 2018
avstivei,"RT @felixskids: Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness","Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness",Sat Aug 04 10:56:12 +0000 2018
gideonkingoina,RT @JamesOngwae: I have learnt with sadness news of the untimely passing of former Cabinet Minister Hon. Henry Obwocha. Gusii has lost a gr…,I have learnt with sadness news of the untimely passing of former Cabinet Minister Hon. Henry Obwocha. Gusii has lost a great son who had an illustrious career in the public service. https://t.co/qHR4wAoxEw,Sat Aug 04 10:56:11 +0000 2018
jedfo,@SaysHummingbird Saturday morning sadness  We cannot let this continue,,Sat Aug 04 10:56:09 +0000 2018
paras_chrono,RT @Lost_In_Shawn_: I love Shawn and i need Shawn.On my bad days i don't want anything else just to hear his voice...when i put my headphon…,"I love Shawn and i need Shawn.On my bad days i don't want anything else just to hear his voice...when i put my headphones on and turn up the volume,the music and his angelic voice can wash away all my sadness,all my anger and every bad thoughts. I can't live without his music... https://t.co/ipbOstG4GZ",Sat Aug 04 10:56:04 +0000 2018
Dinaamansor,RT @ZiadTarek_99: أزهى عصور ال summertime sadness حقيقي,أزهى عصور ال summertime sadness حقيقي,Sat Aug 04 10:55:54 +0000 2018
FrostedVulpix,I’m so slow on completing the Battle Network games because I know that a wave of sadness is going to slam into me once I see the epilogue even though I’ve spoiled myself numerous times,,Sat Aug 04 10:55:43 +0000 2018
BlueeSoull,"RT @TheJonaidKhan: No one notices your tears,no one notices your sadness,no one notices your pain but they all notice your mistakes.","No one notices your tears,no one notices your sadness,no one notices your pain but they all notice your mistakes.",Sat Aug 04 10:55:37 +0000 2018
jooniena,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 10:55:30 +0000 2018
Nthingxhere,RT @pseudopoetisch: summertime sadness https://t.co/xyHM1WpvjL,summertime sadness https://t.co/xyHM1WpvjL,Sat Aug 04 10:55:26 +0000 2018
asmaaliqadri,RT @SarkarKazmi: If sadness exits so can happiness.,If sadness exits so can happiness.,Sat Aug 04 10:55:22 +0000 2018
neo_nineman,"introitus

還りたい

#写真 #photo #photography #darkart #ファインダー越しの私の世界 #picture #artphotography #artphoto #dark #black #monochrome #darkart #sadness https://t.co/0kk0Gyemy2",,Sat Aug 04 10:55:14 +0000 2018
samstebbings18,"RT @forcebball: It is with great sadness that we announce the 2017/18 @BBLofficial season was our last as a franchise.

We would like to pl…","It is with great sadness that we announce the 2017/18 @BBLofficial season was our last as a franchise.

We would like to place on record our thanks to everyone who made the last four years a truly special journey - without you it wouldn't have been possible. 

#FeelTheForce https://t.co/qTd3KJqKT5",Sat Aug 04 10:55:07 +0000 2018
1feralkat,RT @KittyGreenEye: This was my first visit into my mum an dads house. My owners had moved and left me...but my new mum could see my sadness…,"This was my first visit into my mum an dads house. My owners had moved and left me...but my new mum could see my sadness, and told me not to be scared. “I love you already little ginger baby, you can come live here...” https://t.co/7nVp51Q1VK",Sat Aug 04 10:55:06 +0000 2018
Uxhiwakamaru,"My bio describes me at this second

So yeah umineko sadness https://t.co/kU4pThKDg7",,Sat Aug 04 10:55:02 +0000 2018
eternoarrosto,RT @watameowte: I can sense the sadness while watching the performance #WELOVEYOUJENNIE https://t.co/cxVYyPPpz5,I can sense the sadness while watching the performance #WELOVEYOUJENNIE https://t.co/cxVYyPPpz5,Sat Aug 04 10:54:58 +0000 2018
Fordtography,I’ve also had a ball of sadness hit me in my chest and I’m hoping I can channel this into some sick photographs,,Sat Aug 04 10:54:51 +0000 2018
gogumajin,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 10:54:48 +0000 2018
_kass_w_,"RT @talahugutan: Ups and downs
Smiles and frowns 
Life is a rolling wheel
Its up to you,
what to feel
Because sadness never last
When you l…","Ups and downs
Smiles and frowns 
Life is a rolling wheel
Its up to you,
what to feel
Because sadness never last
When you learn 
to accept the past.

—Deejay",Sat Aug 04 10:54:47 +0000 2018
muhdhaikalx,"RT @Lambertozxc: Hey august, no more sadness pls?","Hey august, no more sadness pls?",Sat Aug 04 10:54:43 +0000 2018
Stefano32847521,RT @HWarlow: Annabelle Burton is another of our talented Watercolour artists.  She obtained a Fine Arts degree from Leeds.   If you read he…,Annabelle Burton is another of our talented Watercolour artists.  She obtained a Fine Arts degree from Leeds.   If you read her bio there is sadness but out of it wonderful art. https://t.co/9p9tDQMGLm,Sat Aug 04 10:54:36 +0000 2018
_MaeBlue,"RT @ChristieJBarlow: It’s okay for the birds of sadness to fly overhead ... but don’t let them nest in your hair ...
This #Saturdaymorning…","It’s okay for the birds of sadness to fly overhead ... but don’t let them nest in your hair ...
This #Saturdaymorning surround yourself with trustworthy loyal people ... radiators not drains .... ❤️ https://t.co/JTkzi0J5PO",Sat Aug 04 10:54:34 +0000 2018
King_Govt,"RT @itstaytorres: Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too…","Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too little. Not wanting to eat or take care of your body. It’s a lack of motivation once there. A dislike in your own interests.",Sat Aug 04 10:54:31 +0000 2018
crtlnrzh,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 10:54:23 +0000 2018
Muniraamh1,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 10:54:16 +0000 2018
Lesediiseg,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 10:54:09 +0000 2018
kolizimer,I still cant recover from sadness after watching My Heart 😭😭 ooooo i wish i can delete yesterday memory so i can watch it again with brand new feeling,,Sat Aug 04 10:54:09 +0000 2018
Harissa_05S,"RT @Hujandisenja: My morning mantra:

"" I believe that sadness is a part of growth process, I will embrace the grieve to let go of my feeli…","My morning mantra:

"" I believe that sadness is a part of growth process, I will embrace the grieve to let go of my feelings and move forward.""

Good morning people, have a nice weekend!",Sat Aug 04 10:53:56 +0000 2018
WhySoSiriusxX,"RT @felixskids: Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness","Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness",Sat Aug 04 10:53:53 +0000 2018
IsabelDadole,"RT @eightbitstories: there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes","there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes",Sat Aug 04 10:53:47 +0000 2018
StephenWilkers1,listening to x and lil peep makes me so happy just like it did before they passed but now every song by them exudes a creeping feeling of sadness  :(,,Sat Aug 04 10:53:44 +0000 2018
_KhalDiego,what has been your favourite halloween costume? — when I dressed up as Sadness 3 years ago!! https://t.co/bn5lyNg5aV,,Sat Aug 04 10:53:38 +0000 2018
krungkyakai_,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 10:53:35 +0000 2018
slvdrtintin,"RT @myshortpoems: HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always…","HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always hides it in her mask

GRACE",Sat Aug 04 10:53:34 +0000 2018
INEMJO_,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:53:30 +0000 2018
FS_smk,@Dear_sadness_ 나도 그건 모르겠는데 추미애는 아닌 거 잘 알겠음,,Sat Aug 04 10:53:24 +0000 2018
Itz_AlecBaldwin,RT @AlecBaldwin: 1- it is w some degree of sadness that I will suspend posting on this a TWITTER account for a period of and in the current…,1- it is w some degree of sadness that I will suspend posting on this a TWITTER account for a period of and in the current climate.,Sat Aug 04 10:53:22 +0000 2018
FS_smk,@Dear_sadness_ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 저거 세탁할 거 생각하면;;;때도 존나 안 빠질거고;;;;제복은 남이 입는 거 보는게 최고지 캬,,Sat Aug 04 10:53:07 +0000 2018
NikhilMantrava1,@bhogleharsha You could see the sadness on his face as he walked back. I really feel sorry for Kohli. If only the other batsmen could have contributed.,,Sat Aug 04 10:53:01 +0000 2018
OgegeWicklife,"RT @Fact: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:52:59 +0000 2018
strangerwinonaa,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 10:52:58 +0000 2018
_glaux,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 10:52:52 +0000 2018
effulgentmalec,"RT @Malec_Immortal: I know some of you are feeling too much pain and sadness to be here, and that's OK. Just please promise me you'll come…","I know some of you are feeling too much pain and sadness to be here, and that's OK. Just please promise me you'll come back because we still need help promoting the show. 🙏 We have 12 episodes coming and hopefully more, I don't want to lose this fandom. #SaveShadowhunters",Sat Aug 04 10:52:49 +0000 2018
renadeldahrawyy,RT @ZiadTarek_99: أزهى عصور ال summertime sadness حقيقي,أزهى عصور ال summertime sadness حقيقي,Sat Aug 04 10:52:48 +0000 2018
Anna_M_Thane,RT @HWarlow: Annabelle Burton is another of our talented Watercolour artists.  She obtained a Fine Arts degree from Leeds.   If you read he…,Annabelle Burton is another of our talented Watercolour artists.  She obtained a Fine Arts degree from Leeds.   If you read her bio there is sadness but out of it wonderful art. https://t.co/9p9tDQMGLm,Sat Aug 04 10:52:40 +0000 2018
JuliusSardan3,"RT @myshortpoems: HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always…","HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always hides it in her mask

GRACE",Sat Aug 04 10:52:37 +0000 2018
AndyPennefather,RT @HWarlow: Annabelle Burton is another of our talented Watercolour artists.  She obtained a Fine Arts degree from Leeds.   If you read he…,Annabelle Burton is another of our talented Watercolour artists.  She obtained a Fine Arts degree from Leeds.   If you read her bio there is sadness but out of it wonderful art. https://t.co/9p9tDQMGLm,Sat Aug 04 10:52:31 +0000 2018
fletchaddicted,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 10:52:27 +0000 2018
nicolempizarroo,RT @chillechurch: music could kill my sadness,music could kill my sadness,Sat Aug 04 10:52:20 +0000 2018
tshegofatsodik8,Happiness and sadness sleep in the same bed..its up 2 u wich side u roll 2..,,Sat Aug 04 10:52:18 +0000 2018
xenavaes,RT @_naughtiest: People do not die from suicide; they die from sadness.,People do not die from suicide; they die from sadness.,Sat Aug 04 10:52:18 +0000 2018
