Tim70774497,I'm raising money for Carr fire . Click to Donate:  https://t.co/n0Z0jl0I9a via @gofundme,,Sat Aug 04 07:33:36 +0000 2018
sjwb11,RT @AllieValentinee: I'm raising money for Annie’s Veterinary Bills. Click to Donate:  https://t.co/BRp98x0TJy via @gofundme,I'm raising money for Annie’s Veterinary Bills. Click to Donate:  https://t.co/BRp98x0TJy via @gofundme,Sat Aug 04 03:18:58 +0000 2018
andy_bribie,Mad Frau Merkel states Muslim refugees are valuable so she should donate all the so called refugees in Germany to Iran instead of money. Or as she already knows the refugees have no value other than land fill. 😂😂😜🌷🌷🌷🌷 https://t.co/CEWXRTXmcw,,Sat Aug 04 03:18:58 +0000 2018
QuartyBears,@PreludeOutSoon @IdealAffinity If I got an rgh I’d maybe every sniper in the lobby donate my desired amount before starting the match. Cash money,,Sat Aug 04 03:18:28 +0000 2018
AebersReckoning,@Nomorehero_ essentially allow me to donate money to play music on your stream. look up mediashare streamlabsobs. its what simpleflips uses.,,Sat Aug 04 03:17:45 +0000 2018
CaptAwesome__,#Overwatch #ps4 I'm raising money for The Outcasts OW team. Click to Donate:  https://t.co/QtoqZdC4Gl,,Sat Aug 04 03:17:11 +0000 2018
DietzChris,I'm raising money for EXPENSES HELP/MOM HAS DEMENTIA. Click to Donate:  https://t.co/Ajy0T3vh7E via @gofundme,,Sat Aug 04 03:16:33 +0000 2018
DaniToxiix,I'm raising money for I want to build my first Gaming Pc. Click to Donate:  https://t.co/CkAkvsvvV9 via @gofundme,,Sat Aug 04 03:16:11 +0000 2018
AylanaElocinTay,I'm raising money for My Business Start Up!. Click to Donate:  https://t.co/3YCXiAKWoe via @gofundme,,Sat Aug 04 03:16:09 +0000 2018
Taylor75278918,I'm raising money for Help me move out of my dads house!!. Click to Donate:  https://t.co/20yhbwdiZa via @gofundme,,Sat Aug 04 03:15:35 +0000 2018
SHEPMJS,"@Wonkette $13,000 in debt begs for money and like caring ""progressives' gives the reason why suckers should donate;

"" Why else would you do this? A MIGHTY FEELING OF SUPERIORITY to your SHITFERBRAIN NEIGHBORS""",,Sat Aug 04 03:15:14 +0000 2018
fundingmonster,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #family  #fundingmonster

@jenni67021260

Please #support My fathers final project ❤️ #donate here #today: 

⬇️
https://t.co/3R7g9TZDw9",,Sat Aug 04 03:15:10 +0000 2018
prongstat,"Why the f*ck won’t you just donate the money, LG? https://t.co/lQimoRfiPi",,Sat Aug 04 03:14:17 +0000 2018
HerobrineGang1,I'm raising money for Send Herobrine_ to iFunnyCon. Click to Donate:  https://t.co/Hg7b5Pi02G via @gofundme #HerobrineGang,,Sat Aug 04 03:14:11 +0000 2018
easy_rts,"RT @fundingmonster: Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingmonster

@Leicarey71…","Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingmonster

@Leicarey71

Please #support #HELP #DISABLED #VETERAN KEEP HER #HOME 🇺🇸 #donate here #today: 

⬇️
https://t.co/vytty9Dlhj",Sat Aug 04 03:12:01 +0000 2018
robertl91921914,RT @KevLeeS: @IvanTrumpovic1 After 9/11 he would go see Rudy Gulliani and donate money to help the first responders. He ask him not to tell…,"@IvanTrumpovic1 After 9/11 he would go see Rudy Gulliani and donate money to help the first responders. He ask him not to tell anyone about it. Rudy finally did talk of it. I'm 64, best president I've seen. I am proud I voted for this man and will again. I pray for his and his families safety.",Sat Aug 04 03:11:56 +0000 2018
JaiceHarmon,"@TruthMatters13 @wohl34 @SickOfTheSwamp @Lost_Literati @SuperEliteMTpat @bud_cann @youlivethrice @SassySouthern10 @salem_poor @KryptoniteDragn @pcal4HIM @SouthStandsVetr @GeanineC @MichDeplorable @Mikeproudvet @Slickzeek @jovanclordim @AlohaHa59067534 Followed all.  Please follow back and, if you can, donate to @dawn8_dawn go fund me.  She's been QFD'd and trying to raise money to pay off a hospital bill while her husband fights for his life and waits for a heart lung transplant.

https://t.co/JAIEY2GWCg",,Sat Aug 04 03:11:32 +0000 2018
BlueCedarAngel,"RT @BlueCedarAngel: I'm raising money to cover cost of insurance;

I’ll be having another Traditional Burnings off the Indian Reserve in Se…","I'm raising money to cover cost of insurance;

I’ll be having another Traditional Burnings off the Indian Reserve in September or October.

#fivefires #thankyou #fundraiser #nonprofits #volunteering #Blessings #mourning 

Click to Donate:  https://t.co/9J2Zouutt6 via @gofundme",Sat Aug 04 03:11:21 +0000 2018
lilliea4,I'm raising money for NAACP Hurricane Harvey Relief Fund. Click to Donate:  https://t.co/rUtWJW8heN via @gofundme,,Sat Aug 04 03:11:06 +0000 2018
fundingmonster,"Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingmonster

@Leicarey71

Please #support #HELP #DISABLED #VETERAN KEEP HER #HOME 🇺🇸 #donate here #today: 

⬇️
https://t.co/vytty9Dlhj",,Sat Aug 04 03:10:09 +0000 2018
mistywilcox,Please help bring my daughters service dog home. I'm raising money for Help save Paytin's best friend. Click to Donate:  https://t.co/mJSaY8PBM5 via @gofundme,,Sat Aug 04 03:08:52 +0000 2018
MikeJerm,I'm raising money for need a headset for fortnite. Click to Donate:  https://t.co/SkoX0SnWsD via @gofundme,,Sat Aug 04 03:04:48 +0000 2018
Auntie_BeeNasti,I'm raising money for Brittany’s Classroom. Click to Donate:  https://t.co/CEZ5LkpWmL via @gofundme,,Sat Aug 04 03:04:42 +0000 2018
QMiller_16,"If you’re ever exiting off the 303 onto grand there’s a homeless vet sitting on the median, he’ll take money of course but is estatic if you have food for him! If you have anything to give please donate to him, he’s a beautiful soul💙",,Sat Aug 04 03:04:08 +0000 2018
todays_advice,"#givingbackdaily A super fun way to raise money for charity is to hold a community talent chow. Have someone donate space, get some prizes donated, charge an entry fee for contestants and have spectators buy tickets or donate can goods for a local food pantry. Win-win! https://t.co/fAniGObgHC",,Sat Aug 04 03:03:58 +0000 2018
WaxPack916,RT @Sigs4Soldiers: If anyone will have unused autograph tickets for any guest at this year’s National Sports Collectors Convention if you d…,If anyone will have unused autograph tickets for any guest at this year’s National Sports Collectors Convention if you donate the ticket or autograph to @Sigs4Soldiers &amp; all money will be donated to help disabled veterans @nsccshow,Sat Aug 04 03:03:20 +0000 2018
BlueWaveLA,"RT @Dewitt4Congress: Thank you for the shoutout, @LaDemos! I don’t have a PAC and I don’t accept corporate PAC money. My campaign is funded…","Thank you for the shoutout, @LaDemos! I don’t have a PAC and I don’t accept corporate PAC money. My campaign is funded by regular people, not the donor class. You can support our campaign today at https://t.co/HVNNUT8m5s #WeCanDewitt https://t.co/Obk4I7zFgg",Sat Aug 04 03:02:46 +0000 2018
castorfeliciano,"@r_little_finger they can donate  their bonuses or wage increases to the @GOP group. Unemployment is low, companies are making money, America is getting better again.",,Sat Aug 04 03:01:38 +0000 2018
childcancer8,I'm raising money for SeconD front Foundation. Click to Donate:  https://t.co/UugJVUF0UA via @gofundme,,Sat Aug 04 03:01:28 +0000 2018
VOLTRIC121,I'm raising money for Help My Parents. Click to Donate:  https://t.co/U6A54kqHlm via @gofundme,,Sat Aug 04 03:01:18 +0000 2018
jessicaann1995_,RT @todrickmattel: hi @todrick. one of your beautiful and dedicated fans got in a major car accident and needs help raising money for the e…,"hi @todrick. one of your beautiful and dedicated fans got in a major car accident and needs help raising money for the extensive bills and surgeries. it would mean so much if you could let everyone know, and maybe even donate. she loves you, thank you 💗 https://t.co/2eCBxdVsEe https://t.co/5jENQPrVRx",Sat Aug 04 03:00:57 +0000 2018
Nicole27076835,"A share goes a long way 

I'm raising money for Beautifully Blind. Click to Donate:  https://t.co/gF6KhuqEZY via @gofundme",,Sat Aug 04 03:00:36 +0000 2018
fundingmonster,"Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#share #life #money #crowdfunding #music #instrumental 🎵 #lovepanet 🎤 #fundingmonster
@mark_etheredge

Please #support #Help Launch MARK ETHEREDGE's #LOVE #PLANET! #album #donate here #today: 

⬇️
https://t.co/ssjchzs3Up",,Sat Aug 04 03:00:21 +0000 2018
csharpe222,"I'm raising money for Class, Student Loans, Home Repairs. Click to Donate:  https://t.co/YrvaaDewcB via @gofundme",,Sat Aug 04 02:59:56 +0000 2018
sfkomodo19,I'm raising money for repair ps4 console. Click to Donate:  https://t.co/38ujQyJzxK via @gofundme,,Sat Aug 04 02:58:17 +0000 2018
LisaRago1,"@thehill I bet they are harassing their members like crazy right now and begging them for money. They do it already, but even more so now for sure. I can just hear the propaganda bs they are telling their members, hoping they will donate money lol.",,Sat Aug 04 02:57:25 +0000 2018
RosieM1919,"RT @HallCongress: For grassroots candidates who refuse to take corp PAC $$$, raising enough to compete can be tough. It's even more difficu…","For grassroots candidates who refuse to take corp PAC $$$, raising enough to compete can be tough. It's even more difficult to ask folks to donate their hard-earned money when you know their struggles, stories, &amp; the truth of it all. If you can, donate $5 https://t.co/qYH0L9LesH",Sat Aug 04 02:55:32 +0000 2018
Dornall,I'm raising money for Mother's Dog Needs Surgery. Click to Donate:  https://t.co/R8Bd4CUO2d via @gofundme,,Sat Aug 04 02:55:22 +0000 2018
ElenaJallorina,I'm raising money for Mariel Jallorina - died of lupus. Click to Donate:  https://t.co/lpVMOEedQd via @gofundme,,Sat Aug 04 02:54:35 +0000 2018
_Insan_Gursewak,"We need to donate some money for poor and needy people 
Saint's says donate the 10th Part of you money for disability and poor people 
#EarnToLiveSaysDrMSG https://t.co/phDSbsbQVq",,Sat Aug 04 02:54:19 +0000 2018
Z8L26S,I'm raising money for Help me Get My Life Right !. Click to Donate:  https://t.co/3mSmd1pwTW via @gofundme #help #artist #female #feminist #blessme #thankyou,,Sat Aug 04 02:54:10 +0000 2018
goldwingman1500,Coming to Albury near a Store near you Please Donate as much as Possible every penny Helps its all Money if you have Toiletries please send to me At 1/664 Keene St  NSW 2640 I will deliver myself in Person every penny Helps dont leave it for some one... https://t.co/lbdffmEzUI,,Sat Aug 04 02:54:00 +0000 2018
Graysonthecamp1,I'm raising money for Sad Nigga Hours. Click to Donate:  https://t.co/hmg4p2nOU9 via @gofundme,,Sat Aug 04 02:53:54 +0000 2018
iamjoannamarie_,"Once I have all the money I need to live my life as I grow up move out and on. I'll do everything I can to start non profits, donate for kids, animals and beyond. Money is useless unless your giving",,Sat Aug 04 02:53:44 +0000 2018
meganreimer98,I'm raising money for Help me get to YWAM. Click to Donate:  https://t.co/Y3hx3TiRPv via @gofundme,,Sat Aug 04 02:53:37 +0000 2018
Reagan_kitz,RT @_sierrraaa: I'm raising money for KHS Girls Soccer Uniforms. Click to Donate:  https://t.co/ClwjeCkeDF via @gofundme,I'm raising money for KHS Girls Soccer Uniforms. Click to Donate:  https://t.co/ClwjeCkeDF via @gofundme,Sat Aug 04 02:53:17 +0000 2018
GreatMarkt,"RT @MonsterFunder: Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #inventor #invention  #gofundme…","Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #inventor #invention  #gofundme #monsterfunder

@JohannDJr

Please #support CNC #Job Shop #donate here #today: 

⬇️
https://t.co/SXsTagx9Ro",Sat Aug 04 02:51:17 +0000 2018
monie1974,Friends and Families Jayvon and Tayvon are asking for your help. To donate to Monacan Chiefs football team by getting one of card that would save you money at these different restaurants. You can go to this website https://t.co/fWcnsLyXtH and enter this code 110068. https://t.co/1tyZMfHAUK,,Sat Aug 04 02:51:01 +0000 2018
crowdfundcash,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#share #life #money #crowdfunding #health #crowdfundcash

@Estrada28Rosie

Please Click Here To #Support #Dental Work. 😁  #donate here #today: 

⬇️
https://t.co/TBTVD0QNfG",,Sat Aug 04 02:50:10 +0000 2018
MonsterFunder,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #inventor #invention  #gofundme #monsterfunder

@JohannDJr

Please #support CNC #Job Shop #donate here #today: 

⬇️
https://t.co/SXsTagx9Ro",,Sat Aug 04 02:50:10 +0000 2018
DonationExperts,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#share #life #money #crowdfunding #health #donationexperts

@Estrada28Rosie

Please Click Here To #Support #Dental Work. 😁  #donate here #today: 

⬇️
https://t.co/KYPnDgj0xa",,Sat Aug 04 02:50:04 +0000 2018
afilobokov,I'm raising money for A Comfortable Bed. Click to Donate:  https://t.co/2iyhjMcNdn via @gofundme,,Sat Aug 04 02:49:19 +0000 2018
ANDREYEVSKY,@GypsySix @nicolebyer Kerri’s raising money for a marathon team. Be sure to donate – to anyone else.,,Sat Aug 04 02:49:02 +0000 2018
CardShopTalk,We'll be streaming an epic 25 person D&amp;D adventure live for Extra Life to raise money for @EastTNChildrens . Watch us and donate tomorrow at 1:00pm on Twitch at  https://t.co/IZNHNvkrPp or our Extra Life page https://t.co/D6BWgpEwd1 https://t.co/3WSgS4A0f4,,Sat Aug 04 02:48:24 +0000 2018
money_miket,RT @kleinlegal: @RealJamesWoods Amazing. Wall to wall coverage when Bergdahl was released but radio silence when the remains of servicemen…,@RealJamesWoods Amazing. Wall to wall coverage when Bergdahl was released but radio silence when the remains of servicemen KIA are returned from N.K. or when Trump donates his salary for the benefit of fallen soldiers (BTW he agreed to donate his salary during a pres. debate - promise kept).,Sat Aug 04 02:48:12 +0000 2018
dbauman13,RT @kmacintyre99: I'm raising money for 15yr old diagnosed kidney failure. Click to Donate:  https://t.co/5fY6v0VBwn via @gofundme,I'm raising money for 15yr old diagnosed kidney failure. Click to Donate:  https://t.co/5fY6v0VBwn via @gofundme,Sat Aug 04 02:48:06 +0000 2018
debstarforreal,RT @debstarforreal: I'm raising money for Bag packs (School Supplies) - (Nigerian kids 0-16). Click to Donate:  https://t.co/yXCjISup2I via…,I'm raising money for Bag packs (School Supplies) - (Nigerian kids 0-16). Click to Donate:  https://t.co/yXCjISup2I via @gofundme,Sat Aug 04 02:47:40 +0000 2018
InfoSecNewsPost,RT @IRSnews: Scammers often use names similar to legitimate charities to trick people to send money or provide personal information. If you…,"Scammers often use names similar to legitimate charities to trick people to send money or provide personal information. If you donate this #HurricaneSeason, check these #IRS tips first: https://t.co/SLdP3sw9ap https://t.co/2AiuP5fc3u",Sat Aug 04 02:47:31 +0000 2018
MARTINIFORPM,I'm raising money to Help Me Leave Canada. Click to Donate:  https://t.co/Uz5SqElHi9 via @gofundme,,Sat Aug 04 02:47:20 +0000 2018
SpecialTeeTwts,I'm raising money to Help my cousin Kevin Pay His Medical Bills!. Click to Donate:  https://t.co/7cVX5HRhdJ via @gofundme,,Sat Aug 04 02:45:19 +0000 2018
FundingTweets,"Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingtweets
 
@WalkedUSA

Please #support 4th #walk 🚶 across #America 🇺🇸  to raise #awareness about #stroke and #brain injuries #donate here #today: 

⬇️
https://t.co/9fs6zrW5q4",,Sat Aug 04 02:45:13 +0000 2018
FundingTweets,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #health #fundingtweets

Please Click Here To #Support #Dental Work. 😁  #donate here #today: 

⬇️
https://t.co/ZjOM1xwz5w",,Sat Aug 04 02:45:07 +0000 2018
FundingTweets,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #health #fundingtweets

@Estrada28Rosie

Please Click Here To #Support #Dental Work. 😁  #donate here #today: 

⬇️
https://t.co/ZjOM1xwz5w",,Sat Aug 04 02:45:06 +0000 2018
FundingExperts,"Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingexperts

@WalkedUSA

Please #support 4th #walk 🚶 across #America 🇺🇸  to raise #awareness about #stroke and #brain injuries #donate here #today: 

⬇️
https://t.co/Pr81e56NXs",,Sat Aug 04 02:45:05 +0000 2018
FundingExperts,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #health #fundingexperts

Please Click Here To #Support #Dental Work. 😁  #donate here #today: 

⬇️
https://t.co/OOP1T0lpTV",,Sat Aug 04 02:45:03 +0000 2018
FundingExperts,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #health #fundingexperts

@Estrada28Rosie

Please Click Here To #Support #Dental Work. 😁  #donate here #today: 

⬇️
https://t.co/OOP1T0lpTV",,Sat Aug 04 02:45:01 +0000 2018
starlightsyd,I'm raising money for get carter a keytar. Click to Donate:  https://t.co/VZzp1GhLKW via @gofundme,,Sat Aug 04 02:43:40 +0000 2018
FLYYBOIMARCUS,I'm raising money for Back to school. Click to Donate:  https://t.co/QshqDKNUpt via @gofundme,,Sat Aug 04 02:43:08 +0000 2018
fundingmonster,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #American #fundingmonster

@one_sapien

Please #support #Disabled #Veteran 🇺🇸 Rated 100% P&amp;T #donate here #today: 

⬇️
https://t.co/FSibNoaqhQ",,Sat Aug 04 02:40:01 +0000 2018
MonsterFunder,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #health #Gofundme #monsterfunder

@Estrada28Rosie

Please Click Here To #Support #Dental Work. 😁  #donate here #today: 

⬇️
https://t.co/I9xrlHC16K",,Sat Aug 04 02:40:01 +0000 2018
rjcook945,@Netrixz_ @Foe_AE @leahdb98 @CouRageJD @MrBeastYT @miniminter They get a sponsor who gives them the money to donate and they shout out the company and or product in the video,,Sat Aug 04 02:39:19 +0000 2018
Marieeloise92,"Please continue to help us raise the funds for my parents to have their home remodeled for my dad. He had his leg removed July 13th and came home on August 2nd. #donate #Today #support #FridayNight #GoFundMe #Money #Share #Retweet #Veteran #love #LIFE
https://t.co/RRH8tkKtti",,Sat Aug 04 02:39:11 +0000 2018
drummerbyron,I'm raising money for Hawks Family  Carr fire relief. Click to Donate:  https://t.co/mFzWSrvh1K via @gofundme,,Sat Aug 04 02:39:03 +0000 2018
PrincesssBob,"This is Tootsie, she is in the hospital, her human is @Deacon6353 on twitter, she lives alone, has a full time job and donates her time and any extra money she has to help save families like me. You can donate to either https://t.co/NOCAO1M6lc or gofun… https://t.co/woDyDlz3R4 https://t.co/NrIut4IQEg",,Sat Aug 04 02:38:39 +0000 2018
xo26540109,RT @yashar: Cardi B is getting into tax policy now. She says she's paying 40% of her income in taxes and wants to know where the money is g…,"Cardi B is getting into tax policy now. She says she's paying 40% of her income in taxes and wants to know where the money is going...""when you donate to a kid in a foreign country, they give you updates on what they're doing with your donation....I want updates on my tax money."" https://t.co/E1hITGNqee",Sat Aug 04 02:38:22 +0000 2018
softmush,RT @baldheadedb: I'm raising money for Help Camille escape emotional abuse. Click to Donate:  https://t.co/zVC5N2bLMv via @gofundme,I'm raising money for Help Camille escape emotional abuse. Click to Donate:  https://t.co/zVC5N2bLMv via @gofundme,Sat Aug 04 02:38:20 +0000 2018
brockness,@stonecold2050 All they have to do is ask for money and their most loyal members will donate hard earned money,,Sat Aug 04 02:38:05 +0000 2018
contreary,"Our campaign is built on the strength of grassroots supporters. Chip in now, join our campaign! https://t.co/gOOukDYQsI Beto for Senate! Beto has traveled to every corner, crack, and crevice of Texas talking to the people. All of Beto's money comes from everyday people. #resist",,Sat Aug 04 02:36:28 +0000 2018
ToniStringfello,RT @ToniStringfello: I'm raising money for King of Angels. Click to Donate:  https://t.co/gHqatA7dKQ via @gofundme,I'm raising money for King of Angels. Click to Donate:  https://t.co/gHqatA7dKQ via @gofundme,Sat Aug 04 02:36:20 +0000 2018
Damenshi,RT @LibraGhost: I'm raising money for I Need Help With Vet Bills. Click to Donate:  https://t.co/V21VuU5Wm5 via @gofundme,I'm raising money for I Need Help With Vet Bills. Click to Donate:  https://t.co/V21VuU5Wm5 via @gofundme,Sat Aug 04 02:35:51 +0000 2018
Jakealbina1,I'm raising money for Walk Across America.. Click to Donate:  https://t.co/qMxWbR9BVz via @gofundme,,Sat Aug 04 02:35:33 +0000 2018
LibraGhost,I'm raising money for I Need Help With Vet Bills. Click to Donate:  https://t.co/V21VuU5Wm5 via @gofundme,,Sat Aug 04 02:34:51 +0000 2018
Drdavespart,"Have spent a large part of the day trying to reason with a refugee from Iran that wants to donate money to Lauren Southern. 

Should have known better, of course. https://t.co/PhHxNiT9ND",,Sat Aug 04 02:33:03 +0000 2018
CodyAlanMatthe1,I'm raising money for Travel expenses for my kids. Click to Donate:  https://t.co/yVuEQb7pZ0 via @gofundme,,Sat Aug 04 02:32:54 +0000 2018
AManInWestMich,"@gretchenwhitmer Wait a second, YOU, of all people, are crying about alleged dark money going to Abdul El-Sayed ??   Seriously ?   I will donate $100 to you if you can say it 3 times without smiling or laughing",,Sat Aug 04 02:32:40 +0000 2018
joshacosta12,I'm raising money for Your Place. Click to Donate:  https://t.co/9B3EncygMz via @gofundme,,Sat Aug 04 02:32:13 +0000 2018
buggapedigo1,I'm raising money for Money for books. Click to Donate:  https://t.co/OpDOag9AyR via @gofundme,,Sat Aug 04 02:31:58 +0000 2018
DavidHus223,https://t.co/yKRdLouVed   Help me raise money for cancer research.  @khusar23,,Sat Aug 04 02:31:32 +0000 2018
rubyortega25,I'm raising money for Classroom supplies. Click to Donate:  https://t.co/jRDIpeHwCR via @gofundme,,Sat Aug 04 02:30:59 +0000 2018
Annette23348076,RT @jeanellePrince: @the_USO You asked for donations after signing the card. I have no problem with that but why don't you appeal to the pr…,@the_USO You asked for donations after signing the card. I have no problem with that but why don't you appeal to the president and see if he will donate the 30 million that he's spending on a parade that he doesn't deserve. That money would be better spent directly on the troops.,Sat Aug 04 02:30:52 +0000 2018
joeybean92,@HardenBeard Comparing people that donate their money to the church and the government taking your money and giving it to someone who is lazy are different things. I’d figure the thing that kept you up at night was the 27 straight 3s y’all missed.,,Sat Aug 04 02:30:11 +0000 2018
_MarcoFerrero_,"RT @Buydirectsports: Like, Share, Retweet, Follow, Donate for more #FreePicks! Or when you #Win money on our #FreePicks, Get our #PremiumPi…","Like, Share, Retweet, Follow, Donate for more #FreePicks! Or when you #Win money on our #FreePicks, Get our #PremiumPicks and make more #Money this is how we All #GetPaid &amp; #Grow! @Buydirectsports https://t.co/uvqSgbjMlI",Sat Aug 04 02:30:11 +0000 2018
SportsWithDara,RT @KStateAlumni: Such a great time so far! There are tables here competing for who can donate the most money. There are so many generous d…,Such a great time so far! There are tables here competing for who can donate the most money. There are so many generous donors here tonight! #WabashColorado https://t.co/g3wypSkju9,Sat Aug 04 02:29:37 +0000 2018
JeritRoser,"Y’all know the deal, #BootFam!!

Donate to my fund to not only@raise money for #CampPelican, a sleepaway summer camp for children with pulmonary disorders — but also, of course, to pie @_Andrew_Lopez square INTHEFAACCEE! #PieOff2 

https://t.co/Nmud9Gbox2

More details in video! https://t.co/KZ2Y29gQDp",,Sat Aug 04 02:29:24 +0000 2018
KStateAlumni,Such a great time so far! There are tables here competing for who can donate the most money. There are so many generous donors here tonight! #WabashColorado https://t.co/g3wypSkju9,,Sat Aug 04 02:29:19 +0000 2018
Questica,"@FPLCircuit @flusha_csgo @G2NBK @RedCross Very beautiful that a man such as NBK who has no job himself would donate money to those in needs, bless him.",,Sat Aug 04 02:28:38 +0000 2018
Buydirectsports,"Like, Share, Retweet, Follow, Donate for more #FreePicks! Or when you #Win money on our #FreePicks, Get our #PremiumPicks and make more #Money this is how we All #GetPaid &amp; #Grow! @Buydirectsports https://t.co/uvqSgbjMlI",,Sat Aug 04 02:28:07 +0000 2018
mechamlisa,I'm raising money for Rhoda's life saving surgery. Click to Donate:  https://t.co/IgVpeiKUJI via @gofundme,,Sat Aug 04 02:27:58 +0000 2018
jgabriel456,I'm raising money for The CAN Man for Mayor of Las Cruces. Click to Donate:  https://t.co/IuzwA3DQCa via @gofundme,,Sat Aug 04 02:26:19 +0000 2018
PHILIPPIAN247,"#Repost @theshaderoom with get_repost
・・・
#PressPlay: #Charlamagne says he accepts #VanLathan’s challenge to boycott #Madden19 and instead donate the game money to #ColinKaepernick’s… https://t.co/ZsxyuhJFWt",,Sat Aug 04 02:25:52 +0000 2018
puppy550,"If anyone has any spare money, even a few dollars donate it to the ACLU please. They are doing a lot of work on the country's behalf to fight Trump. https://t.co/u9e5WZ1vYh",,Sat Aug 04 02:25:30 +0000 2018
MsKooBreeze,I'm raising money for Please help me get back on my feet.. Click to Donate:  https://t.co/mWfYO4qk5a #GoFundMe #Blessings #HelpNeeded,,Sat Aug 04 02:25:15 +0000 2018
nyjhtjjot7,"I'm raising money for BTS Love Yourself Concert Tickets. Click to Donate:  https://t.co/DMbojMk69C via @gofundme
///
Please help donate! All donations are very much appreciated.",,Sat Aug 04 02:24:56 +0000 2018
madigan2015,I'm raising money for Reigning Metal. Click to Donate:  https://t.co/NH6ZSBJSlI via @gofundme,,Sat Aug 04 02:24:31 +0000 2018
MegOrtiz14,I'm raising money for College Education Tuition. Click to Donate:  https://t.co/BcMBOFkrSh via @gofundme,,Sat Aug 04 02:24:14 +0000 2018
rich_cardosi,I'm raising money for Evacuated from fires need help. Click to Donate:  https://t.co/nlJHTuBZcx via @gofundme,,Sat Aug 04 02:24:12 +0000 2018
mikebraz87,Adelyn is raising money for Bulldog Book Stations. Click to Donate:  https://t.co/3rwGAktNh6 via @gofundme,,Sat Aug 04 02:23:27 +0000 2018
dovesrose5,"RT @KatieHill4CA: Tonight marks our end of month fundraising deadline!

I'm not taking corporate money because I'm going to Washington to r…","Tonight marks our end of month fundraising deadline!

I'm not taking corporate money because I'm going to Washington to represent the people here in #CA25, but that means I need your help: 

We're down to the wire – Can you pitch in? https://t.co/LRDQgn4dQf",Sat Aug 04 02:23:22 +0000 2018
mgtucsi,RT @Murphymirage: @mgtucsi @Star8400CPD @realDonaldTrump And the Supreme Court now let's them donate as much as they want to political camp…,@mgtucsi @Star8400CPD @realDonaldTrump And the Supreme Court now let's them donate as much as they want to political campaigns. Now our elections are all about money. Horrible decision.  But then they got an additional boost ( big boost) in tax breaks from Trump.  He won't curb corps.,Sat Aug 04 02:22:10 +0000 2018
Jbird10205,"RT @FundingTweets: Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingtweets

@TavshanPasha…","Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingtweets

@TavshanPasha

Please #support #Help the Rabbit on the #Silk Route! #donate here #today: 

⬇️
https://t.co/19PJNnwPDc",Sat Aug 04 02:22:02 +0000 2018
Jbird10205,"RT @FundingExperts: Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingexperts

@TavshanPash…","Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingexperts

@TavshanPasha

Please #support #Help the Rabbit on the #Silk Route! #donate here #today: 

⬇️
https://t.co/DOO3YwotLO",Sat Aug 04 02:21:58 +0000 2018
TPP_of_Suffolk,Conservatives always donate more than libs and volunteer to help. The Left best at spending other people's money https://t.co/2uLay27vmO,,Sat Aug 04 02:21:47 +0000 2018
dannyhah1,RT @nevarez_jesus: I'm raising money for El Salvador Mission Trip. Click to Donate:  https://t.co/HvXVE806o2 via @gofundme,I'm raising money for El Salvador Mission Trip. Click to Donate:  https://t.co/HvXVE806o2 via @gofundme,Sat Aug 04 02:21:38 +0000 2018
